point_id,Mach,alpha,cr,ci,omega_i,validation_status
M1.10_a0.175000,1.1,0.175,0.1508143457011082,0.092213234034898,0.0161373159561071,modal_spectral_validated_with_exported_fields
M1.10_a0.200000,1.1,0.2,0.1656761547463344,0.0791796566675815,0.0158359313335163,modal_spectral_validated_with_exported_fields
M1.20_a0.150000,1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,modal_spectral_validated_with_exported_fields
M1.20_a0.175000,1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,modal_spectral_validated_with_exported_fields
M1.20_a0.187500,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,modal_spectral_validated_with_exported_fields
M1.20_a0.200000,1.2,0.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,modal_spectral_validated_with_exported_fields
M1.20_a0.208333,1.2,0.208333,0.2439966767431603,0.0592701955657576,0.0123479376528009,modal_spectral_validated_with_exported_fields
M1.20_a0.216667,1.2,0.216667,0.2479483075702228,0.055042805686539,0.0119259595796853,modal_spectral_validated_with_exported_fields
M1.25_a0.250000,1.25,0.25,0.2550098377696084,0.0304106202499422,0.0076026550624855,modal_spectral_validated_with_exported_fields
M1.30_a0.100000,1.3,0.1,0.2292287978156679,0.0908323489283033,0.0090832348928303,modal_spectral_validated_with_exported_fields
M1.30_a0.125000,1.3,0.125,0.2507322022046491,0.0805622512041191,0.0100702814005148,modal_spectral_validated_with_exported_fields
M1.30_a0.150000,1.3,0.15,0.2679464671366972,0.0699190855162764,0.0104878628274414,modal_spectral_validated_with_exported_fields
M1.30_a0.162500,1.3,0.1625,0.2753741570531295,0.0644937399606446,0.0104802327436047,modal_spectral_validated_with_exported_fields
M1.30_a0.175000,1.3,0.175,0.2821847483866972,0.0590180438496097,0.0103281576736816,modal_spectral_validated_with_exported_fields
M1.30_a0.183333,1.3,0.183333,0.286403134768127,0.0553553184156296,0.0101484565910926,modal_spectral_validated_with_exported_fields
M1.30_a0.191667,1.3,0.191667,0.290397275393127,0.0516736777906296,0.0099041388010966,modal_spectral_validated_with_exported_fields
M1.30_a0.200000,1.3,0.2,0.2727688216788323,0.0467110594036997,0.0093422118807399,modal_spectral_validated_with_exported_fields
M1.30_a0.225000,1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,0.0079547227970437,modal_spectral_validated_with_exported_fields
M1.33_a0.180000,1.33,0.18,0.2771044303979708,0.0508498118838383,0.0091529661390908,modal_spectral_validated_with_exported_fields
M1.40_a0.100000,1.4,0.1,0.283841246397037,0.0425165800223759,0.0042516580022375,modal_spectral_validated_with_exported_fields
M1.40_a0.125000,1.4,0.125,0.303271264704649,0.0535875093459158,0.0066984386682394,modal_spectral_validated_with_exported_fields
M1.40_a0.137500,1.4,0.1375,0.3111424049240388,0.0511307865076858,0.0070304831448067,modal_spectral_validated_with_exported_fields
M1.40_a0.150000,1.4,0.15,0.3182275185165742,0.0486740636694557,0.0073011095504183,modal_spectral_validated_with_exported_fields
M1.40_a0.162500,1.4,0.1625,0.3246580112197962,0.0462173408312256,0.0075103178850741,modal_spectral_validated_with_exported_fields
M1.40_a0.168750,1.4,0.16875,0.32767268188658,0.0450433791097876,0.0076010702247766,modal_spectral_validated_with_exported_fields
M1.40_a0.175000,1.4,0.175,0.3334272163349703,0.0426165444542578,0.0074578952794951,modal_spectral_validated_with_exported_fields
M1.40_a0.181250,1.4,0.18125,0.3153193678544234,0.0427209194542578,0.0077431666510842,modal_spectral_validated_with_exported_fields
M1.40_a0.187500,1.4,0.1875,0.3183709082056269,0.0411403935788011,0.0077138237960252,modal_spectral_validated_with_exported_fields
M1.40_a0.193750,1.4,0.19375,0.3222828767123289,0.024414084798728,0.0047302289297535,modal_spectral_validated_with_exported_fields
M1.40_a0.200000,1.4,0.2,0.3240857069010081,0.0232528549709631,0.0046505709941926,modal_spectral_validated_with_exported_fields
M1.50_a0.100000,1.5,0.1,0.3293676490936765,0.0460323254563964,0.0046032325456396,modal_spectral_validated_with_exported_fields
M1.50_a0.125000,1.5,0.125,0.3492641497157056,0.0487962958623987,0.0060995369827998,modal_spectral_validated_with_exported_fields
M1.50_a0.137500,1.5,0.1375,0.3561293840907055,0.0454370701278998,0.0062475971425862,modal_spectral_validated_with_exported_fields
M1.50_a0.150000,1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101,modal_spectral_validated_with_exported_fields
M1.50_a0.156250,1.5,0.15625,0.3652797747157056,0.0399391725184009,0.0062404957060001,modal_spectral_validated_with_exported_fields
