group,metric,n_charts,median,p95,max
pQscaled,ode_norm,15,0.5061074132054806,0.7922461699675383,0.8359466905258366
pQscaled,compat_norm,15,0.001086534395504195,0.002429137613550042,0.002597518424571317
pq_etaaware,ode_norm,24,0.009247137409351182,0.05876382034890375,0.18092375764576485
pq_etaaware,compat_norm,24,0.0011157115664541832,0.002240897058932577,0.0033513364366426607
pq_legacy,ode_norm,10,0.004266195611887004,0.06165683475006245,0.07887585755573355
pq_legacy,compat_norm,10,0.0009442299364462801,0.0034018326597464238,0.0036314791945782163
