Diagnostic,Family,Median,P95,Maximum
Normalized ODE residual,pQscaled,0.5061074132054806,0.7922461699675383,0.8359466905258366
Normalized ODE residual,pq_etaaware,0.00924713740935115,0.05876382034890365,0.1809237576457648
Normalized ODE residual,pq_legacy,0.00426619561188695,0.06165683475006238,0.0788758575557335
Normalized compatibility residual,All charts,0.0010865343955041,0.002911699506799677,0.0036314791945782
