configuration,n_runs,best_ci_mae_median,best_ci_mae_q90,best_ci_mae_max,best_p_rel_median,best_p_rel_q90,best_p_rel_max,best_env_median,best_env_q90,best_env_max,best_phase_median,best_phase_q90,best_phase_max
Anchor bande,6,0.00325314493530795,0.06895876862108699,0.1280827082783762,2.9126211508121505,7.108626504742372,7.6755294833593535,2.909374109680875,7.108082702661337,7.67505973001894,0.0286348582856213,0.047701882396597006,0.0538446697349592
Anchor max,6,0.00059677332960545,0.0085906856539148,0.0163805017029624,0.25669874686144495,0.5191848447277678,0.547254083001994,0.24242725133559911,0.5137792638951996,0.544233624568932,0.037622459017819895,0.094112653226502,0.103916306904319
Anchor point,6,0.001499622609983,0.0076758046480316,0.0088017115151267,0.3654516710300641,0.7259757459442155,0.821418567051106,0.3587317786145011,0.7247938378134327,0.8191639269791844,0.0325467147452977,0.0792782022020551,0.1005154072256814
Anchor point+max,6,0.0006262642284400499,0.0022440701723098,0.0025939217055458,0.34588465632355847,0.50192014417641,0.5361378249752434,0.33271550855652865,0.4983066626817606,0.5354559355711854,0.032809873095902095,0.0683914866954537,0.0814930477029031
