t401_id,atlas_chart,Mach,alpha,status,n_modal_points,pressure_rel_l2,amplitude_rel_l2,pressure_overlap,alignment_real,alignment_imag,kappa_abs_mean,q_abs_mean
0,C00,1.0,0.055,OK,1201,0.05641815403181671,0.03520693936726236,0.9984072274856799,1.0137871715642504,-0.023902795339854142,0.008418668061494827,0.012306416407227516
1,C00,1.0,0.065,OK,1201,0.09415882680477823,0.03518732949659239,0.9955571883798274,0.9971151367106319,-0.031043163448250675,0.007704587187618017,0.012422366067767143
2,C00,1.0,0.075,OK,1201,0.16187204481457743,0.03909439691534123,0.9868117556593794,0.972547219773789,-0.03558095750447406,0.007935033179819584,0.015694979578256607
3,C00,1.0,0.085,OK,1201,0.24311669173197276,0.05196611706440647,0.9699970485528813,0.9384161930264425,-0.0389799381688738,0.008182404562830925,0.022309130057692528
4,C00,1.0,0.095,OK,1201,0.3254482976022847,0.07540805157640465,0.945559837127072,0.8956868823270513,-0.04048937320346287,0.00866786204278469,0.028978511691093445
5,C00,1.0,0.11,OK,1201,0.4267305954505951,0.11968324138165724,0.9043787917163802,0.8256631660723912,-0.03976375375053658,0.010965355671942234,0.035223234444856644
6,C00,1.0,0.125,OK,1201,0.49409326293938527,0.16185521938159508,0.8694089069695061,0.7596269681286756,-0.04258189960661659,0.014121858403086662,0.036512378603219986
7,C00,1.05,0.05,OK,1201,0.18456414311371291,0.037574091192497834,0.9828204704200567,0.9926965680952627,-0.03708905731793168,0.009009265340864658,0.011637084186077118
8,C00,1.05,0.06,OK,1201,0.2445637766066712,0.04583649685548758,0.9696332085752235,0.9613382928302409,-0.0475415104171817,0.008296896703541279,0.011914558708667755
9,C00,1.05,0.07,OK,1201,0.31305482857903427,0.06367460695183712,0.949735054793363,0.9212520804601596,-0.05584457363055597,0.008210640400648117,0.014093642123043537
10,C00,1.05,0.075,OK,1201,0.35032516543570325,0.07677186010772627,0.9366281431082708,0.8974573916596533,-0.05916777762231095,0.008242286741733551,0.016023142263293266
11,C00,1.05,0.085,OK,1201,0.4290679336355566,0.11159326742265332,0.9032722227134597,0.8419872554103564,-0.0636717437159057,0.008394716307520866,0.02091357670724392
12,C00,1.05,0.1,OK,1201,0.5455614491124279,0.18148747200022655,0.8380708235240902,0.7432097689371203,-0.06358234455533843,0.008509918116033077,0.028604023158550262
