case_id,solver,sweep_type,Mach,alpha,Ly,rtol,atol,accuracy_label,accuracy_order,run_id,config_hash,regime,sweep_name,reference_policy,max_step,matching_y,n_points,cr,ci,omega_i,runtime_seconds,stage1_mismatch,stage2_mismatch,solver_success,spectral_success,modal_reconstruction_success,branch_distance,branch_relative_distance,branch_check_passed,overall_validated,converged,mode_file,error_message,reference_cr,reference_ci,reference_omega_i,branch_identifier,reference_run_id,is_reference_run,core_threshold,abs_error_cr,abs_error_ci,abs_error_omega_i,complex_error_c,modal_error_message,mode_error_p_core,mode_error_p_full,mode_error_rho_core,mode_error_rho_full,mode_error_u_core,mode_error_u_full,mode_error_v_core,mode_error_v_full,mode_error_max_core,mode_error_max_full,alignment_real,alignment_imag,phase_alignment_residual
subsonic_M030,subsonic_mstab17,shooting_accuracy,0.3,0.4399999999999999,80.0,1e-10,1e-12,strict_1e-10,2,subsonic_M030__subsonic_mstab17__shooting_accuracy__direct__b77358122e3f,b77358122e3ff75d60addbd35dfdaf17b63ed48666f4b9ba310e92a7636db6a2,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.3892136131649134,0.17125398979256184,2.470093333045952,3.8258894924182494e-05,2.0194839173657902e-28,True,True,True,0.0003941660702849181,0.0010137509150590104,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M030__subsonic_mstab17__shooting_accuracy__direct__b77358122e3f/mode.npz,,0.0,0.38881944709462846,0.17108055672163647,subsonic_cr0_M0.30_from_M0.28_M0.35,subsonic_M030__subsonic_mstab17__shooting_accuracy__direct__fe967dede78b,False,0.001,0.0,4.227562744318902e-12,1.8601231666082185e-12,4.227562744318902e-12,,8.266286632932877e-12,8.266287611768421e-12,8.266284158272111e-12,8.266285137105526e-12,5.0921385616201485e-11,5.092137274758364e-11,1.2220797640751787e-11,1.2220795791990667e-11,5.0921385616201485e-11,5.092137274758364e-11,0.9999999999917077,-1.109285611706324e-11,2.877091727313798e-11
subsonic_M030,subsonic_mstab17,shooting_accuracy,0.3,0.4399999999999999,80.0,1e-12,1e-14,reference_1e-12,3,subsonic_M030__subsonic_mstab17__shooting_accuracy__direct__fe967dede78b,fe967dede78be7281624bff7ec1b1f12f767769aa0a41452c9379dc4771d6412,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.38921361316914094,0.17125398979442197,5.373276915983297,3.825886862605718e-05,1.0223637331664313e-27,True,True,True,0.00039416607451248087,0.0010137509259318276,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M030__subsonic_mstab17__shooting_accuracy__direct__fe967dede78b/mode.npz,,0.0,0.38881944709462846,0.17108055672163647,subsonic_cr0_M0.30_from_M0.28_M0.35,subsonic_M030__subsonic_mstab17__shooting_accuracy__direct__fe967dede78b,True,0.001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-06,1e-08,coarse_1e-6,0,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__0e803e9b31b1,0e803e9b31b1318d3ba831b105a54080d9f286f8032157bc6adadd798f5fd9b5,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.3576957925722587,0.1573861487317938,0.7471284589264542,2.5047892615049355e-05,1.2621774483536189e-27,True,True,True,0.00041012326441641767,0.0011478861304763102,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__0e803e9b31b1/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__daedf4323c48,False,0.001,0.0,1.4134685794031654e-07,6.219261747264504e-08,1.4134685794031654e-07,,1.5058757751100296e-07,1.5058758426256084e-07,1.5058757749020512e-07,1.5058758424176303e-07,9.331191497222574e-07,9.331188955587395e-07,2.368212631886196e-07,2.3682120327313525e-07,9.331191497222574e-07,9.331188955587395e-07,0.9999998371354153,-7.649367966508963e-07,5.305934856639407e-07
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-08,1e-10,standard_1e-8,1,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__23feb146d480,23feb146d480d68bbd19b4c8bfe52003df67f7b98993d18e58ad315fa1db5b39,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.3576959328801617,0.1573862104672711,1.2313269999576733,2.463311191931566e-05,4.349072212017581e-24,True,True,True,0.0004102635723194359,0.0011482788355721793,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__23feb146d480/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__daedf4323c48,False,0.001,0.0,1.0389549220946037e-09,4.571401590602875e-10,1.0389549220946037e-09,,9.462352496087065e-10,9.462355717886866e-10,9.462352553643984e-10,9.462355775443688e-10,6.809236624153681e-09,6.809234784311298e-09,1.8159507178165642e-09,1.8159502948898312e-09,6.809236624153681e-09,6.809234784311298e-09,0.9999999989565901,-5.804471215509295e-09,3.8650060110187435e-09
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-10,1e-12,strict_1e-10,2,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__efdb1ca8887c,efdb1ca8887ccecfc6b82100206b3706503cd5f23e850078b6e940582448608e,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.3576959339155025,0.15738621092282104,2.440683374996297,2.4629298372068634e-05,5.048709793414476e-29,True,True,True,0.00041026460766019346,0.0011482817333675474,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__efdb1ca8887c/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__daedf4323c48,False,0.001,0.0,3.6141645232135033e-12,1.590227949321843e-12,3.6141645232135033e-12,,7.172594019530652e-12,7.172594188023288e-12,7.172592655188141e-12,7.172592823682389e-12,5.180239735809295e-11,5.18023833497511e-11,1.1905612866567923e-11,1.1905611233506785e-11,5.180239735809295e-11,5.18023833497511e-11,0.9999999999926519,-2.0504477046621537e-11,2.917638508267062e-11
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-12,1e-14,reference_1e-12,3,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__daedf4323c48,daedf4323c48ff7e3c53d68d143d95a36940d462535d4e663856dabcf0926d98,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.35769593391911664,0.15738621092441127,5.388499166001566,2.4629258171094587e-05,1.2621774483536189e-27,True,True,True,0.000410264611274358,0.0011482817434831632,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__daedf4323c48/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42,subsonic_M040__subsonic_mstab17__shooting_accuracy__direct__daedf4323c48,True,0.001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-06,1e-08,coarse_1e-6,0,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__b4b6a7dfc2eb,b4b6a7dfc2ebeaeb6642d596e36a8e9cddcc8f848315894a43f34a4857e8ce7e,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.38005818734369406,0.14062152931716682,0.7112840410554782,2.1376058527650235e-05,3.805601448168328e-22,True,True,True,0.0002478477534489931,0.0006525566252787679,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__b4b6a7dfc2eb/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__21afba4f7962,False,0.001,0.0,5.963536825470683e-08,2.2065086230371733e-08,5.963536825470683e-08,,1.535432267112017e-07,1.5354324486848694e-07,1.535432267112017e-07,1.5354324486848694e-07,7.229883375991602e-07,7.229881822844489e-07,2.1405535104124349e-07,2.1405530857193528e-07,7.229883375991602e-07,7.229881822844489e-07,0.9999998419912729,-4.5438378746132823e-07,4.484728277135571e-07
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-08,1e-10,standard_1e-8,1,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__5e67a6ea1e9d,5e67a6ea1e9d672f935072daed49f5b07f5ffe77d63dcc10e402e2bba90926a3,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.3800582464330627,0.1406215511802332,1.1493222080171108,2.115726714510006e-05,1.262177448353619e-29,True,True,True,0.00024790684281761344,0.0006527122012662043,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__5e67a6ea1e9d/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__21afba4f7962,False,0.001,0.0,5.459996343937235e-10,2.0201984529677475e-10,5.459996343937235e-10,,9.279035265385183e-10,9.279036468497265e-10,9.279035265385183e-10,9.279036468497265e-10,5.287732743766021e-09,5.287731578925314e-09,1.6290769222535868e-09,1.629076570731872e-09,5.287732743766021e-09,5.287731578925314e-09,0.9999999990303811,-3.971003239902696e-09,3.2612460988913386e-09
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-10,1e-12,strict_1e-10,2,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__fb9fe2804c7a,fb9fe2804c7a6f054cb15bce43630f3cc51ce5d8eab6e69851ea3e3f46f36bbb,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.3800582469746575,0.14062155138062327,2.3075181250460446,2.115469247004937e-05,5.048709793414476e-29,True,True,True,0.000247907384412438,0.0006527136272274489,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__fb9fe2804c7a/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__21afba4f7962,False,0.001,0.0,4.4048098502003086e-12,1.6297796445741142e-12,4.4048098502003086e-12,,7.830477718192627e-12,7.83048198970883e-12,7.830477718192627e-12,7.83048198970883e-12,4.6331961142656044e-11,4.6331951342275335e-11,1.3373193830379544e-11,1.3373194622087687e-11,4.6331961142656044e-11,4.6331951342275335e-11,0.9999999999919004,-3.566736521855124e-11,2.843914020377779e-11
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-12,1e-14,reference_1e-12,3,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__21afba4f7962,21afba4f7962e519bc5a590423eecfab2027018b02e6114654a9e9ab27237145,subsonic,subsonic_pointwise_accuracy_direct,smallest_tolerances_same_case,,1.0,2001,0.0,0.3800582469790623,0.14062155138225305,5.05026791698765,2.115466347225484e-05,5.048709793414476e-29,True,True,True,0.00024790738881724783,0.0006527136388248421,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_direct_v1/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__21afba4f7962/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56,subsonic_M050__subsonic_mstab17__shooting_accuracy__direct__21afba4f7962,True,0.001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
