run_id,regime,case_id,solver,sweep_name,sweep_type,Mach,alpha,Ly,n_points,mapping_kind,mapping_scale,xi_max,rtol,atol,max_step,matching_y,seed_cr,seed_ci,reference_cr,reference_ci,cr,ci,omega_i,riccati_mismatch,amplitude_mismatch,legacy_stage2_mismatch,solver_success,spectral_success,modal_reconstruction_success,legacy_mode_success,legacy_success,legacy_stage2_bound_hit,ln_p_start_right_exact,runtime_seconds,converged,branch_identifier,branch_distance,branch_relative_distance,branch_distance_check_passed,branch_check_passed,branch_provenance_status,branch_candidate_used,tail_sensitivity_flag,overall_validated,relative_p_window_error,relative_py_window_error,relative_p_jump,relative_py_jump,finite_fields,nondegenerate_fields,pressure_ode_residual_left,pressure_ode_residual_right,riccati_residual_left,riccati_residual_right,modal_diagnostic_error,mode_file,config_hash,error_message,accuracy_label,accuracy_order,Ly_multiplier,selection_source,n_finite_modes,validation_status,matching_factor_real,matching_factor_imag,reference_run_id,reference_selection,reference_error_message,abs_error_cr,abs_error_ci,abs_error_omega_i,complex_error_c,relative_error_ci,core_threshold,common_grid_size,phase_alignment_residual,modal_error_message,mode_error_p_core,mode_error_p_full,mode_error_rho_core,mode_error_rho_full,mode_error_u_core,mode_error_u_full,mode_error_v_core,mode_error_v_full,mode_error_max_core,mode_error_max_full,common_y_min,common_y_max,alignment_real,alignment_imag,n_core_points
subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-08,1e-10,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225798207249,0.1336612899103624,2.663764609451664e-05,1.6983859745046296e-25,1.6983859745046296e-25,True,True,True,True,True,False,-5.000025169576369,1.963242124998942,True,subsonic_cr0_physical,1.153659399871776e-05,4.315421523237493e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696/mode.npz,1caba2e7d6961f0a118b8e7ef74c63603be50a60f42864074327e54444d23bd4,,default_primary_tolerance,0.0,,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,overall,,0.0,3.299270301404533e-10,1.6496348731465105e-10,3.299270301404533e-10,1.2341906544315116e-09,0.001,2000,4.821518475058598e-09,,4.791875722867167e-10,4.791876271864062e-10,4.791875722867167e-10,4.791876271864062e-10,9.236759120138016e-09,9.23675613251451e-09,1.7472375562534508e-09,1.7472372031759726e-09,9.236759120138016e-09,9.23675613251451e-09,-80.0,80.0,0.999999999493888,7.29304823794555e-12,424.0
subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-08,1e-10,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225798207249,0.1336612899103624,2.663764609451664e-05,1.6983859745046296e-25,1.6983859745046296e-25,True,True,True,True,True,False,-5.000025169576369,1.963242124998942,True,subsonic_cr0_physical,1.153659399871776e-05,4.315421523237493e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696/mode.npz,1caba2e7d6961f0a118b8e7ef74c63603be50a60f42864074327e54444d23bd4,,default_primary_tolerance,0.0,,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,overall,,0.0,3.299270301404533e-10,1.6496348731465105e-10,3.299270301404533e-10,1.2341906544315116e-09,0.01,2000,4.821632435280013e-09,,4.791372884845136e-10,4.791855048980291e-10,4.791372884845136e-10,4.791855048980291e-10,9.237064096886515e-09,9.236756431977655e-09,1.7472373725624512e-09,1.7472366605270959e-09,9.237064096886515e-09,9.236756431977655e-09,-80.0,80.0,0.9999999994938902,7.295224970053986e-12,292.0
subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-08,1e-10,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225798207249,0.1336612899103624,2.663764609451664e-05,1.6983859745046296e-25,1.6983859745046296e-25,True,True,True,True,True,False,-5.000025169576369,1.963242124998942,True,subsonic_cr0_physical,1.153659399871776e-05,4.315421523237493e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696/mode.npz,1caba2e7d6961f0a118b8e7ef74c63603be50a60f42864074327e54444d23bd4,,default_primary_tolerance,0.0,,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,overall,,0.0,3.299270301404533e-10,1.6496348731465105e-10,3.299270301404533e-10,1.2341906544315116e-09,0.05,2000,4.824636571894993e-09,,4.796739967351958e-10,4.797239178056796e-10,4.796739967351958e-10,4.797239178056796e-10,9.244623448278703e-09,9.236679152577865e-09,1.7482241357545185e-09,1.7473764950076696e-09,9.244623448278703e-09,9.236679152577865e-09,-80.0,80.0,0.999999999493332,7.314024002091059e-12,200.0
subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225801506519,0.1336612900753259,2.6633894873981852e-05,2.0194839173657902e-28,2.0194839173657902e-28,True,True,True,True,True,False,-5.000025169597269,2.525582709000446,True,subsonic_cr0_physical,1.153626407168762e-05,4.315298109497951e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565/mode.npz,808ce6f065658abceb365837cb1cc7d992bd860bf1c5835d984d24ac8e0f3995,,strict_mstab17_tolerance,1.0,,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,overall,,0.0,0.0,0.0,0.0,0.0,0.001,2000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,80.0,1.0,0.0,424.0
subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225801506519,0.1336612900753259,2.6633894873981852e-05,2.0194839173657902e-28,2.0194839173657902e-28,True,True,True,True,True,False,-5.000025169597269,2.525582709000446,True,subsonic_cr0_physical,1.153626407168762e-05,4.315298109497951e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565/mode.npz,808ce6f065658abceb365837cb1cc7d992bd860bf1c5835d984d24ac8e0f3995,,strict_mstab17_tolerance,1.0,,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,overall,,0.0,0.0,0.0,0.0,0.0,0.01,2000,1.5543601415833353e-16,,1.412441932943881e-16,1.4124481410566805e-16,1.412441932943881e-16,1.4124481410566805e-16,1.6603414771873289e-16,1.6603322239469564e-16,1.6808328544873843e-16,1.6808277104638687e-16,1.6808328544873843e-16,1.6808277104638687e-16,-80.0,80.0,0.9999999999999999,0.0,292.0
subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225801506519,0.1336612900753259,2.6633894873981852e-05,2.0194839173657902e-28,2.0194839173657902e-28,True,True,True,True,True,False,-5.000025169597269,2.525582709000446,True,subsonic_cr0_physical,1.153626407168762e-05,4.315298109497951e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565/mode.npz,808ce6f065658abceb365837cb1cc7d992bd860bf1c5835d984d24ac8e0f3995,,strict_mstab17_tolerance,1.0,,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,overall,,0.0,0.0,0.0,0.0,0.0,0.05,2000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,80.0,1.0,0.0,200.0
subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,100.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673256487851239,0.1336628243925619,1.7030881637125933e-05,3.2311742677852644e-27,3.2311742677852644e-27,True,True,True,True,True,False,-5.000059276449429,2.6772886249236763,True,subsonic_cr0_physical,8.467629599662185e-06,3.167433215492067e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc/mode.npz,2022ce01fbfc599ee56de5c8a76b846e4376163cddcf74a8fa5dbb49160d8878,,,,1.25,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,overall,,0.0,0.0,0.0,0.0,0.0,0.001,2000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.0,0.0,338.0
subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,100.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673256487851239,0.1336628243925619,1.7030881637125933e-05,3.2311742677852644e-27,3.2311742677852644e-27,True,True,True,True,True,False,-5.000059276449429,2.6772886249236763,True,subsonic_cr0_physical,8.467629599662185e-06,3.167433215492067e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc/mode.npz,2022ce01fbfc599ee56de5c8a76b846e4376163cddcf74a8fa5dbb49160d8878,,,,1.25,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,overall,,0.0,0.0,0.0,0.0,0.0,0.01,2000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.0,0.0,234.0
subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,100.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673256487851239,0.1336628243925619,1.7030881637125933e-05,3.2311742677852644e-27,3.2311742677852644e-27,True,True,True,True,True,False,-5.000059276449429,2.6772886249236763,True,subsonic_cr0_physical,8.467629599662185e-06,3.167433215492067e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc/mode.npz,2022ce01fbfc599ee56de5c8a76b846e4376163cddcf74a8fa5dbb49160d8878,,,,1.25,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,overall,,0.0,0.0,0.0,0.0,0.0,0.05,2000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.0,0.0,160.0
subsonic_interior__subsonic_mstab17__shooting_box__4619d3b1c939,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225801506519,0.1336612900753259,2.6633894873981852e-05,2.0194839173657902e-28,2.0194839173657902e-28,True,True,True,True,True,False,-5.000025169597269,3.105307750054635,True,subsonic_cr0_physical,1.153626407168762e-05,4.315298109497951e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__4619d3b1c939/mode.npz,4619d3b1c9396d3ff00a367abb18a445fa40f788cf92737df4e60d7d631cc414,,,,1.0,,,robust_reference_primary,,,subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,overall,,0.0,3.068634471969922e-06,1.5343172360127166e-06,3.068634471969922e-06,1.1479012529906877e-05,0.001,2000,0.00020709661698868642,,2.3821792536134723e-05,2.3821796949489563e-05,2.3821792536134723e-05,2.3821796949489563e-05,0.0003990322013052026,0.0003990320728418664,5.994991299242351e-05,5.994990247999524e-05,0.0003990322013052026,0.0003990320728418664,-80.0,80.0,0.9999956491761142,0.00047658972586662145,424.0
