Ly,Mach,accuracy_label,accuracy_order,alpha,atol,branch_check_passed,branch_distance,branch_identifier,branch_relative_distance,case_id,ci,config_hash,converged,cr,error_message,matching_y,max_step,modal_reconstruction_success,mode_file,n_mode_points,n_points,omega_i,overall_validated,physical_dy,reference_ci,reference_cr,reference_omega_i,reference_policy,regime,rtol,run_id,runtime_seconds,solver,solver_success,spectral_success,stage1_mismatch,stage2_mismatch,sweep_name,sweep_type,trajectory_n_eval_left,trajectory_n_eval_right,reference_run_id,is_reference_run,core_threshold,abs_error_cr,abs_error_ci,abs_error_omega_i,complex_error_c,modal_error_message,mode_error_p_core,mode_error_p_full,mode_error_rho_core,mode_error_rho_full,mode_error_u_core,mode_error_u_full,mode_error_v_core,mode_error_v_full,mode_error_max_core,mode_error_max_full,alignment_real,alignment_imag,phase_alignment_residual
10.0,0.1,Ly10_N501,0,0.4399999999999999,1e-12,True,0.0005422099664444402,subsonic_cr0_M0.10_from_M0.07_M0.14,0.0012734130635569984,subsonic_M010,0.42633489417992054,7ccc95a14887a9921899279d5a509b6ffebb26d7e8ee244bddcc37c2925c4e8e,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__7ccc95a14887/mode.npz,501,501,0.187587353439165,True,0.04,0.4257926842134761,0.0,0.18734878105392944,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__7ccc95a14887,3.4015654999529943,subsonic_mstab17,True,True,2.3913340050017156e-05,5.965760595733902e-30,subsonic_pointwise_box_small_boxes,shooting_box,276,251,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__6a1850e96a5e,False,0.001,0.0,8.633094239485217e-13,3.798628078754973e-13,8.633094239485217e-13,,3.674536832350323e-11,3.674536832350323e-11,3.674536779501283e-11,3.674536779501283e-11,4.914330541434123e-11,4.914330541434123e-11,4.2087436550751715e-11,4.2087436550751715e-11,4.914330541434123e-11,4.914330541434123e-11,0.9913203125505398,-0.13146877168001744,4.215660670822987e-11
20.0,0.1,Ly20_N1001,1,0.4399999999999999,1e-12,True,0.0005422099659835311,subsonic_cr0_M0.10_from_M0.07_M0.14,0.0012734130624745255,subsonic_M010,0.42633489417945963,a35648295bc2a2a050dbe72d5a9c213ce5a6c12bf8bae951f90f87888b58dbcf,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__a35648295bc2/mode.npz,1001,1001,0.18758735343896218,True,0.04,0.4257926842134761,0.0,0.18734878105392944,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__a35648295bc2,4.116574915940873,subsonic_mstab17,True,True,2.391334000926844e-05,1.9721522630525295e-29,subsonic_pointwise_box_small_boxes,shooting_box,526,501,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__6a1850e96a5e,False,0.001,0.0,1.3242185126216555e-12,5.826727988988978e-13,1.3242185126216555e-12,,9.551902227695204e-13,9.551900876935792e-13,9.551999871928957e-13,9.551998521181643e-13,9.613211274807481e-12,9.613209039768649e-12,5.217962268347394e-12,5.21796116225095e-12,9.613211274807481e-12,9.613209039768649e-12,0.993620634558881,-0.1127742638146349,5.89461026544485e-12
40.0,0.1,Ly40_N2001,2,0.4399999999999999,1e-12,True,0.0005422099671473779,subsonic_cr0_M0.10_from_M0.07_M0.14,0.0012734130652078902,subsonic_M010,0.4263348941806235,1d33a683ffb5b6fc6362b8783bb6349af2a91e44a8d244bb5dc4718cbfdb32d4,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__1d33a683ffb5/mode.npz,2001,2001,0.18758735343947427,True,0.04,0.4257926842134761,0.0,0.18734878105392944,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__1d33a683ffb5,3.6961581660434604,subsonic_mstab17,True,True,2.39133400046925e-05,4.543838814073028e-28,subsonic_pointwise_box_small_boxes,shooting_box,1026,1001,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__6a1850e96a5e,False,0.001,0.0,1.6037171590710386e-13,7.058242879054433e-14,1.6037171590710386e-13,,2.6607802991816224e-12,2.660780305567789e-12,2.660782889737626e-12,2.660782896125074e-12,2.183804093045816e-11,2.183803538375176e-11,6.539101343433918e-12,6.5390999757862455e-12,2.183804093045816e-11,2.183803538375176e-11,0.9971630491906603,-0.07527186282917445,1.233080875457774e-11
80.0,0.1,Ly80_N4001,3,0.4399999999999999,1e-12,True,0.0005422099673077496,subsonic_cr0_M0.10_from_M0.07_M0.14,0.001273413065584533,subsonic_M010,0.42633489418078385,6a1850e96a5ec61c018f527041868acafe7da3fd52e5190468ef8a795c96e128,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__6a1850e96a5e/mode.npz,4001,4001,0.18758735343954486,True,0.04,0.4257926842134761,0.0,0.18734878105392944,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__6a1850e96a5e,6.105987958027981,subsonic_mstab17,True,True,2.3913340060279943e-05,0.0,subsonic_pointwise_box_small_boxes,shooting_box,2026,2001,subsonic_M010__subsonic_mstab17__shooting_box__resolution_coupled__6a1850e96a5e,True,0.001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.0,0.2,Ly10_N501,0,0.4399999999999999,1e-12,True,0.000253645537410363,subsonic_cr0_M0.20_from_M0.14_M0.21,0.0006156573821847216,subsonic_M020,0.41224503027526005,372e4f04c2cfd0b889ddf58febd7ad7a32a2222d57749738ff0f954cd3c9897e,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__372e4f04c2cf/mode.npz,501,501,0.18138781332111437,True,0.04,0.4119913847378497,0.0,0.18127620928465382,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__372e4f04c2cf,2.413037957972847,subsonic_mstab17,True,True,2.4420782913623017e-05,2.2790684589900794e-29,subsonic_pointwise_box_small_boxes,shooting_box,276,251,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__382b928f4dc5,False,0.001,0.0,7.857048345272233e-13,3.4572344986827375e-13,7.857048345272233e-13,,3.8796545277930314e-11,3.8796545277930314e-11,3.8796545083749084e-11,3.8796545083749084e-11,4.8350394141477264e-11,4.8350394141477264e-11,4.501758050423755e-11,4.501758050423755e-11,4.8350394141477264e-11,4.8350394141477264e-11,0.8695735948012445,-0.49380336494675825,4.352809573473163e-11
20.0,0.2,Ly20_N1001,1,0.4399999999999999,1e-12,True,0.0002536455384835601,subsonic_cr0_M0.20_from_M0.14_M0.21,0.0006156573847896234,subsonic_M020,0.41224503027633325,140e506c75ca59fbeb66a1764c3a1d9df86504a701d4d3814a8b70226f2e1e04,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__140e506c75ca/mode.npz,1001,1001,0.18138781332158657,True,0.04,0.4119913847378497,0.0,0.18127620928465382,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__140e506c75ca,3.177621166105382,subsonic_mstab17,True,True,2.4420784464621568e-05,1.437698999765294e-28,subsonic_pointwise_box_small_boxes,shooting_box,526,501,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__382b928f4dc5,False,0.001,0.0,2.874922522266843e-13,1.2648215808042096e-13,2.874922522266843e-13,,1.3224169032032086e-12,1.3224168633950134e-12,1.3224231476258294e-12,1.3224231078138376e-12,1.6675943417898823e-11,1.6675939610759874e-11,4.55100001119316e-12,4.550999052542361e-12,1.6675943417898823e-11,1.6675939610759874e-11,0.9036075668404763,-0.42836125542722714,9.330398500925123e-12
40.0,0.2,Ly40_N2001,2,0.4399999999999999,1e-12,True,0.00025364553824941405,subsonic_cr0_M0.20_from_M0.14_M0.21,0.0006156573842212959,subsonic_M020,0.4122450302760991,8ba72242e3bb5a0ab15407b46e874f949d4060c0da01c0a9af2d659688860a5a,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__8ba72242e3bb/mode.npz,2001,2001,0.18138781332148357,True,0.04,0.4119913847378497,0.0,0.18127620928465382,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__8ba72242e3bb,3.6313169170171022,subsonic_mstab17,True,True,2.4420784150094202e-05,0.0,subsonic_pointwise_box_small_boxes,shooting_box,1026,1001,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__382b928f4dc5,False,0.001,0.0,5.334621633323877e-14,2.348121697082206e-14,5.334621633323877e-14,,1.3774281851357153e-13,1.3774280743851145e-13,1.3774547125560212e-13,1.3774546017725998e-13,2.214228521452771e-12,2.2142279634210026e-12,6.358265109827067e-13,6.358263576620117e-13,2.214228521452771e-12,2.2142279634210026e-12,0.9567675495535756,-0.2908536678838464,1.2413557169779061e-12
80.0,0.2,Ly80_N4001,3,0.4399999999999999,1e-12,True,0.00025364553819606783,subsonic_cr0_M0.20_from_M0.14_M0.21,0.000615657384091812,subsonic_M020,0.41224503027604575,382b928f4dc5e0ea7514f38ef140ae9c13682eb184f596e6005ebfd5bb4fe11a,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__382b928f4dc5/mode.npz,4001,4001,0.1813878133214601,True,0.04,0.4119913847378497,0.0,0.18127620928465382,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__382b928f4dc5,5.712219249922782,subsonic_mstab17,True,True,2.4420784045034897e-05,8.077935669463161e-28,subsonic_pointwise_box_small_boxes,shooting_box,2026,2001,subsonic_M020__subsonic_mstab17__shooting_box__resolution_coupled__382b928f4dc5,True,0.001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.0,0.3,Ly10_N501,0,0.4399999999999999,1e-12,True,0.0003965343833509105,subsonic_cr0_M0.30_from_M0.28_M0.35,0.0010198419505863976,subsonic_M030,0.38921598147797937,70bb22d0dc113cc6a2c1a30dafba2044c5b49b5613f0a643eee6d0c7951c1aa2,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M030__subsonic_mstab17__shooting_box__resolution_coupled__70bb22d0dc11/mode.npz,501,501,0.17125503185031088,True,0.04,0.38881944709462846,0.0,0.17108055672163647,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M030__subsonic_mstab17__shooting_box__resolution_coupled__70bb22d0dc11,2.334682541899383,subsonic_mstab17,True,True,2.7993702312075393e-05,3.818086781269697e-28,subsonic_pointwise_box_small_boxes,shooting_box,276,251,subsonic_M030__subsonic_mstab17__shooting_box__resolution_coupled__5aff31b4a8f9,False,0.001,0.0,2.790767617000256e-12,1.2279344208110388e-12,2.790767617000256e-12,,4.284524693666695e-11,4.284524693666695e-11,4.284524686366393e-11,4.284524686366393e-11,5.419518062393882e-11,5.419518062393882e-11,4.881224650572716e-11,4.881224650572716e-11,5.419518062393882e-11,5.419518062393882e-11,0.4340456645988078,-0.9008908707749953,4.806366225104621e-11
20.0,0.3,Ly20_N1001,1,0.4399999999999999,1e-12,True,0.0003965343806821564,subsonic_cr0_M0.30_from_M0.28_M0.35,0.0010198419437226615,subsonic_M030,0.3892159814753106,657ab3cdef50b10e63419748e114231fa6e2b6bfc01d10129ac34114c89469ac,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M030__subsonic_mstab17__shooting_box__resolution_coupled__657ab3cdef50/mode.npz,1001,1001,0.17125503184913662,True,0.04,0.38881944709462846,0.0,0.17108055672163647,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M030__subsonic_mstab17__shooting_box__resolution_coupled__657ab3cdef50,2.712236832943745,subsonic_mstab17,True,True,2.7993702811965754e-05,2.279808016088724e-28,subsonic_pointwise_box_small_boxes,shooting_box,526,501,subsonic_M030__subsonic_mstab17__shooting_box__resolution_coupled__5aff31b4a8f9,False,0.001,0.0,1.220135104063047e-13,5.367928324062632e-14,1.220135104063047e-13,,3.270394698306555e-13,3.2703943432049904e-13,3.2704296220589613e-13,3.2704292669693726e-13,4.99097962961932e-12,4.990978509635942e-12,1.486227580905459e-12,1.4862272608629595e-12,4.99097962961932e-12,4.990978509635942e-12,0.5722430044359669,-0.8200841078051668,2.818801991974701e-12
