Mach,eta,covered,selected_chart,n_candidates
0.25,0.6,True,HIGH_LOWM_COMPACTY,1
0.25,0.625,True,HIGH_LOWM_COMPACTY,1
0.25,0.65,True,HIGH_LOWM_COMPACTY,1
0.3,0.25,True,LOW,1
0.3,0.275,True,LOW,1
0.3,0.3,True,LOW,1
0.3,0.325,True,LOW,1
0.3,0.35,True,MID,2
0.3,0.375,True,MID,2
0.3,0.4,True,MID,2
0.3,0.425,True,MID,1
0.3,0.45,True,MID,1
0.3,0.475,True,MID,1
0.3,0.5,True,MID,1
0.3,0.525,True,MID,1
0.3,0.55,True,HIGH_LOWM_COMPACTY,2
0.3,0.575,True,HIGH_LOWM_COMPACTY,1
0.3,0.6,True,HIGH_LOWM_COMPACTY,1
0.3,0.625,True,HIGH_LOWM_COMPACTY,1
0.3,0.65,True,HIGH_LOWM_COMPACTY,1
0.35,0.25,True,LOW,1
0.35,0.275,True,LOW,1
0.35,0.3,True,LOW,1
0.35,0.325,True,LOW,1
0.35,0.35,True,MID,2
0.35,0.375,True,MID,2
0.35,0.4,True,MID,2
0.35,0.425,True,MID,1
0.35,0.45,True,MID,1
0.35,0.475,True,MID,1
0.35,0.5,True,MID,2
0.35,0.525,True,MID,2
0.35,0.55,True,HIGH_LOWM_COMPACTY,3
0.35,0.575,True,HIGH_LOWM_COMPACTY,2
0.35,0.6,True,HIGH_LOWM_COMPACTY,2
0.35,0.625,True,HIGH_LOWM_COMPACTY,2
0.35,0.65,True,HIGH_LOWM_COMPACTY,2
0.4,0.25,True,LOW,1
0.4,0.275,True,LOW,1
0.4,0.3,True,LOW,1
0.4,0.325,True,LOW,1
0.4,0.35,True,MID,2
0.4,0.375,True,MID,2
0.4,0.4,True,MID,2
0.4,0.425,True,MID,1
0.4,0.45,True,MID,1
0.4,0.475,True,MID,1
0.4,0.5,True,MID,2
0.4,0.525,True,MID,2
0.4,0.55,True,HIGH_LOWM_COMPACTY,3
0.4,0.575,True,HIGH_LOWM_COMPACTY,2
0.4,0.6,True,HIGH_LOWM_COMPACTY,2
0.4,0.625,True,HIGH_LOWM_COMPACTY,2
0.4,0.65,True,HIGH_LOWM_COMPACTY,2
0.45,0.25,True,LOW,1
0.45,0.275,True,LOW,1
0.45,0.3,True,LOW,1
0.45,0.325,True,LOW,1
0.45,0.35,True,MID,2
0.45,0.375,True,MID,2
0.45,0.4,True,MID,2
0.45,0.425,True,MID,1
0.45,0.45,True,MID,1
0.45,0.475,True,MID,1
0.45,0.5,True,MID,2
0.45,0.525,True,MID,2
0.45,0.55,True,MID,2
0.45,0.575,True,HIGH_HIM,1
0.45,0.6,True,HIGH_HIM,1
0.45,0.625,True,HIGH_HIM,1
0.45,0.65,True,HIGH_HIM,1
0.5,0.25,True,LOW,1
0.5,0.275,True,LOW,1
0.5,0.3,True,LOW,1
0.5,0.325,True,LOW,1
0.5,0.35,True,MID,2
0.5,0.375,True,MID,2
0.5,0.4,True,MID,2
0.5,0.425,True,MID,1
0.5,0.45,True,MID,1
0.5,0.475,True,MID,1
0.5,0.5,True,MID,2
0.5,0.525,True,MID,2
0.5,0.55,True,MID,2
0.5,0.575,True,HIGH_HIM,1
0.5,0.6,True,HIGH_HIM,1
0.5,0.625,True,HIGH_HIM,1
0.5,0.65,True,HIGH_HIM,1
0.55,0.25,True,LOW,1
0.55,0.275,True,LOW,1
0.55,0.3,True,LOW,1
0.55,0.325,True,LOW,1
0.55,0.35,True,MID,2
0.55,0.375,True,MID,2
0.55,0.4,True,MID,2
0.55,0.425,True,MID,1
0.55,0.45,True,MID,1
0.55,0.475,True,MID,1
0.55,0.5,True,MID,2
0.55,0.525,True,MID,2
0.55,0.55,True,MID,2
0.55,0.575,True,HIGH_HIM,1
0.55,0.6,True,HIGH_HIM,1
0.55,0.625,True,HIGH_HIM,1
0.55,0.65,True,HIGH_HIM,1
0.6,0.25,True,LOW,1
0.6,0.275,True,LOW,1
0.6,0.3,True,LOW,1
0.6,0.325,True,LOW,1
0.6,0.35,True,MID,2
0.6,0.375,True,MID,2
0.6,0.4,True,MID,2
0.6,0.425,True,MID,1
0.6,0.45,True,MID,1
0.6,0.475,True,MID,1
0.6,0.5,True,MID,2
0.6,0.525,True,MID,2
0.6,0.55,True,MID,2
0.6,0.575,True,HIGH_HIM,1
0.6,0.6,True,HIGH_HIM,1
0.6,0.625,True,HIGH_HIM,1
0.6,0.65,True,HIGH_HIM,1
0.65,0.25,True,LOW,1
0.65,0.275,True,LOW,1
0.65,0.3,True,LOW,1
0.65,0.325,True,LOW,1
0.65,0.35,True,MID,2
0.65,0.375,True,MID,2
0.65,0.4,True,MID,2
0.65,0.425,True,MID,1
0.65,0.45,True,MID,1
0.65,0.475,True,MID,1
0.65,0.5,True,MID,2
0.65,0.525,True,MID,2
0.65,0.55,True,MID,2
0.65,0.575,True,HIGH_HIM,1
0.65,0.6,True,HIGH_HIM,1
0.65,0.625,True,HIGH_HIM,1
0.65,0.65,True,HIGH_HIM,1
0.7,0.25,True,LOW,1
0.7,0.275,True,LOW,1
0.7,0.3,True,LOW,1
0.7,0.325,True,LOW,1
0.7,0.35,True,MID,2
0.7,0.375,True,MID,2
0.7,0.4,True,MID,2
0.7,0.425,True,MID,1
0.7,0.45,True,MID,1
0.7,0.475,True,MID,1
0.7,0.5,True,MID,2
0.7,0.525,True,MID,2
0.7,0.55,True,MID,2
0.7,0.575,True,HIGH_HIM,1
0.7,0.6,True,HIGH_HIM,1
0.7,0.625,True,HIGH_HIM,1
0.7,0.65,True,HIGH_HIM,1
