chart_id,path,M_min,M_max,eta_min,eta_max,script,anchor_mach_values,anchor_eta_values,ymax,central_ymax,epochs,role,expected_status,status,diagnostics_exists,n_eval,ci_rel_err_mean,ci_rel_err_max,p_rel_mean,p_rel_max,q_rel_mean,q_rel_max,u_rel_mean,u_rel_max,v_rel_mean,v_rel_max,gamma_rel_mean,gamma_rel_max,ci_abs_err_mean,ci_abs_err_max
LOWM_EXT_VLOW_EXTREME,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_LOWM_EXT_VLOW_EXTREME_M0.05_0.10_eta0.05_0.12_ciIDW,0.05,0.1,0.05,0.12,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.05,0.0667,0.0833,0.10","0.05,0.07,0.09,0.105,0.12",220,55,30000,low_mach_extension__very_low_eta_pQscaled_longwave,ci_only_or_validated_after_gep,planned,True,20,2.92307924731495,8.293661024632092,0.7351805823282629,1.0111460301037638,1.0139226939842474,1.0813436144494142,0.8367316584496274,1.3430223611287169,1.0077430274491928,1.0617472740946858,1.1576521643398918,1.6589586623782155,0.5464510071523369,0.7585413254079291
LOWM_EXT_VLOW_MOD,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_LOWM_EXT_VLOW_MOD_M0.05_0.10_eta0.12_0.25_ciIDW,0.05,0.1,0.12,0.25,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.05,0.0667,0.0833,0.10","0.12,0.15,0.18,0.215,0.25",120,30,30000,low_mach_extension__low_eta_pQscaled,validated_candidate,planned,True,20,2.26021895412961,6.781019361920641,0.6903020248265198,1.2608102448261298,0.8520841636544025,1.1498894771985853,0.9400302698264312,1.8744407991009844,0.8482337751172138,1.125566583370776,2.270930882038926,6.558180969918015,0.4010420211613733,0.6201945557132638
HM1_VLOW_EXTREME,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM1_VLOW_EXTREME_M0.70_0.85_eta0.05_0.12_ciIDW,0.7,0.85,0.05,0.12,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.70,0.75,0.80,0.85","0.05,0.07,0.09,0.105,0.12",220,55,30000,high_mach_extension_1__very_low_eta_pQscaled_longwave,ci_only_or_validated_after_gep,planned,True,20,1.5946788963003975,5.055141865317967,0.6569384430453117,0.9774286217235432,0.9791421449109391,1.143779156715025,0.8401999248197113,1.1132653012009075,0.9858777581048038,1.137131161526985,1.1307069710582893,3.548288853135092,0.2670772171301695,0.4623451572538199
HM1_VLOW_MOD,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM1_VLOW_MOD_M0.70_0.85_eta0.12_0.25_ciIDW,0.7,0.85,0.12,0.25,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.70,0.75,0.80,0.85","0.12,0.15,0.18,0.215,0.25",120,30,30000,high_mach_extension_1__low_eta_pQscaled,validated_candidate,planned,True,20,1.2306923104439402,4.121842364528494,0.4575695462727875,1.0456926889924911,0.582268135198694,0.9915834158562076,0.6715830833510958,1.1385605113926902,0.561326808712397,0.9843190874526332,1.0137735691199172,4.361722632330737,0.20047498972045924,0.3769852374031276
HM1_LOW,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_LOW_M0.70_0.85_eta0.25_0.40_ciIDW,0.7,0.85,0.25,0.4,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.25,0.30,0.35,0.40",80,20,25000,high_mach_extension_1__low_eta_standard_pq,validated_candidate,planned,True,20,0.8170292866736594,2.923634026536394,0.40319458622250315,0.9422544904859408,0.5564003536974416,0.977201974511864,0.8777249537717339,1.5658221714536251,0.5808297740746967,0.9690489717909232,0.8093864197569081,1.3806405771212251,0.13805069312459642,0.267396656664662
HM1_MID,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_MID_M0.70_0.85_eta0.35_0.55_ciIDW,0.7,0.85,0.35,0.55,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,"0.70,0.75,0.80,0.85","0.35,0.40,0.45,0.50,0.55",80,20,25000,high_mach_extension_1__mid_eta_standard_pq,validated_candidate,planned,True,20,0.5557951656413678,1.8762400191995123,0.3799097010170754,0.9309177081130752,0.5371129892179353,0.9934567779779374,0.9592658888959305,2.8390178228239558,0.5638609288376302,1.124833187420792,0.7314485334612731,1.8058186815467483,0.11849288395454098,0.3253548004310045
HM2_VLOW_EXTREME,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM2_VLOW_EXTREME_M0.85_0.98_eta0.05_0.12_ciIDW,0.85,0.98,0.05,0.12,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.85,0.90,0.94,0.98","0.05,0.07,0.09,0.105,0.12",260,65,30000,high_mach_extension_2__very_low_eta_pQscaled_longwave,ci_only_or_validated_after_gep,planned,True,20,1.3164316699552439,4.342125336483593,0.6650110319263608,0.9944798203489742,2.0066937785616585,5.239469719914745,0.7820849046195139,1.1246224387933164,1.918133277218067,4.740063080475979,2.3516771190849566,6.365780681131797,0.21821931607889605,0.3971324000391881
HM2_VLOW_MOD,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM2_VLOW_MOD_M0.85_0.98_eta0.12_0.25_ciIDW,0.85,0.98,0.12,0.25,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,"0.85,0.90,0.94,0.98","0.12,0.15,0.18,0.215,0.25",160,40,30000,high_mach_extension_2__low_eta_pQscaled,validated_candidate,planned,True,20,1.0712670545298246,3.6940212743873,0.5754453588343795,0.991183051431274,0.8610884345453277,0.9973762229188096,0.9016105020661513,1.2772893609185036,0.8785736007502873,1.006707820366486,0.8345749782532279,1.6873362789286637,0.1765029422541787,0.33785656120219
