chart_id,exists,n,ci_ref_min,ci_ref_mean,ci_abs_mean,ci_abs_max,ci_rel_mean,ci_rel_max,worst_Mach,worst_eta,worst_ci_ref,worst_ci_pred,worst_ci_abs,worst_ci_rel
LOWM_EXT_LOW_EVALFIX,True,12,0.492703989400279,0.5479317525450741,0.0008616379426037022,0.0019867973246289,0.0016339180658078835,0.0040324360414603,0.1,0.375,0.492703989400279,0.494690786724908,0.0019867973246289,0.0040324360414603
LOWM_EXT_MID_EVALFIX,True,16,0.3506086103587487,0.4214981510164252,0.0006884541496893925,0.0016279003772394,0.001733069520598044,0.0046430701618358,0.1,0.525,0.3506086103587487,0.3522365107359881,0.0016279003772394,0.0046430701618358
LOWM_EXT_HIGH_EVALFIX,True,12,0.2664087929336322,0.28755305038668016,0.0,0.0,0.0,0.0,0.05,0.575,0.3088408944233174,0.3088408944233174,0.0,0.0
LOWM_EXT_NEUTRAL1_EVALFIX,True,12,0.1520130076211431,0.18956190616190505,0.0027549828499585914,0.0072261372314168,0.014208678383727075,0.0381507588088759,0.05,0.725,0.1894100525658653,0.1821839153344485,0.0072261372314168,0.0381507588088759
LOWM_EXT_NEUTRAL2_EVALFIX,True,12,0.0684642931714267,0.09251939887020122,0.0022649716788258416,0.0034822711328074,0.02608698556021281,0.0488052469984509,0.05,0.895,0.0686787494608213,0.0720306327918014,0.0033518833309801,0.0488052469984509
LOWM_EXT_NEUTRAL3_EVALFIX,True,12,0.0159621024172772,0.02896591291631477,0.0017159364049211003,0.0026543537166189,0.08272402373364605,0.1585319816533802,0.1,0.975,0.0159621024172772,0.013431598689712,0.0025305037275651,0.1585319816533802
HM1_HIGH_EVALFIX,True,12,0.1816785713902156,0.20536037373694085,0.00063614190592765,0.0017819789359023,0.003039929428641342,0.0085075173642482,0.71,0.625,0.201585207870493,0.2033001975268268,0.0017149896563338,0.0085075173642482
HM1_NEUTRAL1_EVALFIX,True,12,0.1042152796382641,0.13686338786269925,0.002044613724717158,0.0055322506794286,0.014894356345543125,0.039699775881838,0.8,0.725,0.1333510336808683,0.1280570275301264,0.0052940061507419,0.039699775881838
HM1_NEUTRAL2_EVALFIX,True,12,0.0468706972994338,0.06743476180119408,0.001642529810504125,0.0027690130433876,0.025878324852804568,0.0519641396598262,0.71,0.895,0.053286998717086,0.0560560117604736,0.0027690130433876,0.0519641396598262
HM1_NEUTRAL3_EVALFIX,True,12,0.0108954547857919,0.02123504280202013,0.0008146597578377516,0.001999725799684,0.05048366093345589,0.16398062343997,0.8,0.975,0.0114507527637059,0.0095730511866564,0.0018777015770494,0.16398062343997
HM2_LOW_EVALFIX,True,12,0.319734589662295,0.35813588892576825,0.002973117245654808,0.0087724697484061,0.008277134075912566,0.0245643174219543,0.97,0.375,0.3571224714986705,0.3658949412470767,0.0087724697484061,0.0245643174219543
HM2_MID_EVALFIX,True,16,0.2349822123117598,0.29449235091432424,0.004066503624662781,0.012544045558527,0.01350666407541817,0.0418362691943132,0.97,0.525,0.299836620236493,0.31238066579502,0.012544045558527,0.0418362691943132
HM2_HIGH_EVALFIX,True,12,0.1803416180789513,0.22017770866665468,0.007496726236402049,0.0310039311621113,0.02796885486983916,0.1187123710862521,0.97,0.625,0.2611684938849805,0.2921724250470918,0.0310039311621113,0.1187123710862521
HM2_NEUTRAL1_EVALFIX,True,12,0.1030573260225907,0.15843787148672078,0.008710814357722425,0.0420759416423946,0.04442147556057618,0.2104918528122306,0.97,0.775,0.1998934451868239,0.2419693868292186,0.0420759416423946,0.2104918528122306
HM2_NEUTRAL2_EVALFIX,True,12,0.0450208682603476,0.08967381088448173,0.013963555760405049,0.0567032192707437,0.10210726035501842,0.3988893865537382,0.97,0.895,0.1421527400381326,0.1988559593088763,0.0567032192707437,0.3988893865537382
HM2_NEUTRAL3_EVALFIX,True,12,0.0097888516923925,0.034686711942016064,0.014079578370447732,0.0678924429963067,0.24139796761344243,1.082068345938698,0.97,0.975,0.0266581947048844,0.0555041833549104,0.028845988650026,1.082068345938698
