run,n_eval,ci_abs_mean,ci_abs_max,ci_rel_mean,p_rel_mean,q_rel_mean,u_rel_mean,v_rel_mean,gamma_rel_mean,ci_rel_max,p_rel_max,q_rel_max,gamma_rel_max,worst_p_Mach,worst_p_eta,worst_q_Mach,worst_q_eta
seedGEP_pq2d_ATLAS_NEUTRAL3_HIM_M0.35_0.70_eta0.92_0.98_ciIDW,32,0.0001514775158516607,0.0002931781386123,0.006544773602826085,0.006515861199892143,0.011862214154868374,0.20565147040669343,0.012356715029676404,0.028041407486375673,0.0181441072765599,0.0250358146470867,0.035721916091313,0.0915749399687419,0.7,0.9275,0.7,0.9275
seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,28,0.0001636499582332803,0.0003084565381018,0.006472250814774224,0.005683478444957123,0.009617870801012668,0.4273452798849599,0.01275952043523246,0.017871684172334815,0.0177880209455831,0.0153976441591972,0.0249156582254772,0.0497956861402675,0.4,0.9275,0.4,0.9275
