chart_id,path,exists,n_eval,Mach_min_eval,Mach_max_eval,eta_min_eval,eta_max_eval,ci_rel_err_mean,ci_rel_err_max,p_rel_mean,p_rel_max,q_rel_mean,q_rel_max,u_rel_mean,u_rel_max,v_rel_mean,v_rel_max,gamma_rel_mean,gamma_rel_max
LOWM_EXT_LOW_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_LOW_M0.05_0.10_eta0.25_0.40_ciIDW_EVALFIX,True,12,0.05,0.1,0.275,0.375,0.0016339180658078835,0.0040324360414603,0.043306595944007126,0.0789162888989813,0.0935572597697199,0.1740083938085554,0.1637159866929714,0.3021378695527371,0.09861023072092721,0.1832990984090559,0.09229126566721219,0.1640457631594734
LOWM_EXT_MID_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_MID_M0.05_0.10_eta0.35_0.55_ciIDW_EVALFIX,True,16,0.05,0.1,0.375,0.525,0.001733069520598044,0.0046430701618358,0.10370854047630831,0.3656710020805317,0.1548011340811477,0.4896578330626764,0.16182909800627276,0.4533373970170249,0.13329499027990105,0.4020567126749657,1.1234295154498197,8.432896192255317
LOWM_EXT_HIGH_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_HIGH_M0.05_0.10_eta0.55_0.65_ciIDW_EVALFIX,True,12,0.05,0.1,0.575,0.625,0.0,0.0,0.006137427912674725,0.0102344572439479,0.01105538239473279,0.0197164602884519,0.03143639973743775,0.0516948228372875,0.010771500248448149,0.0183292686059348,0.016442936110909842,0.0242204927826481
LOWM_EXT_NEUTRAL1_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_NEUTRAL1_M0.05_0.10_eta0.65_0.80_ciIDW_EVALFIX,True,12,0.05,0.1,0.675,0.775,0.014208678383727075,0.0381507588088759,0.002693273716939867,0.0043053984335915,0.004160825471753892,0.007485971693187,0.059913849900769096,0.1356374121927395,0.008587824193733043,0.0163071062262086,0.009735910270252368,0.0135718228145122
LOWM_EXT_NEUTRAL2_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_NEUTRAL2_M0.05_0.10_eta0.80_0.92_ciIDW_EVALFIX,True,12,0.05,0.1,0.825,0.895,0.02608698556021281,0.0488052469984509,0.0010841882463837834,0.0021011823216984,0.0016818290134376168,0.002487003090752,0.16530550086596768,0.3256468193599949,0.010249640110409625,0.0164603176192216,0.006061319437174392,0.0152248000876116
LOWM_EXT_NEUTRAL3_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_LOWM_EXT_NEUTRAL3_M0.05_0.10_eta0.92_0.98_ciIDW_EVALFIX,True,12,0.05,0.1,0.935,0.975,0.08272402373364605,0.1585319816533802,0.001190166003038225,0.0017797109811196,0.0017130976388395915,0.0023080418622931,0.9685524787343672,2.241625784258728,0.014288745639053685,0.0243059629924445,0.007878017649672251,0.0115201555082821
HM1_HIGH_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_HIGH_M0.70_0.85_eta0.55_0.65_ciIDW_EVALFIX,True,12,0.71,0.84,0.575,0.625,0.003039929428641342,0.0085075173642482,0.06113360737630385,0.1341240310518059,0.09192399654813614,0.1963404414406012,0.12387506252682795,0.2281458604392516,0.09157408388573163,0.1956357210505357,0.22795198985230494,0.4509409460273761
HM1_NEUTRAL1_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_NEUTRAL1_M0.70_0.85_eta0.65_0.80_ciIDW_EVALFIX,True,12,0.71,0.84,0.675,0.775,0.014894356345543125,0.039699775881838,0.05061185967925715,0.12844621078718,0.0733981378659143,0.1800269306562968,0.10211757118716881,0.2216676355298227,0.07136821313618842,0.1772033664813027,0.1514843608909752,0.3743026555732012
HM1_NEUTRAL2_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_NEUTRAL2_M0.70_0.85_eta0.80_0.92_ciIDW_EVALFIX,True,12,0.71,0.84,0.825,0.895,0.025878324852804568,0.0519641396598262,0.030542668635807124,0.0815408781256205,0.04458935522614337,0.1109780352752906,0.13696769036821127,0.2206216370273741,0.04379502932922749,0.1100812588681553,0.10424343804987657,0.2586481088372755
HM1_NEUTRAL3_EVALFIX,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_NEUTRAL3_M0.70_0.85_eta0.92_0.98_ciIDW_EVALFIX,True,12,0.71,0.84,0.935,0.975,0.05048366093345589,0.16398062343997,0.01666323173324651,0.0425569081577712,0.031139878351596803,0.0739638362931029,0.8559290983486436,3.560152761287266,0.03354419873604293,0.0704037014342004,0.07094228787670825,0.1646139526560955
