chart_id,metric,value,Mach,eta,alpha,ci_ref,ci_pred,ci_abs_err,ci_rel_err,p_rel,q_rel,rho_rel,u_rel,v_rel,gamma_rel
LMEDGE_VLOW,ci_abs_err,0.0010441191471283,0.055,0.12,0.1198183625326268,0.8047861661518474,0.8058302852989757,0.0010441191471283,0.0012973870464509,0.1471316567887101,0.1619932966740813,0.1471316567887101,0.0858835618436763,0.1555517750142724,0.4551420151904053
LMEDGE_VLOW,ci_rel_err,0.0012973870464509,0.055,0.12,0.1198183625326268,0.8047861661518474,0.8058302852989757,0.0010441191471283,0.0012973870464509,0.1471316567887101,0.1619932966740813,0.1471316567887101,0.0858835618436763,0.1555517750142724,0.4551420151904053
LMEDGE_VLOW,p_rel,0.2386308996205164,0.045,0.12,0.1198784384282678,0.8054727162033554,0.8064718671118278,0.0009991509084724,0.0012404528277283,0.2386308996205164,0.2610037892483377,0.2386308996205164,0.1250265755645963,0.2506518111782534,0.4074510780781153
LMEDGE_VLOW,q_rel,0.2610037892483377,0.045,0.12,0.1198784384282678,0.8054727162033554,0.8064718671118278,0.0009991509084724,0.0012404528277283,0.2386308996205164,0.2610037892483377,0.2386308996205164,0.1250265755645963,0.2506518111782534,0.4074510780781153
LMEDGE_VLOW,u_rel,0.1250265755645963,0.045,0.12,0.1198784384282678,0.8054727162033554,0.8064718671118278,0.0009991509084724,0.0012404528277283,0.2386308996205164,0.2610037892483377,0.2386308996205164,0.1250265755645963,0.2506518111782534,0.4074510780781153
LMEDGE_VLOW,v_rel,0.2506518111782534,0.045,0.12,0.1198784384282678,0.8054727162033554,0.8064718671118278,0.0009991509084724,0.0012404528277283,0.2386308996205164,0.2610037892483377,0.2386308996205164,0.1250265755645963,0.2506518111782534,0.4074510780781153
LMEDGE_LOW,ci_abs_err,0.0023061534710524,0.055,0.365,0.3644475193700733,0.5053026914973908,0.5076088449684433,0.0023061534710524,0.0045639049818209,0.0021469523594892,0.0048298688761993,0.0021469523594892,0.0142606823256484,0.0063892073526568,0.0120385109494064
LMEDGE_LOW,ci_rel_err,0.0045639049818209,0.055,0.365,0.3644475193700733,0.5053026914973908,0.5076088449684433,0.0023061534710524,0.0045639049818209,0.0021469523594892,0.0048298688761993,0.0021469523594892,0.0142606823256484,0.0063892073526568,0.0120385109494064
LMEDGE_LOW,p_rel,0.1095373032717711,0.035,0.365,0.3647763689920168,0.5058913293956092,0.5076973035686386,0.0018059741730294,0.0035698856020857,0.1095373032717711,0.1399529417419742,0.109537303271771,0.1078035909783377,0.1197009198176063,0.2552664043332444
LMEDGE_LOW,q_rel,0.1399529417419742,0.035,0.365,0.3647763689920168,0.5058913293956092,0.5076973035686386,0.0018059741730294,0.0035698856020857,0.1095373032717711,0.1399529417419742,0.109537303271771,0.1078035909783377,0.1197009198176063,0.2552664043332444
LMEDGE_LOW,u_rel,0.1078035909783377,0.035,0.365,0.3647763689920168,0.5058913293956092,0.5076973035686386,0.0018059741730294,0.0035698856020857,0.1095373032717711,0.1399529417419742,0.109537303271771,0.1078035909783377,0.1197009198176063,0.2552664043332444
LMEDGE_LOW,v_rel,0.1197009198176063,0.035,0.365,0.3647763689920168,0.5058913293956092,0.5076973035686386,0.0018059741730294,0.0035698856020857,0.1095373032717711,0.1399529417419742,0.109537303271771,0.1078035909783377,0.1197009198176063,0.2552664043332444
LMEDGE_MID,ci_abs_err,0.0012452618485444,0.055,0.525,0.5242053360802426,0.3520124310049777,0.3532576928535221,0.0012452618485444,0.0035375507762305,0.3074271949088519,0.4194604126157825,0.3074271949088519,0.3810087828024602,0.3386754489590102,0.5738882936302605
LMEDGE_MID,ci_rel_err,0.0035375507762305,0.055,0.525,0.5242053360802426,0.3520124310049777,0.3532576928535221,0.0012452618485444,0.0035375507762305,0.3074271949088519,0.4194604126157825,0.3074271949088519,0.3810087828024602,0.3386754489590102,0.5738882936302605
LMEDGE_MID,p_rel,0.372186261135755,0.035,0.525,0.52467833896112,0.3523457060650215,0.3533699625515123,0.0010242564864907,0.0029069645772886,0.372186261135755,0.4939514807512284,0.372186261135755,0.4557930904872945,0.4045216861345272,0.578538836591241
