gep_regime,alpha,eta,Mach,chart_id,chart_status,N,ci_classic,ci_seed,ci_seed_abs_err,ci_seed_rel_err,selection_source,n_finite_modes,gep_cr,gep_ci,ci_gep_abs_err,ci_gep_rel_err,p_rel,rho_rel,u_rel,v_rel,p_overlap,success
longwave_map10_N301,0.0177920935741131,0.025,0.7025,ETAEDGE_HM1,ci_only,301,0.6578104902975829,0.6511807012747148,0.006629789022868,0.0100785699234878,nearest_to_target,188,-2.3159177909181444e-13,0.6580916813300466,0.0002811910324637,0.0004274651082814,3.081625211294589e-05,3.081625211295056e-05,0.0008389410255272,0.0002490905280186,0.9999999995251804,True
longwave_map10_N301,0.0249089310037584,0.035,0.7025,ETAEDGE_HM1,ci_only,301,0.6475329675828094,0.645366173071555,0.0021667945112544,0.0033462304156388,nearest_to_target,143,-1.3734139500537244e-14,0.6478052057169525,0.0002722381341431,0.0004204235888704,1.4283501661642254e-05,1.4283501661646852e-05,0.0008533334215478,0.0002553215236058,0.9999999998979934,True
longwave_map10_N301,0.0320257684334037,0.045,0.7025,ETAEDGE_HM1,ci_only,301,0.6374196094573372,0.6387066370138348,0.0012870275564975,0.0020191213721731,nearest_to_target,148,1.646484103636111e-14,0.6376769137539317,0.0002573042965944,0.0004036654862461,1.7702594241932135e-05,1.7702594241938928e-05,0.0008546256733652,0.0002451292158847,0.9999999998433136,True
longwave_map10_N301,0.039142605863049,0.055,0.7025,ETAEDGE_HM1,ci_only,301,0.627427401998998,0.6328932234435536,0.0054658214445555,0.008711480287825,nearest_to_target,151,-1.6080979222950105e-13,0.6276942262396717,0.0002668242406737,0.0004252671142885,2.299153473251845e-05,2.299153473252297e-05,0.0008802440127993,0.0002552318060907,0.9999999997357018,True
longwave_map10_N301,0.01660654520814,0.025,0.7475,ETAEDGE_HM1,ci_only,301,0.6303103912250254,0.6244120458752761,0.0058983453497493,0.0093578424723186,nearest_to_target,136,5.103104081383889e-14,0.6306185380180317,0.0003081467930062,0.0004888810295628,4.698395113412188e-05,4.698395113412086e-05,0.0008593275032624,0.0002664322326406,0.9999999988962556,True
longwave_map10_N301,0.0232491632913961,0.035,0.7475,ETAEDGE_HM1,ci_only,301,0.6206033344939085,0.6189314486514257,0.0016718858424827,0.0026939685134727,nearest_to_target,172,-3.387956647627635e-13,0.6209001600813131,0.0002968255874046,0.0004782855181509,1.557957297343971e-05,1.5579572973436673e-05,0.0008760958063001,0.0002816415218374,0.9999999998786414,True
longwave_map10_N301,0.0298917813746521,0.045,0.7475,ETAEDGE_HM1,ci_only,301,0.6110533094740744,0.6126831751877939,0.0016298657137194,0.0026673052718138,nearest_to_target,148,-5.49038185456294e-13,0.6113328221104146,0.0002795126363401,0.0004574275795687,1.918946000054436e-05,1.918946000053482e-05,0.0008739830006588,0.0002696228713759,0.9999999998158868,True
longwave_map10_N301,0.0365343994579081,0.055,0.7475,ETAEDGE_HM1,ci_only,301,0.6016137576410918,0.6072612844385544,0.0056475267974626,0.0093872966263377,nearest_to_target,151,1.422920249036842e-13,0.6018957466997565,0.0002819890586647,0.0004687210940294,2.434464642486312e-05,2.434464642485776e-05,0.0008924466895142,0.0002741354020831,0.999999999703676,True
longwave_map10_N301,0.0152467978195423,0.025,0.7925,ETAEDGE_HM1,ci_only,301,0.6027042991521654,0.5973718850827356,0.0053324140694297,0.0088474797291656,nearest_to_target,132,-3.0813237041285674e-14,0.6030448868447797,0.0003405876926143,0.0005650991590626,4.394431226587169e-05,4.394431226586646e-05,0.0009263366334341,0.0002968946960931,0.9999999990344492,True
longwave_map10_N301,0.0213455169473592,0.035,0.7925,ETAEDGE_HM1,ci_only,301,0.5936462685186304,0.5922343436890957,0.0014119248295347,0.0023783941791768,nearest_to_target,141,1.955135807543524e-13,0.5939396445682743,0.0002933760496438,0.0004941933693543,1.6439645539272756e-05,1.643964553927372e-05,0.0008718215700909,0.0002846418283769,0.9999999998648716,True
