index,chart_id,job_name,model,script,M_min,M_max,eta_min,eta_max,anchor_M,anchor_eta,eval_M,eval_eta,ymax,central_ymax,epochs,output_dir,slurm_path
1,LMEDGE_VLOW,KH_FR01,pQscaled2d,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,0.02,0.06,0.05,0.13,"0.02,0.03,0.04,0.05,0.06","0.05,0.07,0.09,0.11,0.13","0.025,0.035,0.045,0.055","0.06,0.08,0.10,0.12",320,80,45000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_LMEDGE_VLOW_ciIDW_EVALFIX,slurm/atlas_fullrect/01_LMEDGE_VLOW.slurm
2,LMEDGE_LOW,KH_FR02,pq2d,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,0.02,0.06,0.12,0.4,"0.02,0.03,0.04,0.05,0.06","0.12,0.19,0.26,0.33,0.40","0.025,0.035,0.045,0.055","0.155,0.225,0.295,0.365",100,25,40000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_LOW_ciIDW_EVALFIX,slurm/atlas_fullrect/02_LMEDGE_LOW.slurm
3,LMEDGE_MID,KH_FR03,pq2d,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,0.02,0.06,0.35,0.55,"0.02,0.03,0.04,0.05,0.06","0.35,0.40,0.45,0.50,0.55","0.025,0.035,0.045,0.055","0.375,0.425,0.475,0.525",80,20,40000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_MID_ciIDW_EVALFIX,slurm/atlas_fullrect/03_LMEDGE_MID.slurm
4,LMEDGE_HIGH,KH_FR04,pq2d,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,0.02,0.06,0.55,0.65,"0.02,0.03,0.04,0.05,0.06","0.55,0.575,0.60,0.625,0.65","0.025,0.035,0.045,0.055","0.5625,0.5875,0.6125,0.6375",40,10,40000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_HIGH_ciIDW_EVALFIX,slurm/atlas_fullrect/04_LMEDGE_HIGH.slurm
5,LMEDGE_NEUTRAL1,KH_FR05,pq2d,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,0.02,0.06,0.65,0.8,"0.02,0.03,0.04,0.05,0.06","0.65,0.6875,0.725,0.7625,0.80","0.025,0.035,0.045,0.055","0.66875,0.70625,0.74375,0.78125",35,9,40000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL1_ciIDW_EVALFIX,slurm/atlas_fullrect/05_LMEDGE_NEUTRAL1.slurm
6,LMEDGE_NEUTRAL2,KH_FR06,pq2d,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,0.02,0.06,0.8,0.92,"0.02,0.03,0.04,0.05,0.06","0.80,0.83,0.86,0.89,0.92","0.025,0.035,0.045,0.055","0.815,0.845,0.875,0.905",28,7,40000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL2_ciIDW_EVALFIX,slurm/atlas_fullrect/06_LMEDGE_NEUTRAL2.slurm
7,LMEDGE_NEUTRAL3,KH_FR07,pq2d,scripts/dev/train_subsonic_seedGEP_pq2d_continuous_M_alpha_etaaware.py,0.02,0.06,0.92,0.98,"0.02,0.03,0.04,0.05,0.06","0.92,0.935,0.95,0.965,0.98","0.025,0.035,0.045,0.055","0.9275,0.9425,0.9575,0.9725",20,5,40000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pq2d_FULLRECT_LMEDGE_NEUTRAL3_ciIDW_EVALFIX,slurm/atlas_fullrect/07_LMEDGE_NEUTRAL3.slurm
8,ETAEDGE_LM,KH_FR08,pQscaled2d,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,0.05,0.35,0.02,0.06,"0.05,0.125,0.20,0.275,0.35","0.02,0.03,0.04,0.05,0.06","0.0875,0.1625,0.2375,0.3125","0.025,0.035,0.045,0.055",350,90,45000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_LM_ciIDW_EVALFIX,slurm/atlas_fullrect/08_ETAEDGE_LM.slurm
9,ETAEDGE_MM,KH_FR09,pQscaled2d,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,0.3,0.7,0.02,0.06,"0.30,0.40,0.50,0.60,0.70","0.02,0.03,0.04,0.05,0.06","0.35,0.45,0.55,0.65","0.025,0.035,0.045,0.055",450,110,45000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_MM_ciIDW_EVALFIX,slurm/atlas_fullrect/09_ETAEDGE_MM.slurm
10,ETAEDGE_HM1,KH_FR10,pQscaled2d,scripts/dev/train_subsonic_seedGEP_pQscaled2d_continuous_M_alpha.py,0.68,0.86,0.02,0.06,"0.68,0.725,0.77,0.815,0.86","0.02,0.03,0.04,0.05,0.06","0.7025,0.7475,0.7925,0.8375","0.025,0.035,0.045,0.055",700,175,45000,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM1_ciIDW_EVALFIX,slurm/atlas_fullrect/10_ETAEDGE_HM1.slurm
