gep_regime,chart_id,ci_seed_abs_err_mean,ci_seed_rel_err_mean,ci_gep_abs_err_mean,ci_gep_rel_err_mean,p_rel_mean,rho_rel_mean,u_rel_mean,v_rel_mean,p_overlap_mean,ci_seed_abs_err_max,ci_seed_rel_err_max,ci_gep_abs_err_max,ci_gep_rel_err_max,p_rel_max,rho_rel_max,u_rel_max,v_rel_max,p_overlap_max,p_overlap_min
longwave_map10_N301,ETAEDGE_HM1,0.0035638513209388,0.005909342493572169,0.0003068916483124375,0.0005128681011431625,3.342893322145556e-05,3.342893322145523e-05,0.000919996393824425,0.00029657105986033753,0.9999999991132358,0.006629789022868,0.0100785699234878,0.0004474899935484,0.0007781730694268,0.0001199932618538,0.0001199932618538,0.0014386296419432,0.0005029257547868,0.9999999998979934,0.9999999928008092
longwave_map10_N301,ETAEDGE_HM2A,0.0009343384331851481,0.0017454420232461472,0.0005190373372671562,0.0009716297517189937,0.00035532337106603754,0.00035532337106603825,0.001478848791798225,0.0006691675622540812,0.9999997427070879,0.0019493049360472,0.003440276422134,0.0016313192724377,0.0031035425789298,0.0023900865013646,0.0023900865013646,0.0034138292680626,0.0029561222150961,0.9999999996536784,0.9999971437392124
longwave_map10_N301,ETAEDGE_LM,0.00995981239689575,0.011134834358697875,0.0002148443001666,0.000241249201637,1.3849673873103303e-05,1.3849673873103859e-05,0.000798899678980075,0.000171063988603825,0.9999999998998195,0.0174601699845211,0.018391210972307,0.0002405650164316,0.0002744124710096,1.7767707373478343e-05,1.7767707373478885e-05,0.0008512193128728,0.0001897182763253,0.9999999999564768,0.999999999842158
longwave_map10_N301,ETAEDGE_MM,0.009447606154611418,0.01245548531682993,0.0002297620747149,0.00030692228232930626,1.4579950129044883e-05,1.457995012904245e-05,0.0008200621716946937,0.000201811593721475,0.9999999998863421,0.0178965914544881,0.0208543914186215,0.0002591783117915,0.000394241025059,2.197094773160436e-05,2.197094773160622e-05,0.0008744706524931,0.0002424159251658,0.9999999999619346,0.9999999997586458
longwave_map10_N301,LMEDGE_VLOW,0.0005311271160391309,0.0006289651406556925,0.000248473089551975,0.00029338777194848125,2.5898273653328996e-05,2.5898273653328803e-05,0.0009121388795178249,0.00020114910943453126,0.9999999996490884,0.0010253940300921,0.0012740902064791,0.0002825575654731,0.0003507943189187,3.378558763883786e-05,3.378558763883756e-05,0.0009961058420858,0.0002333712799873,0.9999999998240944,0.9999999994292736
longwave_map20_xi0995_N301,ETAEDGE_HM2B,0.0003796011498290884,0.0007604349259117768,0.0017380933398997186,0.0034812843158815252,0.00022951825993906832,0.00022951825993906827,0.003970055072645494,0.001744219394008475,0.9999999162923745,0.0008282513379105,0.0016779715321373,0.0018589380160369,0.0038497420346055,0.0015260355645217,0.0015260355645217,0.004658161568135,0.0018750131472831,0.9999999957040394,0.9999988356105002
neutral3_N401,LMEDGE_NEUTRAL3,0.00019551418475375072,0.007640089651149219,0.00012383541291860573,0.006498095043771331,7.982713445090768e-05,7.982713445091207e-05,0.001786967203482325,0.00017631266433826086,0.9999999948771672,0.0003762602625005,0.0213607941353194,0.0004122585774731,0.0234130172309617,0.0001896355909728,0.0001896355909728,0.0025213589783977,0.000533924480703,0.9999999991719138,0.9999999820498228
standard_N301,LMEDGE_HIGH,0.0003173546228522637,0.0011217552339020996,5.152808611680326e-05,0.00018055867960345,6.450991713114923e-05,6.450991713114794e-05,0.00076443894431515,9.001328668785627e-05,0.9999999979185286,0.0005843224048875,0.0022699449465533,6.701571554018626e-05,0.0002461962744198,6.668673592695482e-05,6.668673592695093e-05,0.0008623540262961,0.0001013327236569,0.999999998048231,0.9999999977767224
standard_N301,LMEDGE_LOW,0.0011013087171587465,0.0019377973739074378,6.770586063457179e-05,0.00010956497313604391,5.8763963593060615e-05,5.87639635930606e-05,0.0003579478343995,8.449202475076602e-05,0.9999999982727567,0.0023009065618838,0.0045534740046624,8.991081033948856e-05,0.0001447497031484,6.086008106361932e-05,6.086008106362338e-05,0.0004405946911793,9.862309126178552e-05,0.9999999983384948,0.9999999981480464
standard_N301,LMEDGE_MID,0.0005840707085928824,0.0014742660116628939,6.399397424874942e-05,0.00015272248637525002,5.856962241510814e-05,5.856962241510741e-05,0.0005370251252151312,9.033523136396334e-05,0.9999999982824284,0.0012598413488006,0.0035791165866924,8.174330697346965e-05,0.0002025528860201,6.248274688210356e-05,6.248274688210391e-05,0.0006506710118369,0.0001008024484059,0.9999999984159228,0.9999999980481592
standard_N301,LMEDGE_NEUTRAL1,0.0003492671175364336,0.0019791540846489687,3.7926577673912804e-05,0.00020035715820932663,6.75672075666036e-05,6.756720756660278e-05,0.0010882583957402938,8.511595249669458e-05,0.9999999977168796,0.0007153243303026,0.0048351062542288,5.8523332143345375e-05,0.0003249771612573,6.99297163570015e-05,6.992971635699891e-05,0.0013047822729235,9.798793263939376e-05,0.9999999978502336,0.9999999975551916
standard_N301,LMEDGE_NEUTRAL2,0.00028805013972381627,0.0035454452812017376,2.0358918639264752e-05,0.00022664377242495625,7.047442099032194e-05,7.047442099032202e-05,0.0017496608848331938,7.757713745746458e-05,0.9999999975162629,0.0005431876291112,0.0087684767211322,3.682299917628917e-05,0.0003578689062698,7.184441999591656e-05,7.184441999591527e-05,0.0021165014487263,8.658186524112329e-05,0.9999999976218836,0.9999999974192444
