label,Mach,alpha,eta,chart_id,ci_shooting,ci_seed,ci_classic_gep,ci_pinn_gep,direct_p_rel,direct_rho_rel,direct_u_rel,direct_v_rel,gep_p_rel,gep_rho_rel,gep_u_rel,gep_v_rel
M020_a020,0.2,0.2,0.20412414523193154,VLOW_MOD_QSCALED,0.6710403378495631,0.6640393350564792,0.6711165332117687,0.6711165332117687,0.047133460526222484,0.047133460526222484,0.30141478245491155,0.13184606436494292,8.178875518019402e-17,7.523713205590131e-17,8.068451061750352e-17,8.692979726420569e-17
M040_a025,0.4,0.25,0.27277236279499045,LOW,0.5436417809142849,0.5492696675193083,0.5437193090102436,0.5437193090102436,0.08949782460081583,0.08949782460081582,0.21369466657356298,0.17850246338641512,4.705245973347383e-16,4.722494080423042e-16,4.674199399862853e-16,4.733099138564257e-16
M060_a018,0.6,0.18,0.22499999999999998,VLOW_MOD_QSCALED,0.5179070954660323,0.5279890792329189,0.5179859089445736,0.5179859089445736,0.1282761927931759,0.12827619279317587,0.1541719583824311,0.13211470018393642,2.1108158784139038e-16,2.108959656457198e-16,2.0346887233980147e-16,2.1155442349578087e-16
M080_a020,0.8,0.2,0.3333333333333334,HM1_LOW,0.362038543032821,0.35341041050516203,0.3620939301708288,0.3620939301708288,0.12836904998094023,0.12836904998094023,0.20998002021880072,0.12186833888035604,0.0,0.0,0.0,0.0
