run,exists,n,success_rate,ci_gep_abs_mean,ci_gep_abs_max,ci_gep_rel_mean,ci_gep_rel_max,p_rel_mean,p_rel_max,u_rel_mean,u_rel_max,v_rel_mean,v_rel_max,p_overlap_min,corner_gep_ci,corner_ci_classic,corner_ci_abs,corner_ci_rel,corner_p_rel,corner_u_rel,corner_v_rel,corner_overlap
map10_xi099,True,16,1.0,0.0017533515425566877,0.0094966724959476,0.0035180296570217623,0.0191877432621134,0.0016841730743834462,0.0082529207111311,0.009516666457427225,0.0603221344362907,0.005597750390811312,0.0341312023826404,0.9999659440853492,0.4854376387577858,0.4949343112537334,0.0094966724959476,0.0191877432621134,0.0082529207111311,0.0603221344362907,0.0341312023826404,0.9999659440853492
map15_xi099,True,16,1.0,0.0012515241570776811,0.0038578593012031,0.0025081786070231685,0.00779468954462,0.0005783107685662224,0.003741243874069,0.003174180148533475,0.0068280016315828,0.0015305781674554626,0.0072875461727303,0.9999930016249556,0.4987921705549366,0.4949343112537334,0.0038578593012031,0.00779468954462,0.003741243874069,0.006030895836036,0.0072875461727303,0.9999930016249556
map20_xi099,True,16,1.0,0.001761250344160025,0.0024361476444501,0.003528355417113925,0.0049221635862728,0.0002418479119841509,0.0013210622264913,0.004122585620558888,0.0079643356487402,0.0017523684125932875,0.0026077212295837,0.9999991273969232,0.4973704588981835,0.4949343112537334,0.0024361476444501,0.0049221635862728,0.0013210622264913,0.0079643356487402,0.0026077212295837,0.9999991273969232
map30_xi099,True,16,1.0,0.003977820944502032,0.0042258126352284,0.007967410192317044,0.008751388368983,0.0002291078898815875,0.0003352746339073,0.008651239531491387,0.0088887452590877,0.003941777561508843,0.0042224403292566,0.9999999437961056,0.4991293635694262,0.4949343112537334,0.0041950523156928,0.0084759779637548,0.0003099878739606,0.0087547896317597,0.0041216738387533,0.9999999519538252
map20_xi0995,True,16,1.0,0.0017380933398997186,0.0018589380160369,0.0034812843158815252,0.0038497420346055,0.00022951825993906832,0.0015260355645217,0.003970055072645494,0.004658161568135,0.0017442193940084751,0.0018750131472831,0.9999988356105002,0.4967236929630882,0.4949343112537334,0.0017893817093548,0.0036153923231187,0.0015260355645217,0.004658161568135,0.0018750131472831,0.9999988356105002
map30_xi0995,True,16,1.0,0.004016633228408118,0.0042685577943018,0.008045070530107012,0.0088399108663665,0.0002311968603590375,0.0003387878002652,0.00872643616269445,0.008974703925889,0.003978937787303756,0.0042648825160743,0.9999999426120711,0.4991084945928183,0.4949343112537334,0.0041741833390849,0.008433812819546,0.0003258557879951,0.0086617021151013,0.0040967352029566,0.9999999469090728
