chart_id,path,M_min,M_max,eta_min,eta_max,ymax,central_ymax,role,status,priority
LOW,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_LOW_M010_070_eta0.25_0.40_ciIDW,0.1,0.7,0.25,0.4,80,20,standard_eta_low,validated,60
MID,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,0.1,0.7,0.35,0.55,80,20,standard_eta_mid,validated,70
HIGH_HIM,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_HIM_M0.35_0.70_eta0.50_0.65_ciIDW,0.35,0.7,0.5,0.65,80,20,high_eta_mid_high_mach,validated_with_overlap_rule,50
HIGH_LOWM_COMPACTY,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_LOWM_compactY_M010_040_eta055_065_ciIDW,0.1,0.4,0.55,0.65,30,8,high_eta_low_mach_compact_y,validated,100
VLOW_MOD_QSCALED,assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_MOD_M010_070_eta012_025_ciIDW,0.1,0.7,0.12,0.25,120,30,very_low_eta_pQscaled,validated,65
VLOW_EXTREME_CI_ONLY,assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_EXTREME_M010_070_eta005_012_ciIDW,0.1,0.7,0.05,0.12,220,55,very_low_eta_ci_only_gep_required,ci_only,40
NEUTRAL1_LOWM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL1_LOWM_M0.10_0.40_eta0.65_0.80_ciIDW,0.1,0.4,0.65,0.8,30,8,near_neutral_low_mach_compact_y,validated,110
NEUTRAL1_HIM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL1_HIM_M0.35_0.70_eta0.65_0.80_ciIDW,0.35,0.7,0.65,0.8,45,12,near_neutral_mid_high_mach,validated,95
NEUTRAL2_LOWM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL2_LOWM_M0.10_0.40_eta0.80_0.92_ciIDW,0.1,0.4,0.8,0.92,24,6,nearer_neutral_low_mach_compact_y,validated,120
NEUTRAL2_HIM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL2_HIM_M0.35_0.70_eta0.80_0.92_ciIDW,0.35,0.7,0.8,0.92,36,10,nearer_neutral_mid_high_mach,validated,105
NEUTRAL3_LOWM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_LOWM_M0.10_0.40_eta0.92_0.98_ciIDW,0.1,0.4,0.92,0.98,18,5,near_neutral_limit_low_mach_very_compact_y,validated,130
NEUTRAL3_HIM,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL3_HIM_M0.35_0.70_eta0.92_0.98_ciIDW,0.35,0.7,0.92,0.98,28,8,near_neutral_limit_mid_high_mach,validated,115
ULTRALOW_M002_006_eta002_006,assets/pinn_subsonic/local_atlas_ext_M002_006_eta002_006/seedGEP_pQscaled2d_ULTRALOW_M002_006_eta002_006_ciIDW,0.02,0.06,0.02,0.06,300,75,,ci_only,200
