run,exists,n,success_rate,ci_gep_mean,ci_gep_max,p_rel_mean,p_rel_max,u_rel_mean,u_rel_max,v_rel_mean,v_rel_max,corner_ci_classic,corner_ci_seed,corner_gep_ci,corner_ci_gep_rel,corner_p_rel,corner_u_rel,corner_v_rel,corner_overlap
N301_map5_xi098_old,True,16,1.0,0.034615607758486315,0.3721531026880669,0.003200367462370542,0.0179142355711236,0.022746927495922147,0.1552110101204057,0.030394025841986107,0.2637367101297322,0.4837226269531233,0.4817226681798782,0.3037037504920961,0.3721531026880669,0.0179142355711236,0.1552110101204057,0.2637367101297322,0.9998395275076846
N401_map5_xi098_old,True,16,1.0,0.03197732478080465,0.3555222863349556,0.002763532774382635,0.016627732557956,0.02000432752419959,0.1331363560827019,0.0283496623420761,0.2428361901435012,0.4837226269531233,0.4817226681798782,0.311748452666798,0.3555222863349556,0.016627732557956,0.1331363560827019,0.2428361901435012,0.999861750087224
N301_map10_xi099,True,16,1.0,0.0008363249167029688,0.0012748448014298,7.63654994177865e-05,0.0002622514162918,0.0012438717507626124,0.0038619327995357,0.00046777608303011874,0.0011250551774884,0.4837226269531233,0.4817226681798782,0.4843392982294284,0.0012748448014298,9.160744907119508e-05,0.0038619327995357,0.0011250551774884,0.999999995804045
N301_map15_xi099,True,16,1.0,0.001876210263606906,0.0022832622939721,0.00011676881755621723,0.0001777489987379,0.002278925022738694,0.0024051783292021,0.0009491135610049,0.0011014993343883,0.4837226269531233,0.4817226681798782,0.4847177970405962,0.0020573155606578,5.887621761492182e-05,0.0022998088760458,0.0010271554817524,0.9999999982668132
N301_map20_xi099,True,16,1.0,0.003377990508175381,0.0040839910951362,0.00021758468973692501,0.0003305632214045,0.004038175613697263,0.0042612571978153,0.0017030666473175624,0.0019677026630607,0.4837226269531233,0.4817226681798782,0.4855371167829012,0.0037510956252078,0.0001092429480437,0.0039420634756382,0.001821621288544,0.9999999940330512
N301_map20_xi0995,True,16,1.0,0.003413019432300956,0.0041258505722518,0.0002202359617896,0.0003339420810189,0.004075449001865537,0.0043003222756023,0.00172040610954285,0.0019876929705038,0.4837226269531233,0.4817226681798782,0.4855570907949659,0.0037923879091569,0.0001168926707701,0.0039797899529052,0.001839601124381,0.9999999931681224
