run,n_eval,ci_rel_mean,p_rel_mean,q_rel_mean,u_rel_mean,v_rel_mean,gamma_rel_mean,p_rel_max,q_rel_max,worst_Mach,worst_eta,worst_alpha
seedGEP_pQscaled2d_ATLAS_VLOW_MOD_M010_070_eta012_025_ciIDW,24,0.005254987639204588,0.09706351245253442,0.15854951688108218,0.29268920864703424,0.16883957943731942,0.21268407453975544,0.2071484302711906,0.2670950801817647,0.65,0.135,0.1025911180366019
seedGEP_pQscaled2d_ATLAS_VLOW_EXTREME_M010_070_eta005_012_ciIDW,24,0.0023922229452015896,0.2914660369078687,0.6443659591992966,1.0203544515005774,0.6619807620974453,0.5418432560551464,0.3550212552656092,0.7450997327444637,0.65,0.115,0.0873924338830313
