Mach,alpha,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,attempt_timestamp,purpose,source_path,source_Mach,source_alpha,source_cr,source_ci,mach_distance,anchor_score,direction,requested_alpha,seed_alpha,trial_alpha,trial_step
1.45,0.125,0.3269018153356393,0.0553327091569246,0.0069165886446155,3.133319992354444e-12,-1.1804793254022172e-13,3.135542933666365e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,5,26,0,False,False,0.0004879629586239,0.2,0.3492641497157056,0.0487962958623987,2026-07-23T11:40:54.576280+00:00,anchor,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,0.3492641497157056,0.0487962958623987,0.05,54.28959371217046,,,,,
1.45,0.12,0.3237488512771395,0.0567621464549422,0.006811457574593,8.813783036742961e-14,5.167741234934908e-15,8.828919917718729e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,4,21,0,False,False,0.0005533270915692,0.2,0.3269018153356393,0.0553327091569246,2026-07-23T11:40:55.299580+00:00,continuation,,,,,,,,low,0.12,0.125,0.12,-0.005
1.45,0.115,0.320460661374119,0.0581443320283594,0.0066865981832613,3.543346172030226e-14,1.7938775465076162e-14,3.9715612480113465e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005822851111509,0.2,0.3205958872186398,0.058228511115095,2026-07-23T11:40:55.860433+00:00,continuation,,,,,,,,low,0.115,0.12,0.115,-0.0049999999999999
1.45,0.11,0.3170271381952615,0.0594747193281552,0.006542219126097,5.248926293610624e-14,2.064841353455193e-14,5.6404607126276167e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005956017448543,0.2,0.3171724714710985,0.0595601744854338,2026-07-23T11:40:56.405340+00:00,continuation,,,,,,,,low,0.11,0.115,0.11,-0.005
1.45,0.105,0.3134370510761152,0.0607481498786416,0.0063785557372573,7.865236240078843e-14,2.3522850334245504e-14,8.209457106942137e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0006083554691861,0.2,0.313593615016404,0.0608355469186159,2026-07-23T11:40:56.978787+00:00,continuation,,,,,,,,low,0.105,0.11,0.105,-0.005
1.45,0.1,0.3096778641115483,0.0619587369313397,0.0061958736931339,1.1678158440275865e-13,2.5099713973908425e-14,1.194484579104756e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.000620488462218,0.2,0.3098469639569688,0.0620488462218081,2026-07-23T11:40:57.533380+00:00,continuation,,,,,,,,low,0.1,0.105,0.1,-0.0049999999999999
1.45,0.095,0.305735513834164,0.0630997197335261,0.0059944733746849,1.7272988594996269e-13,2.3960000650191663e-14,1.7438375822147054e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0006319344852141,0.2,0.3059186771469815,0.0631934485214121,2026-07-23T11:40:58.077721+00:00,continuation,,,,,,,,low,0.095,0.1,0.095,-0.005
1.45,0.09,0.301594134791817,0.0641632806740468,0.0057746952606642,2.545411798005049e-13,1.730907084329658e-14,2.5512901863114533e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0006426171396718,0.2,0.3017931635567797,0.0642617139671807,2026-07-23T11:40:58.617197+00:00,continuation,,,,,,,,low,0.09,0.095,0.09,-0.005
1.45,0.085,0.2972357177263615,0.0651403110606665,0.0055369264401566,3.7254574425382724e-13,1.0685896612017132e-15,3.725472767924925e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0006524476818981,0.2,0.29745275574947,0.0652447681898198,2026-07-23T11:40:59.142458+00:00,continuation,,,,,,,,low,0.085,0.09,0.085,-0.0049999999999999
1.45,0.08,0.2926396781797712,0.0660201084379359,0.0052816086750348,5.44274694758152e-13,-3.19449328101129e-14,5.45211355426794e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0006613221893432,0.2,0.2928773006609059,0.0661322189343215,2026-07-23T11:40:59.666987+00:00,continuation,,,,,,,,low,0.08,0.085,0.08,-0.005
1.45,0.075,0.287782306314316,0.0667899812334504,0.0050092485925087,7.950688718505461e-13,-9.321363125813777e-14,8.005143921492156e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0006691178852519,0.2,0.288043638633181,0.0669117885251963,2026-07-23T11:41:00.191163+00:00,continuation,,,,,,,,low,0.075,0.08,0.075,-0.005
1.45,0.07,0.2826360536502847,0.0674347210568422,0.0047204304739789,1.1640584329786208e-12,-2.015245609277017e-13,1.1813738544786513e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0006756883165919,0.2,0.2829249344488607,0.0675688316591944,2026-07-23T11:41:00.714071+00:00,continuation,,,,,,,,low,0.07,0.075,0.07,-0.0049999999999999
