Mach,alpha,omega_blumen,omega_direct,omega_gep,direct_abs_error,gep_abs_error
0.0322673517296364,0.9136547518861378,0.05,0.05033526574127985,0.050998187670403546,0.0003352657412798443,0.0009981876704035428
0.0495858617176772,0.909756979817218,0.05,0.05191487721414396,0.05276311466980926,0.001914877214143955,0.0027631146698092607
0.0746002568986136,0.9039140127858736,0.05,0.05418196674971344,0.05506699016342784,0.004181966749713439,0.005066990163427834
0.0900252469327191,0.9057706220194592,0.05,0.05248339149614874,0.05322843349903299,0.0024833914961487347,0.0032284334990329844
0.1092704965230101,0.9018654678064696,0.05,0.05300505768291536,0.05387180292368167,0.0030050576829153547,0.0038718029236816665
0.1246844133410107,0.9018064106539104,0.05,0.05151360529334884,0.05227664377206967,0.0015136052933488395,0.002276643772069667
0.1420139965451565,0.8998243049711357,0.05,0.05092423402740492,0.051564416446471056,0.0009242340274049146,0.0015644164464710536
0.1612703193515524,0.8978348171442914,0.05,0.05002457949207297,0.050616037084969985,2.4579492072969444e-05,0.0006160370849699823
0.1824533817601984,0.8958379471733771,0.05,0.04893878390070229,0.049468203410618077,0.0010612160992977127,0.0005317965893819263
0.1959184125437392,0.8919549393925972,0.05,0.04951668818465577,0.05015175173106494,0.0004833118153442298,0.00015175173106493633
0.2190171413385303,0.8880350208914676,0.05,0.04917809397971106,0.049842228161794996,0.0008219060202889414,0.0001577718382050064
0.2382402444966116,0.8802985339061877,0.05,0.05106710133873654,0.0520037823144621,0.0010671013387365397,0.002003782314462098
0.2632435664614431,0.8725399004886979,0.05,0.051467789330813626,0.05251645772982564,0.0014677893308136236,0.002516457729825637
0.2863201488240243,0.8647886492152781,0.05,0.05140962139612221,0.05240605100215886,0.0014096213961222043,0.0024060510021588558
0.3074699915843557,0.857044780085928,0.05,0.0517016339552308,0.05262836188907018,0.0017016339552307982,0.0026283618890701743
0.3247774283562918,0.8512313416308632,0.05,0.051660382511468546,0.05254481835473787,0.001660382511468543,0.0025448183547378683
0.3459272711166231,0.8434874725015132,0.05,0.051893987207152735,0.05271386382417389,0.0018939872071527322,0.0027138638241738858
