Mach,alpha,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,attempt_timestamp,purpose,source_path,source_Mach,source_alpha,source_cr,source_ci,mach_distance,anchor_score,direction,is_target,status,requested_alpha,seed_alpha,alpha_step,anchor_source_path,anchor_source_Mach,anchor_source_alpha,neutral_alpha_estimate,neutral_fit_r2,timestamp,trial_alpha,trial_step
1.5,0.05,0.2867884838082837,0.0578781158051297,0.0028939057902564,2.844723588635301e-12,6.48142997605739e-13,2.917626028311966e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005814740047807,0.2,0.2871608848858832,0.0581474004780778,2026-07-23T11:45:52.896577+00:00,continuation,,,,,,,,low,True,converged,0.05,0.055,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:52.908849+00:00,0.05,-0.0049999999999999
1.5,0.055,0.2927446492549135,0.0583866509164055,0.0032112658004023,1.859042433882685e-12,3.606923787424776e-13,1.893710052531634e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005861331245978,0.2,0.2930778427284494,0.0586133124597817,2026-07-23T11:45:52.368243+00:00,continuation,,,,,,,,low,True,converged,0.055,0.06,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:52.380238+00:00,0.055,-0.0049999999999999
1.5,0.06,0.2983284136239438,0.0586268857628369,0.0035176131457702,1.2415892966521902e-12,2.369302670723883e-13,1.2639936443733699e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005882121260329,0.2,0.2986282893920524,0.058821212603291,2026-07-23T11:45:51.840747+00:00,continuation,,,,,,,,low,True,converged,0.06,0.065,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:51.852177+00:00,0.06,-0.005
1.5,0.065,0.3035789845194382,0.0586404622091123,0.0038116300435923,8.395870804145389e-13,1.7741016988814809e-13,8.58126350824138e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005880989828243,0.2,0.3038503077023329,0.0588098982824387,2026-07-23T11:45:51.314884+00:00,continuation,,,,,,,,low,True,converged,0.065,0.07,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:51.326953+00:00,0.065,-0.005
1.5,0.07,0.3085296796468241,0.0584602672387943,0.0040922187067156,5.706633082747103e-13,1.4406704995639785e-13,5.885676904946247e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005861032188141,0.2,0.3087763377587843,0.058610321881412,2026-07-23T11:45:50.791039+00:00,continuation,,,,,,,,low,True,converged,0.07,0.075,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:50.802767+00:00,0.07,-0.0049999999999999
1.5,0.075,0.3132090515913153,0.0581127147885543,0.0043584536091415,3.883612181843077e-13,1.201816424156732e-13,4.065317490225434e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005824754817185,0.2,0.3134342439110993,0.0582475481718527,2026-07-23T11:45:50.270190+00:00,continuation,,,,,,,,low,True,converged,0.075,0.08,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:50.281979+00:00,0.075,-0.005
1.5,0.08,0.3176417654238463,0.0576193324262716,0.0046095465941017,2.63433372338362e-13,1.0165999986266885e-13,2.823683715178453e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005774214516093,0.2,0.3178481484442138,0.0577421451609398,2026-07-23T11:45:49.722420+00:00,continuation,,,,,,,,low,True,converged,0.08,0.085,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:49.734758+00:00,0.08,-0.005
1.5,0.085,0.3218492869365933,0.0569978921594081,0.0048448208335496,1.7588014378233654e-13,8.33291768920219e-14,1.9462162443674454e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005711118740039,0.2,0.3220390844763441,0.0571111874003913,2026-07-23T11:45:49.197159+00:00,continuation,,,,,,,,low,True,converged,0.085,0.09,-0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:49.208340+00:00,0.085,-0.0049999999999999
1.5,0.09,0.3258504254289729,0.0562632320216114,0.005063690881945,1.18252629910387e-13,6.89535234466021e-14,1.3688781127779077e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005636899919721,0.2,0.3260255141804946,0.056368999197213,2026-07-23T11:45:48.668224+00:00,continuation,,,,,,,,low,True,converged,0.09,0.095,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:48.679578+00:00,0.09,-0.005
1.5,0.095,0.3296617663816018,0.0554278666161298,0.0052656473285323,7.846154281843098e-14,5.627442956068762e-14,9.655581351648009e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0005552771156201,0.2,0.3298237420478799,0.0555277115620105,2026-07-23T11:45:48.136003+00:00,continuation,,,,,,,,low,True,converged,0.095,0.1,-0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:48.147441+00:00,0.095,-0.005
