status,error,mode,alpha_set,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_complex_spectral_error,cr_min,cr_max,ci_min,ci_max,shooting_cr,shooting_ci,shooting_complex_spectral_error,delta_c_from_pinn,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,solve_seconds,reconstruction_seconds,total_seconds,alignment_real,alignment_imag,n_core20,n_core40,p_rel_l2_core20,p_rel_l2_core40,rho_rel_l2_core20,rho_rel_l2_core40,u_rel_l2_core20,u_rel_l2_core40,v_rel_l2_core20,v_rel_l2_core40,p_overlap_error_core20,p_overlap_error_core40
COMPLETED,,pinn_local,all,1.5,0.05,False,0.2867884838082837,0.0578781158051297,0.2957833111286163,0.0786194950342178,0.022607780316684097,0.2557833111286163,0.33578331112861626,0.04861949503421781,0.1086194950342178,0.2867924257119496,0.057879748940467816,4.2668179646684775e-06,0.022604713858150206,2.1601428511309647e-07,6.861142520517206e-18,-11.899912771669644,1200.0,38.3677168386057,0.21519671101123095,38.58291354961693,2.250000201596447,0.005480805184251623,1601,3201,3.7494665693968074e-06,1.7620690020031955e-05,3.749466569405558e-06,1.7620690020040798e-05,7.527189027701001e-06,9.042683154155388e-06,1.1633262524928978e-05,2.1672734323638475e-05,7.029266058111716e-12,1.1882550499109357e-10
COMPLETED,,pinn_local,all,1.5,0.055,False,0.2927446492549135,0.0583866509164055,0.2979477047920227,0.0729695335030555,0.015483289426289966,0.2579477047920227,0.3379477047920227,0.042969533503055504,0.1029695335030555,0.29274588187535605,0.05838457256555551,2.41638064283019e-06,0.015484832811650216,1.4176376003209546e-07,8.702090085088255e-18,-13.166839580141982,1200.0,38.28735840320587,0.2118818098679185,38.49924021307379,2.249989788630263,0.005601722438021574,1601,3201,2.45840076835581e-06,1.7321842673872832e-05,2.458400768365273e-06,1.732184267388016e-05,4.679912240887434e-06,6.7397421564530365e-06,6.711598474368495e-06,2.1336897682829807e-05,3.021582983819826e-12,1.371751601197957e-10
COMPLETED,,pinn_local,all,1.5,0.06,False,0.2983284136239438,0.0586268857628369,0.300868272781372,0.0676501616835594,0.00937392089155133,0.26086827278137203,0.340868272781372,0.037650161683559405,0.0976501616835594,0.29832269986470533,0.058631606996059425,7.4119557322371475e-06,0.009370926855199264,4.973342280765095e-07,1.0777203204926164e-17,-14.527207633820268,1200.0,38.61460940539837,0.21436948236078024,38.82897888775915,2.2500031120778847,0.005701289485563921,1601,3201,7.882367872276037e-06,3.1286996177509106e-05,7.882367872267477e-06,3.128699617750073e-05,1.300386476233157e-05,1.6022501717820653e-05,2.228169983617595e-05,3.976789699465151e-05,3.106592760815374e-11,3.86379817030047e-10
COMPLETED,,pinn_local,all,1.5,0.065,False,0.3035789845194382,0.0586404622091123,0.304440975189209,0.0627855658531189,0.004233782249281205,0.264440975189209,0.34444097518920896,0.0327855658531189,0.0927855658531189,0.3035750897725424,0.0586400580406189,3.9156615729165155e-06,0.004234972559331926,2.9728368515634486e-07,1.3150477920246852e-17,-15.979232199606463,1200.0,39.01171731483191,0.21422475203871727,39.22594206687063,2.249990285516979,0.005730806428818085,1601,3201,4.8359738341281405e-06,2.8268376557098644e-05,4.83597383412944e-06,2.8268376557099295e-05,7.0267902645506185e-06,1.0929556078163986e-05,1.2353619426124193e-05,3.5549434946302195e-05,1.1693757073771849e-11,3.534524894988067e-10
COMPLETED,,pinn_local,all,1.5,0.07,True,0.3085296796468241,0.0584602672387943,0.3085286617279053,0.0584585107862949,2.030094654920295e-06,0.2685286617279053,0.34852866172790525,0.028458510786294904,0.08845851078629491,0.308535172144572,0.0584633935987949,6.319941325990483e-06,8.13802083337034e-06,5.377731598929448e-07,1.5876985710919598e-17,-17.52436380386925,1200.0,39.168329576030374,0.21623114310204983,39.38456071913242,2.250009596224316,0.005713793226563233,1601,3201,7.936155310728648e-06,3.6061272750285464e-05,7.936155310732736e-06,3.606127275029226e-05,1.3626928476661308e-05,1.8575693116810228e-05,1.9740089084982617e-05,4.3080748199839406e-05,3.1490587915072865e-11,5.025359017807318e-10
COMPLETED,,pinn_local,all,1.5,0.075,False,0.3132090515913153,0.0581127147885543,0.3129734098911285,0.0547120906412601,0.0034087786085381594,0.2729734098911285,0.35297340989112846,0.0247120906412601,0.08471209064126009,0.31321429530779515,0.0581154109537601,5.89625892733201e-06,0.0034118345407475096,5.576528409137673e-07,1.9008325255983582e-17,-19.15804766435495,1200.0,39.67208578623831,0.21952872350811958,39.89161450974643,2.2500095671377482,0.005690229800889698,1601,3201,8.045102045852966e-06,4.008086407342254e-05,8.045102045853398e-06,4.0080864073428086e-05,1.350180388558822e-05,1.971966238452678e-05,1.8935412185392288e-05,4.781538958881433e-05,3.236189094479869e-11,6.32707997105797e-10
COMPLETED,,pinn_local,all,1.5,0.08,False,0.3176417654238463,0.0576193324262716,0.3176110684871673,0.0515554435551166,0.0060639665684796545,0.2776110684871673,0.3576110684871673,0.0215554435551166,0.0815554435551166,0.3176436205705006,0.0576150138676166,4.7001614829238065e-06,0.006059657746957393,4.904950024439862e-07,2.2574832890895772e-17,-20.879876877218795,1200.0,40.11010127235204,0.22295405343174934,40.33305532578379,2.2499832092943373,0.005644318215512181,1601,3201,6.6615445436468435e-06,3.757781305680904e-05,6.661544543653612e-06,3.7577813056808027e-05,1.0350255955202382e-05,1.717228879138464e-05,1.4759291943346468e-05,4.494386284100508e-05,2.2188251236343604e-11,6.517926198768009e-10
COMPLETED,,pinn_local,all,1.5,0.085,False,0.3218492869365933,0.0569978921594081,0.3222862482070923,0.0489712990820407,0.008038478188162133,0.2822862482070923,0.36228624820709227,0.018971299082040698,0.0789712990820407,0.32185005029042574,0.056993760019540714,4.202057705114322e-06,0.008034310680837398,4.806393251820008e-07,2.6136836424298466e-17,-22.52665111691114,1188.8043099252186,40.33641233853996,0.21138318441808224,40.54779552295804,2.249982656334274,0.005576287505110068,1601,3201,6.517725854056047e-06,4.2907734000221735e-05,6.517725854070169e-06,4.2907734000217974e-05,9.476675429490621e-06,1.8419027957915393e-05,1.3449031667047673e-05,5.15288075381589e-05,2.1240342817918645e-11,8.478882040918734e-10
COMPLETED,,pinn_local,all,1.5,0.09,False,0.3258504254289729,0.0562632320216114,0.3268648684024811,0.0469239465892314,0.00939421880381575,0.2868648684024811,0.36686486840248106,0.016923946589231402,0.0769239465892314,0.3258557538191477,0.05626476690173141,5.545051743472705e-06,0.00939517090598723,6.910054466436803e-07,2.79818588099889e-17,-23.58838954486612,1138.4566599298753,40.75344428513199,0.2256726212799549,40.979116906411946,2.2500104075114136,0.005475411655160696,1601,3201,9.252938590043752e-06,5.538038830668611e-05,9.252938590048553e-06,5.538038830669871e-05,1.4576988135637383e-05,2.589613980904072e-05,1.9019555062462222e-05,6.578240808348256e-05,4.2807979383496786e-11,1.2551422123863176e-09
COMPLETED,,pinn_local,all,1.5,0.095,False,0.3296617663816018,0.0554278666161298,0.331242561340332,0.0453667156398296,0.010184580092937226,0.291242561340332,0.37124256134033196,0.015366715639829602,0.0753667156398296,0.32966053009033197,0.05543019220232961,2.633774340471657e-06,0.01018706942157378,3.5566244822900434e-07,3.0027377636067754e-17,-24.705854225119886,1095.8150791667956,40.94119409658015,0.2253829250112176,41.166577021591365,2.250004760322255,0.005392127930183952,1601,3201,6.785669467053174e-06,6.347857533541462e-05,6.785669467052537e-06,6.347857533542132e-05,8.001787688313162e-06,2.4972266746315002e-05,1.1567376279347964e-05,7.68553251299211e-05,2.302269486165187e-11,1.7024300857926278e-09
