step,ci_anchor_loss
1,0.018940597802754897
100,5.264803799495617e-05
200,3.6527669285459916e-05
300,2.6896276908957855e-05
400,1.9151239306728598e-05
500,1.3266186666121375e-05
600,9.022300251755947e-06
700,6.141961942521182e-06
800,4.303307196687155e-06
900,3.1754344201740687e-06
1000,2.4780677896586587e-06
1100,2.0184583127602347e-06
1200,1.6862636457304518e-06
1300,1.4261038733147561e-06
1400,1.2116361649599563e-06
1500,1.0298341609752298e-06
1600,8.735745544795054e-07
1700,7.385623995880295e-07
1800,6.220218183628442e-07
1900,5.220240909617646e-07
2000,4.3707105134461317e-07
2100,3.6582499612268774e-07
2200,3.0695024640026656e-07
2300,2.590440431427026e-07
2400,2.206341647496876e-07
2500,1.9022007837663205e-07
2600,1.6633566717579398e-07
2700,1.4761466219020507e-07
2800,1.328446152824968e-07
2900,1.2100103456529767e-07
3000,1.1125921899639841e-07
