original_path,archive_path,canonical_equivalent,action,sha256_before,sha256_after,size_bytes,compatibility_path,dependency_status,provenance_status,reason,validation_status
assets/pinn_subsonic/article/figures/Fig_supp_ci_anchor_training_convergence.pdf,archive/pinn_subsonic_legacy/figures/orphan_assets/assets/pinn_subsonic/article/figures/Fig_supp_ci_anchor_training_convergence.pdf,,MOVE_TO_ARCHIVE,017d8a8efa2aec1a8914efde94ea76323bcfeceef71c7e2df9d4b9f5fba3bc2e,017d8a8efa2aec1a8914efde94ea76323bcfeceef71c7e2df9d4b9f5fba3bc2e,77136,,NO_ACTIVE_REFERENCE,ORPHAN_UNRESOLVED,"Active historical asset has no reliable generator after repository, bundle, hash, and AST provenance searches.",MOVED_SHA256_OK
assets/pinn_subsonic/article/figures/Fig_supp_ci_anchor_training_convergence.png,archive/pinn_subsonic_legacy/figures/orphan_assets/assets/pinn_subsonic/article/figures/Fig_supp_ci_anchor_training_convergence.png,,MOVE_TO_ARCHIVE,7c81a3068d66f339b21a909dc11f01f6ead172e7961447276c521b566c3f3fbf,7c81a3068d66f339b21a909dc11f01f6ead172e7961447276c521b566c3f3fbf,652905,,NO_ACTIVE_REFERENCE,ORPHAN_UNRESOLVED,"Active historical asset has no reliable generator after repository, bundle, hash, and AST provenance searches.",MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/ci_mae_diminishing_returns.png,archive/pinn_subsonic_legacy/figures/ci/assets/pinn_subsonic/article/results_pinn/figures/ci_mae_diminishing_returns.png,pinn_subsonic/assets/ci/article/results_pinn/figures/Fig_ci_mae_diminishing_returns.png,MOVE_TO_ARCHIVE,46c5b4d1fade4b498a19f7b9b9d96c4a3d57af2b5399a671a98b9880af135c89,46c5b4d1fade4b498a19f7b9b9d96c4a3d57af2b5399a671a98b9880af135c89,84962,,NO_ACTIVE_REFERENCE,VERIFIED_WRAPPER,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/ci_mae_vs_supervision_budget.png,archive/pinn_subsonic_legacy/figures/ci/assets/pinn_subsonic/article/results_pinn/figures/ci_mae_vs_supervision_budget.png,pinn_subsonic/assets/ci/article/results_pinn/figures/Fig_ci_mae_vs_supervision_budget.png,MOVE_TO_ARCHIVE,826d690a58995237ff27b206889dfd0fda8ae1187fd68fd8d4b5c12aafd1c1a5,826d690a58995237ff27b206889dfd0fda8ae1187fd68fd8d4b5c12aafd1c1a5,66481,,NO_ACTIVE_REFERENCE,VERIFIED_WRAPPER,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/ci_supervision_budget_metrics_panel.png,archive/pinn_subsonic_legacy/figures/ci/assets/pinn_subsonic/article/results_pinn/figures/ci_supervision_budget_metrics_panel.png,pinn_subsonic/assets/ci/article/results_pinn/figures/Fig_ci_supervision_budget_metrics_panel.png,MOVE_TO_ARCHIVE,a0cb138302d36618eac36c48432ed2bd5237c1790cbd814372a301d2e70811cc,a0cb138302d36618eac36c48432ed2bd5237c1790cbd814372a301d2e70811cc,154471,,NO_ACTIVE_REFERENCE,VERIFIED_WRAPPER,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/existing_candidates/SuppFig09_near_neutral_continuation_audit.pdf,archive/pinn_subsonic_legacy/figures/ci/assets/pinn_subsonic/article/results_pinn/figures/existing_candidates/SuppFig09_near_neutral_continuation_audit.pdf,assets/pinn_subsonic/comparaisons_modales/Fig_supp_09_near_neutral_continuation_audit.pdf,MOVE_TO_ARCHIVE,5817c38fad6d2aba0f5a3097e940fe9b8a4c0cf3a4c2f6985d847f22c67cc0ae,5817c38fad6d2aba0f5a3097e940fe9b8a4c0cf3a4c2f6985d847f22c67cc0ae,30950,,NO_ACTIVE_REFERENCE,VERIFIED_EXACT,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/existing_candidates/SuppFig_modal_overlap_defect.pdf,archive/pinn_subsonic_legacy/figures/modes/assets/pinn_subsonic/article/results_pinn/figures/existing_candidates/SuppFig_modal_overlap_defect.pdf,assets/pinn_subsonic/article/modes/Fig_supp_modal_overlap_defect.pdf,MOVE_TO_ARCHIVE,271c3c54babd73606ce0103e3539126b66911a95b3970e1c0b8c3c6b533d734a,271c3c54babd73606ce0103e3539126b66911a95b3970e1c0b8c3c6b533d734a,30268,,NO_ACTIVE_REFERENCE,VERIFIED_WRAPPER,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/existing_candidates/fig07_near_neutral_ci_zoom.pdf,archive/pinn_subsonic_legacy/figures/ci/assets/pinn_subsonic/article/results_pinn/figures/existing_candidates/fig07_near_neutral_ci_zoom.pdf,pinn_subsonic/assets/ci/article/results_pinn/figures/existing_candidates/Fig_fig07_near_neutral_ci_zoom.pdf,MOVE_TO_ARCHIVE,30e4f615a41730afac98a6f32d32232738889babb6889d564811a82e4f0def93,30e4f615a41730afac98a6f32d32232738889babb6889d564811a82e4f0def93,19856,,NO_ACTIVE_REFERENCE,VERIFIED_WRAPPER,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/single_case_ci4_vs_physics/ci_curve_hybrid4_vs_physics_only.png,archive/pinn_subsonic_legacy/figures/ci/assets/pinn_subsonic/article/results_pinn/figures/single_case_ci4_vs_physics/ci_curve_hybrid4_vs_physics_only.png,pinn_subsonic/assets/ci/article/results_pinn/figures/single_case_ci4_vs_physics/Fig_ci_curve_hybrid4_vs_physics_only.png,MOVE_TO_ARCHIVE,4d5abcd95395822a8140f06350508dbe4cadbf55fd4a719734fc105511872f53,4d5abcd95395822a8140f06350508dbe4cadbf55fd4a719734fc105511872f53,150695,,NO_ACTIVE_REFERENCE,VERIFIED_WRAPPER,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
assets/pinn_subsonic/article/results_pinn/figures/single_case_ci4_vs_physics/mode_error_vs_alpha.png,archive/pinn_subsonic_legacy/figures/modes/assets/pinn_subsonic/article/results_pinn/figures/single_case_ci4_vs_physics/mode_error_vs_alpha.png,pinn_subsonic/assets/modes/article/results_pinn/figures/single_case_ci4_vs_physics/Fig_mode_error_vs_alpha.png,MOVE_TO_ARCHIVE,709ec246f034396ec0aa661743a190768cfc9e362c7aba05d23aec88b2bc0dec,709ec246f034396ec0aa661743a190768cfc9e362c7aba05d23aec88b2bc0dec,166291,,NO_ACTIVE_REFERENCE,VERIFIED_WRAPPER,Nonconforming active figure has a byte-identical active Fig_ copy with retained provenance.,MOVED_SHA256_OK
