alpha,Mach,ci_pinn_stage0,ci_reference_anchor_interp,ci_abs_err_anchor_interp
0.1,0.5,0.67044497,0.6704450642662936,9.890374474963437e-08
0.10233333333333335,0.5,0.66754234,0.6678345117921402,0.00029217342086329534
0.10466666666666667,0.5,0.66464514,0.6652239593179868,0.0005788239153073915
0.10700000000000001,0.5,0.6617536,0.6626134068438335,0.0008598119684978256
0.10933333333333334,0.5,0.65886766,0.6600028543696801,0.001135197185079262
0.11166666666666668,0.5,0.6559876,0.6573923018955268,0.0014046815418280456
0.114,0.5,0.65311325,0.6547817494213733,0.0016685034573230562
0.11633333333333334,0.5,0.65024483,0.65217119694722,0.0019263649083406387
0.11866666666666667,0.5,0.6473822,0.6495606444730666,0.0021784447088148973
0.12100000000000001,0.5,0.64452547,0.6469500919989133,0.002424623649456503
0.12333333333333334,0.5,0.641675,0.6443395395247599,0.002664544102396582
0.12566666666666668,0.5,0.63883054,0.6417289870506065,0.0028984444862144576
0.128,0.5,0.63599217,0.6391184345764531,0.0031262651962651322
0.13033333333333336,0.5,0.63316005,0.6365078821022998,0.003347827418614502
0.13266666666666668,0.5,0.6303343,0.6338973296281464,0.0035630119439727936
0.135,0.5,0.62751496,0.6312867771539931,0.0037718187723402297
0.13733333333333334,0.5,0.62470186,0.6286762246798397,0.00397436711300625
0.13966666666666666,0.5,0.62189525,0.6260656722056863,0.004170418547391641
0.14200000000000002,0.5,0.6190951,0.623455119731533,0.004360032680141401
0.14433333333333334,0.5,0.6163016,0.6208445672573796,0.004542971092676207
0.14666666666666667,0.5,0.61351466,0.6182340147832263,0.00471935299428583
0.14900000000000002,0.5,0.61073434,0.6156234623090728,0.0048891187803252745
0.15133333333333335,0.5,0.6079609,0.6130129098349195,0.00505203003221566
0.15366666666666667,0.5,0.6051941,0.6104023573607661,0.00520826556389109
0.15600000000000003,0.5,0.6024341,0.6077918048866128,0.005357706166062237
0.15833333333333335,0.5,0.5996809,0.6051812524124593,0.0055003518387288786
0.16066666666666668,0.5,0.5969347,0.602570699938306,0.00563602376795691
0.163,0.5,0.59419554,0.5999601474641527,0.0057646027444566705
0.16533333333333333,0.5,0.5914634,0.5973495949899993,0.005886207977517599
0.16766666666666669,0.5,0.5887382,0.5947390425158459,0.006000839467139807
0.17,0.5,0.5860202,0.5921284900416925,0.006108318399389079
0.17233333333333334,0.5,0.5833093,0.5895179375675392,0.006208644774265304
0.1746666666666667,0.5,0.5806055,0.5869073850933858,0.0063018781964131465
0.17700000000000002,0.5,0.57790905,0.5842968326192325,0.006387780247253727
0.17933333333333334,0.5,0.5752198,0.5816862801450791,0.006466470136076374
0.1816666666666667,0.5,0.57253796,0.5790757276709257,0.006537769048946984
0.184,0.5,0.5698634,0.5764651751967723,0.006601796195154885
0.18633333333333335,0.5,0.5671963,0.573854622722619,0.006658313156121198
0.18866666666666668,0.5,0.56453663,0.5712440702484656,0.006707439141135252
0.191,0.5,0.56188434,0.5686335177743123,0.006749174150197268
0.19333333333333336,0.5,0.5592396,0.5660229653001588,0.0067833393693726984
0.19566666666666668,0.5,0.55660236,0.5634124128260055,0.006810054007951316
0.198,0.5,0.5539728,0.5608018603518521,0.006829079647353797
0.20033333333333336,0.5,0.5513507,0.5581913078776988,0.00684059510151469
0.20266666666666666,0.5,0.5487362,0.5555807554035455,0.006844540765789109
0.20500000000000002,0.5,0.54612947,0.552970202929392,0.0068407378262426155
0.20733333333333334,0.5,0.5435304,0.5503596504552387,0.006829245887520208
0.20966666666666667,0.5,0.54093903,0.5477490979810853,0.006810064949621664
0.21200000000000002,0.5,0.53835535,0.545138545506932,0.006783195012547205
0.21433333333333335,0.5,0.5357794,0.5425279930327785,0.006748576471651835
0.21666666666666667,0.5,0.5332114,0.5399174405586252,0.006706030513001449
0.21900000000000003,0.5,0.5306512,0.5373068880844718,0.006655676345885375
0.22133333333333335,0.5,0.52809876,0.5346963356103185,0.006597573574948612
0.22366666666666668,0.5,0.52555424,0.5320857831361652,0.006531543386256722
0.226,0.5,0.5230175,0.5294752306620117,0.0064577049890991445
0.22833333333333336,0.5,0.5204887,0.5268646781878583,0.006375998778831216
0.2306666666666667,0.5,0.5179678,0.524254125713705,0.006286305546163495
0.233,0.5,0.51545477,0.5216435732395517,0.006188804105030199
0.23533333333333334,0.5,0.51294965,0.5190330207653983,0.006083375246141665
0.2376666666666667,0.5,0.5104526,0.5164224682912448,0.005969840155563677
0.24000000000000002,0.5,0.5079634,0.5138119158170915,0.0058484968565202244
0.24233333333333335,0.5,0.50548214,0.5112013633429382,0.005719226139721645
0.24466666666666667,0.5,0.50300884,0.5085908108687848,0.005581968400523052
0.24700000000000003,0.5,0.50054365,0.5059802583946315,0.005436604429635117
0.24933333333333335,0.5,0.49808633,0.503369705920478,0.005283372645636719
0.2516666666666667,0.5,0.49563685,0.5007591534463247,0.005122302850850469
0.254,0.5,0.4931956,0.49814860097217134,0.004953007615085159
0.25633333333333336,0.5,0.49076217,0.49553804849801797,0.004775874368531885
0.2586666666666667,0.5,0.48833677,0.49292749602386454,0.004590724297256266
0.261,0.5,0.48591936,0.4903169435497112,0.004397587203580855
0.26333333333333336,0.5,0.4835099,0.4877063910755578,0.004196492889827819
0.2656666666666667,0.5,0.48110837,0.4850958386014045,0.003987471158319766
0.268,0.5,0.47871488,0.4824852861272511,0.003770402799766981
0.2703333333333333,0.5,0.47632927,0.4798747336530978,0.0035454666281038993
0.2726666666666667,0.5,0.47395155,0.4772641811789443,0.003312632841007912
0.275,0.5,0.4715818,0.474653628704791,0.0030718418338345765
0.2773333333333333,0.5,0.46921998,0.4720430762306377,0.0028230936065837264
0.2796666666666667,0.5,0.46686608,0.46943252375648425,0.002566447763900026
0.28200000000000003,0.5,0.46451998,0.46682197128233094,0.0023019937127508605
0.2843333333333333,0.5,0.4621818,0.46421141880817757,0.0020296122438465125
0.2866666666666667,0.5,0.45985138,0.4616008663340242,0.0017494821711213637
0.28900000000000003,0.5,0.4575288,0.45899031385987077,0.0014615140876081956
0.29133333333333333,0.5,0.45521396,0.45637976138571745,0.0011657974002743376
0.2936666666666667,0.5,0.45290697,0.4537692089115641,0.0008622427021524603
0.29600000000000004,0.5,0.4506076,0.4511586564374107,0.000551058609499333
0.29833333333333334,0.5,0.448316,0.4485481039632574,0.0002320961107030728
0.3006666666666667,0.5,0.44603205,0.44609780272912,6.575545739145872e-05
0.30300000000000005,0.5,0.4437557,0.4440481295950226,0.0002924433119110281
0.30533333333333335,0.5,0.44148698,0.4419984564609253,0.0005114719695770154
