point_id,Mach,eta,alpha,chart_id,checkpoint,gep_regime,N,mapping_kind,mapping_scale,xi_max
MAP_0000,0.02,0.02,0.019995999599919982,ULTRALOW_M002_006_eta002_006,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ULTRALOW_M002_006_eta002_006/model_state.pt,longwave_map10_N301,301,pin,10.0,0.99
MAP_0001,0.02,0.06,0.05998799879975994,ULTRALOW_M002_006_eta002_006,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ULTRALOW_M002_006_eta002_006/model_state.pt,longwave_map10_N301,301,pin,10.0,0.99
MAP_0002,0.02,0.1,0.0999799979995999,LMEDGE_VLOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_VLOW/model_state.pt,longwave_map10_N301,301,pin,10.0,0.99
MAP_0003,0.02,0.13999999999999999,0.13997199719943984,LMEDGE_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_LOW/model_state.pt,standard_N301,301,pin,5.0,0.98
MAP_0004,0.02,0.18,0.17996399639927982,LMEDGE_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_LOW/model_state.pt,standard_N301,301,pin,5.0,0.98
MAP_0005,0.02,0.22,0.2199559955991198,LMEDGE_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_LOW/model_state.pt,standard_N301,301,pin,5.0,0.98
MAP_0006,0.02,0.26,0.25994799479895975,LMEDGE_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_LOW/model_state.pt,standard_N301,301,pin,5.0,0.98
MAP_0007,0.02,0.30000000000000004,0.2999399939987997,LMEDGE_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_LOW/model_state.pt,standard_N301,301,pin,5.0,0.98
MAP_0008,0.02,0.34,0.3399319931986397,LMEDGE_LOW,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_LOW/model_state.pt,standard_N301,301,pin,5.0,0.98
MAP_0009,0.02,0.38,0.3799239923984796,LMEDGE_MID,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/LMEDGE_MID/model_state.pt,standard_N301,301,pin,5.0,0.98
