point_id,Mach,eta,alpha,hybrid_ci,classical_ci,ci_abs_difference
MAP_0000,0.02,0.02,0.019995999599919982,0.9647862017573875,0.9645985163624604,0.00018768539492708403
MAP_0001,0.02,0.06,0.05998799879975994,0.8983997335117742,0.8981789705576855,0.0002207629540886824
MAP_0002,0.02,0.1,0.0999799979995999,0.8364060974929014,0.8361407880149,0.0002653094780014076
MAP_0003,0.02,0.13999999999999999,0.13997199719943984,0.7780992112853774,0.7780371718218407,6.203946353666723e-05
MAP_0004,0.02,0.18,0.17996399639927982,0.7234502938552906,0.7233811447802024,6.914907508814849e-05
MAP_0005,0.02,0.22,0.2199559955991198,0.6718924179516589,0.671822303587635,7.011436402393212e-05
MAP_0006,0.02,0.26,0.25994799479895975,0.6231032301341257,0.6230435077651943,5.972236893136973e-05
MAP_0007,0.02,0.30000000000000004,0.2999399939987997,0.5768021126260188,0.5767322591690569,6.985345696186585e-05
MAP_0008,0.02,0.34,0.3399319931986397,0.5327437530777231,0.5326664491874684,7.730389025473183e-05
MAP_0009,0.02,0.38,0.3799239923984796,0.49071285730900416,0.49065451991249603,5.833739650812353e-05
MAP_0010,0.02,0.42000000000000004,0.4199159915983196,0.450519776099064,0.4504665949303015,5.318116876251722e-05
MAP_0011,0.02,0.46,0.4599079907981596,0.4119968678529689,0.41194849545526363,4.837239770527635e-05
MAP_0012,0.02,0.5,0.4998999899979995,0.37499545744869095,0.3749185786771605,7.687877153045308e-05
MAP_0013,0.02,0.54,0.5398919891978395,0.33938328094986164,0.33931487910407077,6.840184579087749e-05
MAP_0014,0.02,0.5800000000000001,0.5798839883976795,0.3050423285043098,0.3050015250924002,4.080341190959569e-05
MAP_0015,0.02,0.62,0.6198759875975194,0.27186701530208635,0.27180970060433907,5.7314697747279375e-05
MAP_0016,0.02,0.66,0.6598679867973594,0.23976262416801952,0.23972682058029965,3.5803587719873686e-05
MAP_0017,0.02,0.7000000000000001,0.6998599859971993,0.2086439741475408,0.20861311678888844,3.085735865235306e-05
MAP_0018,0.02,0.74,0.7398519851970392,0.17843427795905512,0.17839886369597216,3.54142630829557e-05
MAP_0019,0.02,0.78,0.7798439843968793,0.14906415796768857,0.14901334701930663,5.081094838194078e-05
MAP_0020,0.02,0.8200000000000001,0.8198359835967193,0.1204707957417536,0.1204219184741519,4.887726760169353e-05
MAP_0021,0.02,0.86,0.8598279827965591,0.0925971914702255,0.09256018335066966,3.700811955584249e-05
MAP_0022,0.02,0.9,0.8998199819963991,0.06539110463575937,0.06536846791198632,2.263672377304793e-05
MAP_0023,0.02,0.9400000000000001,0.9398119811962391,0.038798869450762274,0.03879589008248836,2.9793682739115424e-06
