workload,method,n_points,n_repeats,median_wall_time_s,q1_wall_time_s,q3_wall_time_s,min_wall_time_s,max_wall_time_s,median_time_per_point_ms,classical_over_hybrid_speedup
single_point,pinn_seeded_gep,1,10,3.6642212060000006,3.64210291,3.6675776967500004,3.55773456,3.691035084,3664.2212060000006,1.6548205582051312
single_point,classical,1,10,6.0636285815,6.06100202975,6.070296760000001,6.048589457,6.08060446,6063.6285815,1.6548205582051312
map_1000,pinn_seeded_gep,1000,1,3823.960133502,3823.960133502,3823.960133502,3823.960133502,3823.960133502,3823.960133502,1.5412452364723164
map_1000,classical,1000,1,5893.660340220001,5893.660340220001,5893.660340220001,5893.660340220001,5893.660340220001,5893.660340220001,1.5412452364723164
