workload,method,repeat,n_points,wall_time_s,time_per_point_ms,ci
single_point,pinn_seeded_gep,0,1,3.6897475730000004,3689.7475730000006,0.3262511393859742
single_point,classical,0,1,6.08060446,6080.60446,0.32620057249387135
single_point,pinn_seeded_gep,1,1,3.668220407,3668.2204070000003,0.3262511393859742
single_point,classical,1,1,6.064105691,6064.105691,0.32620057249387135
single_point,pinn_seeded_gep,2,1,3.58441608,3584.41608,0.3262511393859742
single_point,classical,2,1,6.061132469,6061.132469,0.32620057249387135
single_point,pinn_seeded_gep,3,1,3.6656495660000004,3665.6495660000005,0.3262511393859742
single_point,classical,3,1,6.070656685,6070.656685,0.32620057249387135
single_point,pinn_seeded_gep,4,1,3.6650197830000004,3665.0197830000006,0.3262511393859742
single_point,classical,4,1,6.048589457,6048.589457,0.32620057249387135
single_point,pinn_seeded_gep,5,1,3.691035084,3691.035084,0.3262511393859742
single_point,classical,5,1,6.069216985000001,6069.216985000001,0.32620057249387135
single_point,pinn_seeded_gep,6,1,3.655004185,3655.0041850000002,0.3262511393859742
single_point,classical,6,1,6.063151472,6063.1514720000005,0.32620057249387135
single_point,pinn_seeded_gep,7,1,3.6378024850000004,3637.802485,0.3262511393859742
single_point,classical,7,1,6.0609585500000005,6060.95855,0.32620057249387135
single_point,pinn_seeded_gep,8,1,3.6634226290000003,3663.422629,0.3262511393859742
single_point,classical,8,1,6.0783164880000005,6078.316488,0.32620057249387135
single_point,pinn_seeded_gep,9,1,3.55773456,3557.73456,0.3262511393859742
single_point,classical,9,1,6.0599074040000005,6059.9074040000005,0.32620057249387135
map_1000,pinn_seeded_gep,0,1000,3823.960133502,3823.960133502,
map_1000,classical,0,1000,5893.660340220001,5893.660340220001,
