step,ci_anchor_loss
1,0.0012654024058570464
100,6.507614358489721e-08
200,1.6366731053388667e-12
300,4.959605002706587e-17
400,1.4798740504617038e-21
500,7.378057722735225e-27
600,1.2645636088872964e-29
700,7.009902138197096e-30
800,5.7429597619775214e-30
900,4.6909240503900845e-30
1000,4.201745276601837e-30
1100,3.7324813021078096e-30
1200,3.10976191662558e-30
1300,2.6171012361519125e-30
1400,2.4242543052270585e-30
1500,1.9925410954937925e-30
1600,1.8741127249272235e-30
1700,1.643673378610456e-30
1800,1.7893748734913373e-30
1900,1.3796564145977208e-30
2000,1.1557786248137514e-30
2100,1.1137673132306246e-30
2200,1.1597412936417468e-30
2300,1.2042394160263288e-30
2400,7.374814962202576e-31
2500,7.369215465046891e-31
2600,7.369215465046891e-31
2700,1.1589787244424343e-29
2800,1.2883631565843762e-08
2900,1.4447219964090028e-12
3000,2.3149929595320498e-17
