alpha,Mach,ci_reference,omega_i,source,success,primary_ci,primary_success,primary_mismatch,secondary_ci,secondary_success,secondary_stage1_mismatch,secondary_stage2_mismatch,ci_abs_diff
0.1,0.5,0.6704450642662936,0.06704450642662936,primary,True,0.6704450642662936,True,2.9212848345200326e-08,0.6704404193186655,True,1.4985375711733067e-06,2.6081713678869703e-29,4.644947628085205e-06
0.3,0.5,0.44668342362457647,0.13400502708737294,primary,True,0.44668342362457647,True,1.464161654473131e-06,0.44668257643651765,True,6.368429266659859e-06,5.772114965024774e-26,8.471880588167835e-07
0.55,0.5,0.2270755878284294,0.12489157330563619,primary,True,0.2270755878284294,True,2.2397469276913724e-06,0.2270357084815059,True,4.8148822565174015e-05,2.8162827354455885e-27,3.987934692351036e-05
0.8,0.5,0.0442736588328293,0.03541892706626344,secondary_neutral,True,0.044303759622366164,True,2.0287013825608102e-07,0.0442736588328293,True,2.48704441756399e-05,1.5296456686494606e-26,3.0100789536864625e-05
