y,classical_p_real,classical_p_imag,pinn_seeded_shooting_p_real,pinn_seeded_shooting_p_imag,direct_pinn_p_real,direct_pinn_p_imag,classical_rho_real,classical_rho_imag,pinn_seeded_shooting_rho_real,pinn_seeded_shooting_rho_imag,direct_pinn_rho_real,direct_pinn_rho_imag,classical_u_real,classical_u_imag,pinn_seeded_shooting_u_real,pinn_seeded_shooting_u_imag,direct_pinn_u_real,direct_pinn_u_imag,classical_v_real,classical_v_imag,pinn_seeded_shooting_v_real,pinn_seeded_shooting_v_imag,direct_pinn_v_real,direct_pinn_v_imag
-250.0,0.04049326494115647,0.0,0.0404906162161128,-6.473280630923598e-06,0.08058140333086856,-0.012583111759720034,0.07936679928466668,0.0,0.07936160778358109,-1.268763003661025e-05,0.15793955052850236,-0.02466289904905126,0.03034794823501926,-0.0009813613213574771,0.030345856995701578,-0.000986171834519746,0.060073040819400826,-0.011369739480992765,-0.04789752148497547,-0.0006217921440830493,-0.04789445637021961,-0.0006141107287587657,-0.09551770558592983,0.013655648276214467
-249.9875,0.0404995211840759,-0.00014360893707261537,0.04049684923026467,-0.00015007348061150873,0.08054914044707934,-0.012870935888648677,0.07937906152078875,-0.0002814735166623261,0.07937382449131873,-0.0002941440219985571,0.1578763152762755,-0.025227034341751404,0.03034915663054111,-0.0010891416208597816,0.030347048119355433,-0.001093945206562217,0.06004193199524907,-0.011584616551354383,-0.047907126870935464,-0.00045202015666338086,-0.047904034198379346,-0.00044434883342962225,-0.09548393224249119,0.013996628979371232
-249.975,0.040505268857922834,-0.0002872622818048184,0.0405025737039929,-0.0002937180049192526,0.08051585144906703,-0.013158689773543683,0.07939032696152874,-0.0005630340723374439,0.07938504445982605,-0.000575687289641735,0.15781106884017138,-0.025791031956145613,0.030349982799342846,-0.0011969428767196102,0.030347857039116966,-0.0012017394729659748,0.06001005603957071,-0.011799416264880519,-0.04791613137707563,-0.0002821878322694838,-0.047913011179739944,-0.0002745266999672692,-0.09544894396109357,0.01433754224632682
-249.9625,0.040510507783052215,-0.0004309582291911354,0.0405077894579481,-0.00043740504865126653,0.08048153642840014,-0.013446369763109,0.07940059525478234,-0.0008446781292146253,0.07939526733757826,-0.0008573138953564823,0.15774381139966426,-0.026354884735693633,0.030350426650532888,-0.0013047637318098092,0.030348283664314538,-0.0013095532766855486,0.05997741310895826,-0.012014135888015297,-0.047924534763185846,-0.00011229730319636264,-0.04792138707444201,-0.00010464646054843492,-0.09541274079433366,0.014678383756297384
-249.95,0.040515237779819024,-0.0005746949742273997,0.040512496312780914,-0.0005811328069059686,0.08044619548961497,-0.013733972205816588,0.07940986604844527,-0.0011264021494857032,0.07940449277305058,-0.0011390203015356982,0.15767454315964533,-0.026918585523400512,0.03035048809321967,-0.001412602829004205,0.03034832790427647,-0.0014173852606764493,0.05994400336972605,-0.012228772687341523,-0.0479323367890561,5.764929826252257e-05,-0.04792916164262624,6.528975265169857e-05,-0.09537532281014534,0.015019149188026751
-249.9375,0.04051945866857818,-0.0007184707119081371,0.040516694089141936,-0.0007248994747804698,0.08040982875021935,-0.014021493449945377,0.07941813899041322,-0.0014082025953399485,0.07941272041471818,-0.0014208029705697206,0.1576032643504299,-0.02748212716189293,0.03035016703651161,-0.0015204588111756437,0.030347989668331108,-0.0015252340678932048,0.0599098269979121,-0.012443323929609925,-0.04793953721447624,0.00022764983981216682,-0.04793633464443322,0.00023527980745640238,-0.09533669009180441,0.015359834219832395
-249.925,0.04052317026968465,-0.0008622836372288542,0.040520382607681815,-0.0008687032473728616,0.08037243634069471,-0.014308929843631869,0.0794254137285819,-0.0016900759289685543,0.07941994991105635,-0.0017026583648508085,0.15752997522776163,-0.02804550249351846,0.030349463389517124,-0.0016283303211977072,0.030347268865806798,-0.0016330983412910806,0.05987488417927837,-0.012657786881777152,-0.047946135799236234,0.0003977021891587244,-0.04794290584000364,0.00040532157169010844,-0.09529684273793192,0.015700434529665314
-249.9125,0.04052637240349339,-0.0010061319451850578,0.04052356168905116,-0.0010125423197812353,0.08033401840449877,-0.01459627773491446,0.07943168991084704,-0.001972018612562713,0.07942618091054025,-0.001984582946771221,0.15745467607281757,-0.02860870436043234,0.03034837706134463,-0.0017362160019439756,0.03034616540603187,-0.0017409767238253417,0.05983917510931185,-0.012872158811039022,-0.04795213230312599,0.0005678042140083492,-0.047948874989478134,0.0005754129131772472,-0.09525578086249807,0.016040945795162416
-249.9,0.040529064890359345,-0.0011500138307712732,0.040526231153900596,-0.0011564148871027018,0.0802945750980682,-0.014883533471777743,0.0794369671851043,-0.002254027108311695,0.07943141306164515,-0.002266573178721295,0.15737736719221368,-0.029171725604684375,0.03034690796110257,-0.001844114496287296,0.030344679198334668,-0.0018488678584505168,0.05980269999322536,-0.01308643698486379,-0.047957526485935424,0.0007379537820660356,-0.047954241852997355,0.0007455516997410902,-0.09521350459482601,0.01638136369369885
-249.8875,0.04053124755063747,-0.0012939274889833348,0.04052839082288075,-0.0013003191444356796,0.08025410659082008,-0.015170693402203077,0.07944124519924943,-0.0025360978784073358,0.07943564601284626,-0.0025486255230939316,0.1572980489180073,-0.02973455906831803,0.030345055997899353,-0.0019520244471014944,0.030342810152043553,-0.0019567703881221156,0.05976545904595746,-0.013300618671030075,-0.047962318107454466,0.0009081487610383258,-0.04795900619070196,0.0009157357992064562,-0.09517001407959422,0.016721683902447854
-249.875,0.040532920204682715,-0.0014378711148157674,0.04053004051664224,-0.001444253286877279,0.08021261306515491,-0.015457753874207817,0.07944452360117811,-0.002818227385038904,0.07943887941261878,-0.002830736442279467,0.15721672160770359,-0.030297197593447317,0.03034282108084341,-0.0020599444972594174,0.030340558176486843,-0.0020646829557946686,0.05972745249217384,-0.013514701137656333,-0.04796650692747302,0.0010783870186302125,-0.04796316776273257,0.0010859630793966155,-0.09512530947684089,0.01706190209842707
