final_reference_id,Mach,alpha,cr,ci,omega_i,reference_subset,mode_npz_path,mode_index_in_npz,n_coordinates,y_min,y_max,display_limit,min_abs_U_minus_c
M1.000000_a0.12000000,1.0,0.12,-4.034584077683783e-11,0.0175794785598835,0.002109537427186,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,14,3801,-865.2332501945257,865.2332521432113,625.48458271225,0.0175794785598835
M1.000000_a0.12500000,1.0,0.125,-2.4879102619033463e-11,0.0194746295545811,0.0024343286943226,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,15,3801,-788.8654878973659,788.8654888844002,568.903573196849,0.0194746295545811
M1.000000_a0.13000000,1.0,0.13,-5.1686894434190026e-11,0.0215428006593863,0.0028005640857202,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,16,3801,-720.8869149807537,720.8869166705857,521.1826155027512,0.0215428006593863
M1.000000_a0.13500000,1.0,0.135,4.486303830662882e-11,0.0238070220816896,0.0032139479810281,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,17,3801,-660.040993403898,660.0409921904286,476.2366297932824,0.0238070220816896
M1.000000_a0.14000000,1.0,0.14,-1.3824653512991852e-11,0.026296053046404,0.0036814474264965,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,18,3801,-605.282840443897,605.2828407523829,437.9935359814643,0.026296053046404
M1.000000_a0.14500000,1.0,0.145,-5.6069094750228085e-11,0.0290465325718309,0.0042117472229154,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,19,3801,-555.7330726054851,555.7330736446394,401.53133956829544,0.0290465325718309
M1.000000_a0.15000000,1.0,0.15,-8.405645788231906e-11,0.0321062949597958,0.0048159442439693,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,20,3801,-510.64055841554057,510.6405597066939,368.50675486926684,0.0321062949597958
M1.000000_a0.15500000,1.0,0.155,-1.1093810174199796e-10,0.0355397248680497,0.0055086573545477,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,21,3801,-469.3506514461956,469.3506528562948,339.96717125427097,0.0355397248680497
M1.000000_a0.16000000,1.0,0.16,-8.877935056053396e-11,0.0394369303198964,0.0063099088511834,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,22,3801,-431.2751694535476,431.27517038400947,312.240807156045,0.0394369303198964
M1.000000_a0.16500000,1.0,0.165,-1.5719701197920907e-10,0.0439306948164425,0.007248564644713,lowM_canonical_full_branches,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/reproducibility/results/dense_kappa_q_lowM_canonical_full_branches_v1/M1p000000/modes/modes_compact_with_analytic_tails.npz,23,3801,-395.85857635843985,395.858577709753,286.6072671534711,0.0439306948164425
