model,final_reference_id,alpha,role,is_spectral_anchor,is_S4M2_modal_anchor,n_domain,n_amplitude_mask,cr_reference,cr_prediction,cr_abs_error,ci_reference,ci_prediction,ci_abs_error,kappa_nrmse,q_nrmse,kappa_max_abs,q_max_abs,log_amp_rmse,amplitude_rel_l2,phase_rmse,pressure_rel_l2,pressure_overlap_error
S4,M1.500000_a0.05000000,0.05,off_anchor,False,False,3214,3214,0.2867884838082837,0.2955160140991211,0.008727530290837393,0.0578781158051297,0.0784546434879303,0.020576527682800598,0.5500645797848761,0.22082964236258423,0.011762960560725488,0.024378800725039645,0.10535227033877571,0.08274734691154766,0.2905548042010254,0.27777502520176783,0.034829052800443905
S4,M1.500000_a0.05500000,0.055,off_anchor,False,False,3216,3216,0.2927446492549135,0.2977782189846039,0.005033569729690379,0.0583866509164055,0.07283765077590942,0.014450999859503925,0.3645905510908559,0.15005471326669056,0.008729475226978294,0.018374553741674154,0.07993071526485121,0.06206182725299306,0.21727367373708067,0.21013242451562908,0.019369365895937518
S4,M1.500000_a0.06000000,0.06,off_anchor,False,False,3218,3218,0.2983284136239438,0.3007892370223999,0.0024608233984561023,0.0586268857628369,0.06755390763282776,0.008927021869990857,0.2166749975090541,0.09206535149898705,0.005987738983110511,0.012392251596337861,0.05382906707608728,0.041223914719425284,0.14535823360954211,0.14192662200797698,0.008581632587297494
S4,M1.500000_a0.06500000,0.065,off_anchor,False,False,3220,3220,0.3035789845194382,0.3044387102127075,0.0008597256932693087,0.0586404622091123,0.0627252385020256,0.004084776292913303,0.09786651523771504,0.04405512844114783,0.0032232804801606285,0.006500055898190554,0.027546181361919497,0.02050147445474554,0.07448567617790912,0.07330679090185732,0.002215511846285101
S4,M1.500000_a0.07000000,0.07,S4M2_modal_anchor,True,True,3223,3223,0.3085296796468241,0.30858489871025085,5.5219063426759085e-05,0.0584602672387943,0.05843222513794899,2.8042100845310225e-05,0.02718081186657687,0.006537664487158366,0.0047913463814474415,0.005383239533295319,0.00543375971704356,0.0029849905539163697,0.006628141905904606,0.006519561159247231,1.4485296106481194e-05
S4,M1.500000_a0.07500000,0.075,off_anchor,False,False,3224,3224,0.3132090515913153,0.3130680322647095,0.00014101932660581795,0.0581127147885543,0.054716214537620544,0.0033965002509337566,0.0921068746815184,0.031657779140236854,0.006500563454192969,0.006441805912054566,0.02729644469440881,0.020649170321483515,0.06417524403607397,0.06431450996298932,0.001676539441650693
S4,M1.500000_a0.08000000,0.08,off_anchor,False,False,3227,3227,0.3176417654238463,0.3177245855331421,8.28201092957781e-05,0.0576193324262716,0.0515851154923439,0.006034216933927694,0.15948313397852074,0.060671294213258974,0.00829394807875677,0.012046085290681963,0.05398635115246971,0.03997819040792502,0.13152602457777846,0.13210701752214016,0.006873999362656091
S4,M1.500000_a0.08500000,0.085,off_anchor,False,False,3229,3229,0.3218492869365933,0.3224019706249237,0.0005526836883303909,0.0569978921594081,0.04902102053165436,0.007976871627753741,0.21651232519915897,0.0856723447186529,0.010044328655497623,0.0175052270627164,0.08053245672672261,0.05836985827218455,0.19758701972665224,0.19879455680375935,0.015238882691416045
S4,M1.500000_a0.09000000,0.09,off_anchor,False,False,3231,3231,0.3258504254289729,0.3269702196121216,0.0011197941831486702,0.0562632320216114,0.0469881035387516,0.009275128482859801,0.2639852404555231,0.10715483250109452,0.011874228425173695,0.022799790998454472,0.1064890085272305,0.07545325427037079,0.26218500920982407,0.2637778220984773,0.026363779364479867
S4,M1.500000_a0.09500000,0.095,off_anchor,False,False,3234,3234,0.3296617663816018,0.331329345703125,0.001667579321523227,0.0554278666161298,0.04543991759419441,0.009987949021935387,0.30285200932727735,0.12552677242107443,0.014770019651262019,0.02796247501228863,0.1314339155378819,0.09085982873701783,0.32530126542509474,0.32649207814194103,0.03980884568817611
S4,M1.500000_a0.10000000,0.1,off_anchor,False,False,3236,3236,0.3332980185827091,0.33541133999824524,0.0021133214155361624,0.0545024471140046,0.04432511702179909,0.010177330092205512,0.33386258464598767,0.14119488823164122,0.01758103184353074,0.03293426694241633,0.15486448708150843,0.10415666886648152,0.3862647972671207,0.38599467941923266,0.055019803656457866
S4,M1.500000_a0.10500000,0.105,off_anchor,False,False,3238,3238,0.3367722951175382,0.33917784690856934,0.0024055517910311353,0.0534961131632005,0.04359126091003418,0.00990485225316632,0.35752216771741857,0.1543635704116828,0.020274220920356308,0.03763944460439439,0.17619973054190977,0.11491095233596725,0.4448152974510491,0.4414864493684407,0.07140055694251601
S4,M1.500000_a0.11000000,0.11,off_anchor,False,False,3241,3241,0.3400963428514539,0.34261536598205566,0.0025190231306017608,0.0524167659885181,0.04318663105368614,0.009230134934831956,0.37413384932912386,0.16518605052830324,0.022793824704686397,0.04197005084215655,0.19560183397304304,0.12270665416552465,0.5003706017411805,0.4919856114442341,0.08824604266893998
S4,M1.500000_a0.11500000,0.115,off_anchor,False,False,3244,3244,0.3432807312668702,0.345729798078537,0.002449066811666789,0.0512712829522548,0.04306042939424515,0.00821085355800965,0.3840642369590593,0.17369793611752166,0.025091799805223927,0.04587950676886732,0.21058712370861365,0.12701604209373657,0.5527623108253851,0.5365283086026614,0.10477592214027476
S4,M1.500000_a0.12000000,0.12,off_anchor,False,False,3246,3246,0.3463350090058034,0.3485409915447235,0.002205982538920126,0.0500656877706976,0.04316186159849167,0.006903826172205932,0.3875590540292711,0.1800411687858412,0.02709481979605216,0.0493401501780609,0.22104035324116084,0.12749386931384596,0.6004172125127204,0.5735887950443729,0.1199421596195529
S4,M1.500000_a0.12500000,0.125,off_anchor,False,False,3249,3249,0.3492678340847004,0.35107874870300293,0.001810914618302517,0.0488052859720997,0.04343845695257187,0.005366829019527834,0.38493867368313955,0.18417185395228938,0.028728676500557097,0.05202547986947745,0.22701268233557437,0.12395257212488031,0.642807895093606,0.6020172430117209,0.13272614253239012
S4,M1.500000_a0.13000000,0.13,off_anchor,False,False,3251,3251,0.3520870854995211,0.35337918996810913,0.0012921044685880179,0.0474947792679625,0.04383418709039688,0.003660592177565619,0.37700642952401436,0.18609828456247987,0.02991203831887855,0.05376626987070435,0.22536400044097804,0.11635651822014188,0.6791813134151262,0.6204192393206782,0.14198142949959702
S4,M1.500000_a0.13500000,0.135,off_anchor,False,False,3254,3254,0.3547999528774636,0.3554826080799103,0.0006826552024467025,0.0461383483534535,0.044287752360105515,0.0018505959933479837,0.3647402401572916,0.18586001863258175,0.030559218130377874,0.05438862009508311,0.21730774193732333,0.10519544175928083,0.7088325334545892,0.6273841911061806,0.14659211141271178
S4,M1.500000_a0.14000000,0.14,S4M2_modal_anchor,True,True,3257,3257,0.3574130186646834,0.35743147134780884,1.8452683125447233e-05,0.0447397340201771,0.044731590896844864,8.143123332235436e-06,0.34995616252703526,0.18357745039697942,0.03058902678997332,0.053755179077423026,0.2010119217537139,0.09148402021020874,0.7315015100897252,0.621497241676447,0.1456053668490952
S4,M1.500000_a0.14500000,0.145,off_anchor,False,False,3259,3259,0.3599323242867976,0.3592691123485565,0.0006632119382410928,0.0433022950552245,0.04509197920560837,0.0017896841503838648,0.3351960727792678,0.17949548218488987,0.02993403322757012,0.054587933239152765,0.17502759774415572,0.0771663963589684,0.7473521496466062,0.6014737927479173,0.13846459960837598
S4,M1.500000_a0.15000000,0.15,off_anchor,False,False,3262,3262,0.3623634285430809,0.36103856563568115,0.0013248629073997487,0.0418290599055481,0.04529048874974251,0.0034614288441944113,0.32332942865803266,0.17402306027003836,0.03335089923469865,0.05726065822279426,0.14251483584184024,0.06547914190114476,0.7576783775394286,0.5663944180541365,0.1252724080679698
S4,M1.500000_a0.15500000,0.155,off_anchor,False,False,3265,3265,0.3647114577304087,0.36278146505355835,0.001929992676850345,0.0403227693778328,0.04524712264537811,0.004924353267545312,0.3173264742285088,0.16773760682763222,0.04162406374285872,0.059703457133045944,0.10543373286199133,0.06046594946751846,0.7643782900015743,0.5161234475025117,0.10700599724720872
S4,M1.500000_a0.16000000,0.16,off_anchor,False,False,3268,3268,0.3669811495888635,0.3645372688770294,0.002443880711834101,0.0387859129695862,0.044884826987981796,0.0060989140183955945,0.3188569780473747,0.16133100997849995,0.050009160524435145,0.06213512898842375,0.07434383135970915,0.06403467798495538,0.7700402479876031,0.45202820159214935,0.0855851604937995
