y,Mach,eta,alpha,ci_ref,ci_pred,p_ref_real,p_ref_imag,p_pred_real,p_pred_imag,q_ref_real,q_ref_imag,q_pred_real,q_pred_imag,rho_ref_real,rho_ref_imag,rho_pred_real,rho_pred_imag,u_ref_real,u_ref_imag,u_pred_real,u_pred_imag,v_ref_real,v_ref_imag,v_pred_real,v_pred_imag,gamma_ref_real,gamma_ref_imag,gamma_pred_real,gamma_pred_imag
-20.0,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.0005591719600680005,0.0002512165740342666,0.005737159139464071,-7.066710451737148e-05,0.00022163489074964973,8.136193384027195e-05,3.9639671054265125e-05,6.000527496119151e-05,8.946751361088009e-05,4.019465184548266e-05,0.0009179454623142515,-1.1306736722779438e-05,0.0005716252042146286,3.255532608128992e-05,0.004981372456182103,-0.001975978658084385,-7.231834396411684e-06,-0.0005346191747859497,9.485307058336928e-05,-0.00013239215191244,0.3841883856285788,-0.027098204601054353,0.006779428242866008,0.010542562277791061
-19.992,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.0005609478374565229,0.0002518682782080682,0.005737264317222145,-7.024104669319993e-05,0.0002223348222296615,8.156418792589165e-05,4.1977113831076795e-05,5.991759719398688e-05,8.975165399304368e-05,4.029892451329092e-05,0.0009179622907555434,-1.1238567470911991e-05,0.0005733918667895802,3.253123667478312e-05,0.004981606374238611,-0.0019756420709391423,-7.370350030695522e-06,-0.0005362632731370661,9.277653940866076e-05,-0.00013726536996380132,0.3841883856285789,-0.02709820460105437,0.007187635478137773,0.010531581062396591
-19.984,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.0005627293230863845,0.00025252160229542357,0.005737378884150404,-6.981464935827563e-05,0.00022303695222760845,8.176691239021313e-05,4.4319281800117204e-05,5.982925607737169e-05,9.003669169382153e-05,4.040345636726778e-05,0.0009179806214640649,-1.1170343897324102e-05,0.0005751639622874158,3.2506688949993656e-05,0.004981848596454318,-0.0019753083205183318,-7.509649559449158e-06,-0.0005379124022501322,9.069478226838788e-05,-0.00014214804605518225,0.3841883856285789,-0.027098204601054353,0.007596640124908092,0.010520416040630939
-19.976,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.0005645164345731934,0.0002531765500632406,0.00573750286395509,-6.938791914664835e-05,0.0002237412876132792,8.197010820308738e-05,4.66661419820182e-05,5.974025302651354e-05,9.032262953171097e-05,4.0508248010118504e-05,0.0009180004582328146,-1.1102067063463738e-05,0.0005769415073321591,3.2481680314715745e-05,0.00498209914129635,-0.0019749774205194436,-7.649736489619622e-06,-0.0005395665774404379,8.8607828837406e-05,-0.0001470401115736357,0.3841883856285789,-0.02709820460105433,0.008006434292041368,0.010509067144980622
-19.968,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.000566309189587602,0.00025383312528619214,0.005737636282074341,-6.896086270857366e-05,0.0002244478352778199,8.217377633585685e-05,4.9017661321828694e-05,5.965058951998045e-05,9.060947033401633e-05,4.061330004579075e-05,0.0009180218051318947,-1.1033738033371788e-05,0.0005787245185984418,3.245620816514938e-05,0.00498235802873729,-0.001974649385231993,-7.790614342279517e-06,-0.0005412258140696536,8.651570898582425e-05,-0.00015194149779763493,0.3841883856285789,-0.027098204601054346,0.00841701005858273,0.010497534321445623
-19.96,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.0005681076058554771,0.00025449133174672777,0.005737779165677094,-6.853348670989799e-05,0.00022515660213380035,8.237791776135557e-05,5.137380669235507e-05,5.95602670990519e-05,9.089721693687635e-05,4.071861307947645e-05,0.0009180446665083352,-1.096535787358368e-05,0.0005805130128116582,3.243026988585352e-05,0.0049826252802544204,-0.0019743242295366128,-7.932286652680392e-06,-0.0005428901275459707,8.441845277484561e-05,-0.0001568521359035819,0.3841883856285789,-0.027098204601054353,0.008828359473831135,0.010485817529476499
-19.952,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.0005699117011580723,0.0002551511732350855,0.005737931543662315,-6.81057978319399e-05,0.00022586759511528028,8.258253345390898e-05,5.373454489637234e-05,5.9469287367801365e-05,9.118587218529159e-05,4.082418771761369e-05,0.0009180690469859705,-1.0896927653110386e-05,0.0005823070067481175,3.2403862849699074e-05,0.004982900918829098,-0.0019740019689046978,-8.074756970306696e-06,-0.0005445595333242418,8.231609045515273e-05,-0.00016177195697055096,0.3841883856285788,-0.027098204601054332,0.009240474557211012,0.010473916742043803
-19.944,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.0005717214933321994,0.00025581265354930415,0.005738093446663625,-6.767780277127691e-05,0.0002265808211778757,8.278762438933383e-05,5.609984267028249e-05,5.9377651993034056e-05,9.147543893315192e-05,4.0930024567888674e-05,0.0009180949514661802,-1.0828448443404308e-05,0.0005841065172351988,3.2376984417822354e-05,0.0049831849689508535,-0.0019736826193997585,-8.218028858929577e-06,-0.0005462340469061204,8.020865246381632e-05,-0.00016670089198797669,0.3841883856285788,-0.027098204601054367,0.009653347298386019,0.010461831945675522
-19.936,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.000573537000270402,0.00025647577649523485,0.0057382649070475385,-6.72495082394577e-05,0.0002272962872988257,8.299319154493818e-05,5.846966668666327e-05,5.928536270389421e-05,9.176592004326434e-05,4.103612423923758e-05,0.0009181223851276063,-1.0759921318313234e-05,0.000585911561151506,3.234963193957729e-05,0.004983477456615955,-0.001973366197676587,-8.362105896661127e-06,-0.0005479136838402029,7.809616942140261e-05,-0.00017163887186072728,0.3841883856285788,-0.027098204601054342,0.010066969657187442,0.010449563140446497
-19.928,0.4,0.45,0.4124318125460256,0.382525554053204,0.38248727039120267,0.000575358239921128,0.00025714054588655324,0.005738445958911259,-6.682092096276971e-05,0.0002280140004770594,8.319923589952116e-05,6.08439835572454e-05,5.919242129189244e-05,9.20573183873805e-05,4.1142487341848524e-05,0.0009181513534258017,-1.0691347354043156e-05,0.0005877221554270219,3.232180275248837e-05,0.004983778409325563,-0.0019730527209803144,-8.506991676008774e-06,-0.0005495984597221694,7.597867212962246e-05,-0.00017658582741542414,0.384188385628579,-0.027098204601054367,0.010481333563616087,0.010437110340043104
