final_reference_id,alpha,role,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M2,ci_abs_error_S4M2,kappa_nrmse_S4M2,q_nrmse_S4M2,log_amp_rmse_S4M2,amplitude_rel_l2_S4M2,phase_rmse_S4M2,pressure_rel_l2_S4M2,pressure_overlap_error_S4M2,delta_cr_abs_error_S4M2_minus_S4,delta_ci_abs_error_S4M2_minus_S4,delta_kappa_nrmse_S4M2_minus_S4,delta_q_nrmse_S4M2_minus_S4,delta_log_amp_rmse_S4M2_minus_S4,delta_amplitude_rel_l2_S4M2_minus_S4,delta_phase_rmse_S4M2_minus_S4,delta_pressure_rel_l2_S4M2_minus_S4,delta_pressure_overlap_error_S4M2_minus_S4
M1.100000_a0.09000000,0.09,off_anchor,0.04926708159345518,0.0058679741374608185,1.0337638743600077,0.6871249933049962,0.8396762470493567,0.8710801629692448,0.8347246464776679,1.1752963904101597,0.14042824237769458,0.05073652980226408,0.006199629282152286,0.1744073389800213,0.14551613498159974,0.102783445778455,0.06715864364423815,0.12088558319645028,0.08310002809053171,0.0027775422537379413,0.001469448208808899,0.0003316551446914673,-0.8593565353799864,-0.5416088583233964,-0.7368928012709017,-0.8039215193250067,-0.7138390632812176,-1.092196362319628,-0.13765070012395664
M1.100000_a0.09500000,0.095,off_anchor,0.03592118482860093,0.025253032201917408,1.0319276293565016,0.667191623776904,0.7243863489583696,0.7561494300874718,0.800855677761816,1.081206200148638,0.12252938829932714,0.03707457940848832,0.02499251520076537,0.24036146456535204,0.09809018822855978,0.1110919681444175,0.060735284514922314,0.06831460458660281,0.06403498526871239,0.0016419965802543235,0.0011533945798873901,-0.0002605170011520386,-0.7915661647911496,-0.5691014355483442,-0.6132943808139522,-0.6954141455725495,-0.7325410731752132,-1.0171712148799257,-0.12088739171907281
M1.100000_a0.10000000,0.1,off_anchor,0.015030100513130328,0.018436478324594913,1.021913544755485,0.5808339884974331,0.769031741883481,0.7926271404788405,0.7357359058408738,1.0613529679465217,0.11629751042596703,0.015865545291334292,0.018248082943621097,0.16618231295513902,0.06522217310606707,0.07279748096554908,0.03767981206094223,0.04526286113863756,0.040890867062129625,0.0006280115600992842,0.0008354447782039642,-0.00018839538097381592,-0.855731231800346,-0.515611815391366,-0.696234260917932,-0.7549473284178982,-0.6904730447022362,-1.0204621008843922,-0.11566949886586775
M1.100000_a0.10500000,0.105,off_anchor,0.006281764352787822,0.011813437740669785,1.013369956394198,0.5354093373117832,0.8121247484501263,0.826671385157671,0.7161181763422088,1.0639642608783335,0.11796612366983361,0.0068109790925873215,0.011694451968536912,0.10671903777491311,0.042113406157072424,0.04592744059409353,0.022835946417325937,0.03278428254704488,0.02709067405907798,0.000253206713457077,0.0005292147397994995,-0.00011898577213287354,-0.9066509186192849,-0.49329593115471077,-0.7661973078560328,-0.8038354387403451,-0.6833338937951638,-1.0368735868192556,-0.11771291695637653
M1.100000_a0.11000000,0.11,off_anchor,0.0018649237423054715,0.005606754893518445,1.0067382379914047,0.5072489631098168,0.8556513121632344,0.8592962192045854,0.7167266783777617,1.0739448142449213,0.12389263728934008,0.0021132962970845243,0.005550458306528089,0.05601744045782214,0.020243791506011043,0.02337046163878627,0.011097767390928472,0.01693371468825006,0.013611191797230537,6.04933811532149e-05,0.00024837255477905273,-5.6296586990356445e-05,-0.9507207975335825,-0.4870051716038058,-0.8322808505244481,-0.8481984518136569,-0.6997929636895116,-1.0603336224476907,-0.12383214390818686
M1.100000_a0.11500000,0.115,S4M2_modal_anchor,3.5594436626332215e-05,4.9732754479892005e-06,1.001738944236649,0.49042876753525655,0.9017427116853011,0.8910902569951835,0.7348518154939172,1.0887433639832735,0.13315980450030818,3.0498239498036317e-05,1.3373921166903724e-06,0.014903712917536085,0.004568268481382035,0.007571280525504182,0.0029285605677546486,0.002759776322365534,0.003433041186294446,4.635288566534612e-06,-5.0961971282958984e-06,-3.635883331298828e-06,-0.986835231319113,-0.4858604990538745,-0.8941714311597969,-0.8881616964274288,-0.7320920391715516,-1.0853103227969791,-0.13315516921174164
M1.100000_a0.12000000,0.12,off_anchor,0.00034600978674509397,0.004849645108059575,0.9983199098350882,0.4815365538235318,0.9465421720944701,0.9209871061316939,0.7606158215388301,1.1061635362366493,0.14472855886655533,0.0005378920394382702,0.004812541216686894,0.026636426425246124,0.021462076638932587,0.01735269016276344,0.007592083083710911,0.022213838136418536,0.014171097397603364,6.334575738042858e-05,0.00019188225269317627,-3.7103891372680664e-05,-0.9716834834098421,-0.4600744771845992,-0.9291894819317067,-0.9133950230479829,-0.7384019834024116,-1.0919924388390458,-0.1446652131091749
M1.100000_a0.12500000,0.125,off_anchor,0.00031446733904919033,0.008866208217690047,0.9961461006324395,0.4783290408406243,0.9919364686403713,0.9494923443009639,0.7949104890920221,1.1260318648043794,0.15820269350378635,2.4191351403385353e-05,0.00880063565785652,0.05529799200453473,0.03902088259073178,0.031737503402945615,0.013742486502869364,0.042615894388144886,0.02643297714522038,0.00021201403486370562,-0.000290275987645805,-6.557255983352661e-05,-0.9408481086279047,-0.4393081582498925,-0.9601989652374258,-0.9357498577980945,-0.7522945947038773,-1.0995988876591591,-0.15799067946892265
M1.100000_a0.13000000,0.13,off_anchor,0.001489470874530413,0.01200370096272961,0.9949622924082994,0.4790005623528605,1.0385727085582814,0.9769643881002651,0.8357209343733346,1.1482960505370925,0.17318680996282954,0.0010532691829029106,0.011920813253588833,0.0776278535869382,0.05434702161462285,0.04401114146285629,0.01857134923935766,0.06209161077837651,0.037657396855805166,0.000421365408084573,-0.00043620169162750244,-8.288770914077759e-05,-0.9173344388213611,-0.42465354073823763,-0.9945615670954251,-0.9583930388609074,-0.7736293235949581,-1.1106386536812873,-0.17276544455474496
M1.100000_a0.13500000,0.135,off_anchor,0.0028393586822493405,0.01426449403715506,0.994647849593118,0.48241786932058367,1.0851093018424325,1.0025768498238683,0.8816671455841789,1.1720141867258225,0.18907899547260643,0.0023497810312254758,0.01417344794226065,0.093077117796096,0.06693064604210097,0.053672964444278284,0.022067946280964194,0.07955745419369747,0.04743453279772426,0.0006588806715447371,-0.0004895776510238647,-9.104609489440918e-05,-0.9015707317970221,-0.4154872232784827,-1.031436337398154,-0.9805089035429041,-0.8021096913904815,-1.124579653928098,-0.1884201148010617
M1.100000_a0.14000000,0.14,off_anchor,0.0041208727253617405,0.01568467956809906,0.9948578257796497,0.48753332907874747,1.1349117049662834,1.0271989460724085,0.934494349549372,1.1977400016131705,0.20573052706318695,0.003614635576123154,0.015592366874503175,0.10164312849669997,0.07634194553879932,0.0605837351899599,0.024326280679100684,0.09484918676776789,0.055471046550249634,0.0008913604809397402,-0.0005062371492385864,-9.231269359588623e-05,-0.8932146972829497,-0.41119138353994816,-1.0743279697763235,-1.0028726653933078,-0.8396451627816042,-1.1422689550629208,-0.2048391665822472
M1.100000_a0.14500000,0.145,off_anchor,0.005171748120020803,0.016323639262780895,0.9956630947942701,0.49351042535710443,1.1826821159888103,1.049724202531813,0.9865071310840026,1.2242911101074743,0.22253058459672426,0.004677193481158193,0.016234820891484966,0.10364979588397441,0.08221827367331118,0.06464860922016946,0.025459944496615167,0.10551322529273585,0.06151913932537494,0.0010874278656325398,-0.0004945546388626099,-8.881837129592896e-05,-0.8920132989102957,-0.41129215168379324,-1.1180335067686409,-1.0242642580351977,-0.8809939057912667,-1.1627719707820994,-0.22144315673109172
M1.100000_a0.15000000,0.15,off_anchor,0.005895552212005439,0.016254663270119388,0.9966582923750172,0.49982089967792365,1.2339267228231365,1.071131772651977,1.0430075293322203,1.2522590128281172,0.23945061730731132,0.0054330797731931835,0.01617240140974875,0.09968931250501334,0.08432628888060788,0.0660664594783959,0.0255870371615703,0.11244272813787996,0.06536657596009064,0.0012203122743297268,-0.00046247243881225586,-8.226186037063599e-05,-0.8969689798700039,-0.41549461079731576,-1.1678602633447406,-1.0455447354904066,-0.9305648011943404,-1.1868924368680267,-0.2382303050329816
M1.100000_a0.15500000,0.155,off_anchor,0.006246651028148031,0.015557796799530482,0.9979658474376778,0.5059332481927907,1.282797960859692,1.0903061512596424,1.0968857790619695,1.280320325118937,0.2559453548911551,0.005829999660006857,0.015483924292911982,0.09075768641450285,0.08260036158442087,0.06486503393554378,0.024817877608760218,0.11365986802991009,0.0668223118403244,0.0012698319144868186,-0.0004166513681411743,-7.387250661849976e-05,-0.9072081610231749,-0.4233328866083699,-1.2179329269241481,-1.0654882736508822,-0.9832259110320594,-1.2134980132786126,-0.2546755229766683
M1.100000_a0.16000000,0.16,off_anchor,0.006216809333856654,0.014315309388270706,0.9991729913456231,0.5114976061132613,1.3353059493747466,1.1081889217778447,1.1531473790999842,1.308821437827572,0.2719889511167165,0.00585453230291183,0.014250876767268508,0.07810225681591029,0.07720166228571475,0.06208420301554529,0.023243399477284626,0.11047085974281191,0.06571388864921633,0.0012247093616153393,-0.0003622770309448242,-6.443262100219727e-05,-0.9210707345297128,-0.4342959438275466,-1.2732217463592013,-1.08494552230056,-1.0426765193571723,-1.2431075491783556,-0.27076424175510116
