model,final_reference_id,alpha,role,is_spectral_anchor,is_S4M2_modal_anchor,n_domain,n_amplitude_mask,cr_reference,cr_prediction,cr_abs_error,ci_reference,ci_prediction,ci_abs_error,kappa_nrmse,q_nrmse,kappa_max_abs,q_max_abs,log_amp_rmse,amplitude_rel_l2,phase_rmse,pressure_rel_l2,pressure_overlap_error
S4,M1.900000_a0.05000000,0.05,off_anchor,False,False,3208,3208,0.4575013033096492,0.46098488569259644,0.0034835823829472146,0.0201545403695674,0.037488773465156555,0.017334233095589156,2.1715308450205586,0.30516775496709897,0.0355605893389941,0.0768166507119151,0.13422900548375874,0.13510752773053242,0.5532872834241822,0.558981634197958,0.047418463026561164
S4,M1.900000_a0.05500000,0.055,off_anchor,False,False,3210,3210,0.4598761373512365,0.46158748865127563,0.0017113513000391323,0.0209545200389075,0.03077596053481102,0.00982144049590352,1.8784845830981463,0.2801294812904236,0.03625635284920336,0.07634936445157398,0.15447725562977002,0.15455581440063887,0.5943071457590325,0.5965683320298758,0.06186825917895655
S4,M1.900000_a0.06000000,0.06,off_anchor,False,False,3211,3211,0.4622082577801977,0.46278443932533264,0.0005761815451349461,0.0215874463500849,0.02573736011981964,0.004149913769734743,1.6726932306991842,0.26184376789056013,0.037181514703436225,0.0755704673087699,0.1762268949218081,0.17511836787754145,0.6355237204345934,0.6329018866994451,0.07780885288226047
S4,M1.900000_a0.06500000,0.065,S4M2_modal_anchor,True,True,3212,3212,0.4644930709807444,0.4644872546195984,5.81636114599382e-06,0.0220661663779487,0.02207166515290737,5.498774958673236e-06,1.5259209899280155,0.24831564878871717,0.03834701010116528,0.07450732786676274,0.19935511009735526,0.19659738443071864,0.6761821848115736,0.6672374558973883,0.09487005518233182
S4,M1.900000_a0.07000000,0.07,off_anchor,False,False,3214,3214,0.4667274148350163,0.4665602445602417,0.00016717027477458624,0.0224026540029573,0.019497361034154892,0.0029052929688024066,1.4195556566782803,0.2381876693647977,0.03974786294002052,0.0736153643778034,0.22445563129592427,0.219217866224922,0.7178625367749508,0.6997164346221543,0.113025458425008
S4,M1.900000_a0.07500000,0.075,off_anchor,False,False,3216,3216,0.4689092726029273,0.4688419699668884,6.730263603887954e-05,0.0226079949575224,0.01777946949005127,0.004828525467471131,1.3416683623377426,0.230365075947311,0.041359606981317576,0.07375430864897217,0.2500940379578547,0.2419831125709001,0.7560628785479057,0.7288899492995533,0.13133322930186642
S4,M1.900000_a0.08000000,0.08,off_anchor,False,False,3218,3218,0.4710375349773399,0.47118398547172546,0.0001464504943855527,0.0226924045559811,0.016735099256038666,0.005957305299942435,1.2832518685190066,0.22434832306276883,0.04313356278069061,0.07357234235809276,0.2776922718034933,0.26553652780768916,0.7949924507495248,0.7560049986363611,0.15018075685505217
S4,M1.900000_a0.08500000,0.085,off_anchor,False,False,3220,3220,0.4731118045402344,0.4734784662723541,0.00036666173211974407,0.0226652668576932,0.01622985117137432,0.00643541568631888,1.2384457998665377,0.21960160278151794,0.044997546549266,0.07421174794313773,0.3064487894449488,0.28924844356807844,0.8327277978638654,0.7806124503649091,0.16907016271845787
S4,M1.900000_a0.09000000,0.09,off_anchor,False,False,3221,3221,0.4751322369239946,0.4756629168987274,0.0005306799747328284,0.0225351864585413,0.016169503331184387,0.006365683127356914,1.2031353713819644,0.21584574787366326,0.04686485920524421,0.0765756995770769,0.335152150954582,0.3123943219380363,0.8680729686400634,0.8025992988530684,0.18764106531569957
S4,M1.900000_a0.09500000,0.095,off_anchor,False,False,3223,3223,0.4770994126801933,0.4777087867259979,0.0006093740458046337,0.022310043030764,0.016489380970597267,0.0058206620601667335,1.173856458603911,0.21295626850156013,0.04866867709270081,0.08038757945841452,0.36575839237452806,0.3356684125796787,0.9050306384983849,0.8232384388591467,0.2062436441861205
