final_reference_id,alpha,role,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,delta_cr_abs_error_S4M4_minus_S4,delta_ci_abs_error_S4M4_minus_S4,delta_kappa_nrmse_S4M4_minus_S4,delta_q_nrmse_S4M4_minus_S4,delta_log_amp_rmse_S4M4_minus_S4,delta_amplitude_rel_l2_S4M4_minus_S4,delta_phase_rmse_S4M4_minus_S4,delta_pressure_rel_l2_S4M4_minus_S4,delta_pressure_overlap_error_S4M4_minus_S4
M1.100000_a0.09000000,0.09,off_anchor,0.0492670815934551,0.0058679741374608,1.0337638743600075,0.6871249933049962,0.8396762470493567,0.8710801629692448,0.8347246464776679,1.1752963904101597,0.1404282423776945,0.050736529802264,0.0061996292821522,0.1744073389800213,0.1455161349815997,0.102783445778455,0.0671586436442381,0.1208855831964502,0.0831000280905317,0.0027775422537379,0.001469448208808899,0.00033165514469139963,-0.8593565353799861,-0.5416088583233964,-0.7368928012709017,-0.8039215193250068,-0.7138390632812177,-1.092196362319628,-0.13765070012395658
M1.100000_a0.09500000,0.095,off_anchor,0.0359211848286009,0.0252530322019174,1.0319276293565016,0.667191623776904,0.7243863489583696,0.7561494300874718,0.800855677761816,1.081206200148638,0.1225293882993271,0.0370745794084883,0.0249925152007653,0.240361464565352,0.0980901882285597,0.1110919681444175,0.0607352845149223,0.0683146045866028,0.0640349852687123,0.0016419965802543,0.001153394579887404,-0.000260517001152101,-0.7915661647911496,-0.5691014355483444,-0.6132943808139522,-0.6954141455725495,-0.7325410731752132,-1.0171712148799257,-0.1208873917190728
M1.100000_a0.10000000,0.1,off_anchor,0.0150301005131303,0.0184364783245949,1.021913544755485,0.5808339884974331,0.769031741883481,0.7926271404788405,0.7357359058408738,1.0613529679465217,0.116297510425967,0.0158655452913342,0.018248082943621,0.166182312955139,0.065222173106067,0.072797480965549,0.0376798120609422,0.0452628611386375,0.0408908670621296,0.0006280115600992,0.0008354447782039018,-0.00018839538097389918,-0.855731231800346,-0.515611815391366,-0.696234260917932,-0.7549473284178984,-0.6904730447022362,-1.0204621008843922,-0.1156694988658678
M1.100000_a0.10500000,0.105,off_anchor,0.0062817643527878,0.0118134377406697,1.013369956394198,0.5354093373117832,0.8121247484501263,0.826671385157671,0.7161181763422088,1.0639642608783335,0.1179661236698336,0.0068109790925873,0.0116944519685369,0.1067190377749131,0.0421134061570724,0.0459274405940935,0.0228359464173259,0.0327842825470448,0.0270906740590779,0.000253206713457,0.0005292147397994995,-0.00011898577213280068,-0.9066509186192849,-0.4932959311547108,-0.7661973078560328,-0.8038354387403451,-0.683333893795164,-1.0368735868192556,-0.1177129169563766
M1.100000_a0.11000000,0.11,off_anchor,0.0018649237423054,0.0056067548935184,1.0067382379914047,0.5072489631098168,0.8556513121632344,0.8592962192045854,0.7167266783777617,1.0739448142449213,0.12389263728934,0.0021132962970845,0.005550458306528,0.0560174404578221,0.020243791506011,0.0233704616387862,0.0110977673909284,0.01693371468825,0.0136111917972305,6.04933811532149e-05,0.0002483725547791,-5.6296586990399813e-05,-0.9507207975335826,-0.4870051716038058,-0.8322808505244482,-0.848198451813657,-0.6997929636895117,-1.0603336224476907,-0.12383214390818678
M1.100000_a0.11500000,0.115,S4M4_modal_anchor,3.559443662633221e-05,4.9732754479892005e-06,1.001738944236649,0.4904287675352565,0.9017427116853012,0.8910902569951835,0.7348518154939172,1.0887433639832735,0.1331598045003081,3.049823949803632e-05,1.3373921166903724e-06,0.014903712917536,0.004568268481382,0.0075712805255041,0.0029285605677546,0.0027597763223655,0.0034330411862944,4.635288566534612e-06,-5.096197128295888e-06,-3.635883331298828e-06,-0.9868352313191131,-0.4858604990538745,-0.894171431159797,-0.8881616964274289,-0.7320920391715517,-1.0853103227969791,-0.13315516921174156
M1.100000_a0.12000000,0.12,off_anchor,0.000346009786745,0.0048496451080595,0.9983199098350882,0.4815365538235318,0.94654217209447,0.920987106131694,0.7606158215388301,1.106163536236649,0.1447285588665553,0.0005378920394382,0.0048125412166868,0.0266364264252461,0.0214620766389325,0.0173526901627634,0.0075920830837109,0.0222138381364185,0.0141710973976033,6.334575738042858e-05,0.00019188225269319996,-3.710389137270061e-05,-0.9716834834098421,-0.46007447718459926,-0.9291894819317066,-0.913395023047983,-0.7384019834024116,-1.0919924388390458,-0.14466521310917488
M1.100000_a0.12500000,0.125,off_anchor,0.0003144673390491,0.00886620821769,0.9961461006324396,0.4783290408406243,0.9919364686403712,0.949492344300964,0.7949104890920221,1.1260318648043794,0.1582026935037863,2.4191351403385356e-05,0.0088006356578565,0.0552979920045347,0.0390208825907317,0.0317375034029456,0.0137424865028693,0.0426158943881448,0.0264329771452203,0.0002120140348637,-0.00029027598764571466,-6.557255983350059e-05,-0.9408481086279049,-0.43930815824989256,-0.9601989652374257,-0.9357498577980947,-0.7522945947038773,-1.0995988876591591,-0.1579906794689226
M1.100000_a0.13000000,0.13,off_anchor,0.0014894708745304,0.0120037009627296,0.9949622924082994,0.4790005623528605,1.0385727085582814,0.9769643881002652,0.8357209343733346,1.1482960505370925,0.1731868099628295,0.0010532691829029,0.0119208132535888,0.0776278535869382,0.0543470216146228,0.0440111414628562,0.0185713492393576,0.0620916107783765,0.0376573968558051,0.0004213654080845,-0.00043620169162750006,-8.288770914080014e-05,-0.9173344388213611,-0.4246535407382377,-0.9945615670954252,-0.9583930388609077,-0.7736293235949581,-1.1106386536812873,-0.17276544455474502
M1.100000_a0.13500000,0.135,off_anchor,0.0028393586822493,0.014264494037155,0.994647849593118,0.4824178693205836,1.0851093018424325,1.0025768498238683,0.8816671455841789,1.1720141867258225,0.1890789954726064,0.0023497810312254,0.0141734479422606,0.093077117796096,0.0669306460421009,0.0536729644442782,0.0220679462809641,0.0795574541936974,0.0474345327977242,0.0006588806715447,-0.0004895776510239003,-9.10460948944005e-05,-0.9015707317970221,-0.4154872232784827,-1.0314363373981543,-0.9805089035429042,-0.8021096913904815,-1.1245796539280983,-0.1884201148010617
