point_id,direction,step_index,Mach,eta,alpha,ci_seed,gep_cr,gep_ci,adjacent_overlap,selection_basis,selection_source,n_finite_modes
OFFGRID_0380,low_to_target,0,0.7902564813811129,0.92,0.5637541207767663,0.0362245022935613,-1.4121514200888086e-12,0.037421507040879785,,pinn_seed_start,nearest_to_target,284
OFFGRID_0380,low_to_target,1,0.7902564813811129,0.9223681048914425,0.5652052391365298,0.03578513085505854,-5.270784358167721e-14,0.0362944456028149,0.9999990305433578,previous_eigenvalue,nearest_to_target,310
OFFGRID_0380,low_to_target,2,0.7902564813811129,0.9247362097828848,0.5666563574962931,0.03483315752378958,-1.2419741925459393e-12,0.03516811727365404,0.999999029205258,previous_eigenvalue,nearest_to_target,319
OFFGRID_0380,low_to_target,3,0.7902564813811129,0.9271043146743273,0.5681074758560564,0.033295407639657985,-3.199000705958858e-13,0.034042400398335775,0.9999990278138507,previous_eigenvalue,nearest_to_target,286
OFFGRID_0380,low_to_target,4,0.7902564813811129,0.9294724195657696,0.5695585942158197,0.03169534264059716,-1.322774479430222e-12,0.032917141200832695,0.9999990263506386,previous_eigenvalue,nearest_to_target,284
OFFGRID_0380,low_to_target,5,0.7902564813811129,0.9318405244572121,0.5710097125755831,0.030620997129493864,-2.810512261187008e-12,0.03179214518592174,0.9999990247918488,previous_eigenvalue,nearest_to_target,282
OFFGRID_0380,low_to_target,6,0.7902564813811129,0.9342086293486545,0.5724608309353464,0.030004052483477563,-1.2205292002641326e-13,0.030667166301752133,0.999999023106986,previous_eigenvalue,nearest_to_target,322
OFFGRID_0380,low_to_target,7,0.7902564813811129,0.9365767342400969,0.5739119492951097,0.029477389646657238,1.4746429170731467e-12,0.0295418932617364,0.9999990212569642,previous_eigenvalue,nearest_to_target,286
OFFGRID_0380,low_to_target,8,0.7902564813811129,0.9389448391315394,0.5753630676548731,0.028663120099345255,-1.0749531669037298e-12,0.02841593226731605,0.9999990191916925,previous_eigenvalue,nearest_to_target,286
OFFGRID_0380,low_to_target,9,0.7902564813811129,0.9413129440229817,0.5768141860146364,0.027277914894641483,-2.7002554208760117e-12,0.02728878506006569,0.9999990168468855,previous_eigenvalue,nearest_to_target,291
OFFGRID_0380,low_to_target,10,0.7902564813811129,0.9436810489144242,0.5782653043743998,0.025555748908408425,5.732757193416082e-13,0.026159821039524148,0.9999990141398938,previous_eigenvalue,nearest_to_target,292
