step,ci_anchor_loss
1,0.008541847347373286
100,5.987541437997969e-05
200,4.870755877164318e-05
300,3.857785835091642e-05
400,2.8831246397961454e-05
500,1.9465523288665936e-05
600,1.0814191724936969e-05
700,4.256600514177799e-06
800,1.190569854538784e-06
900,4.524066089814613e-07
1000,2.910767885448729e-07
1100,2.1123814402170863e-07
1200,1.521070599159559e-07
1300,1.064439005152816e-07
1400,7.201047814264168e-08
1500,4.695954629291372e-08
1600,2.9456410673178863e-08
1700,1.774381861343297e-08
1800,1.025094870239021e-08
1900,5.673760375148944e-09
2000,3.0057752761504706e-09
2100,1.5226785094784142e-09
2200,7.368369836269633e-10
2300,3.4018720019858614e-10
2400,1.496325471516822e-10
2500,3.648159334341409e-10
2600,3.2022548470879414e-11
2700,1.3801239154463357e-11
2800,1.6568783520121833e-08
2900,4.45259921495775e-12
3000,1.4040062926337832e-12
