epoch,ci_anchor_loss,weighted_loss,ci_lr,grad_norm
1,6.806673256317463e-14,6.806673256317463e-11,0.00019999999924991005,1.8797448221061374e-05
100,1.6094594932390171e-09,1.6094594932390172e-06,0.00019999249919936256,0.11140891707529929
200,2.53669351819657e-09,2.53669351819657e-06,0.0001999699979819135,0.14693842441690105
300,1.8808781804012962e-10,1.8808781804012963e-07,0.00019993249990085598,0.04041564041217604
400,1.6052399659913086e-10,1.6052399659913086e-07,0.0001998800108775717,0.03775390169736377
500,1.0724067846044028e-08,1.0724067846044029e-05,0.00019981253920068581,0.3118675963220649
600,8.646975499961623e-10,8.646975499961623e-07,0.0001997300955247583,0.08873106179603991
700,3.1260440337152555e-12,3.1260440337152553e-09,0.0001996326928686014,0.005566684788264507
800,1.0810686475419062e-13,1.0810686475419062e-10,0.00019952034661322354,0.0010189250984172025
900,2.1610036706780353e-09,2.161003670678035e-06,0.0001993930744994008,0.148903448755776
1000,1.6153811686803522e-13,1.6153811686803523e-10,0.0001992508966248754,0.0012959918294835739
1100,9.275448284981333e-07,0.0009275448284981333,0.00019909383544118185,3.06495812991759
1200,2.5133105148454005e-11,2.5133105148454006e-08,0.00019892191575010185,0.013943157441918746
1300,7.479102414715219e-14,7.479102414715219e-11,0.00019873516469974748,0.001147113892762488
1400,8.519819879496618e-10,8.519819879496618e-07,0.00019853361178027453,0.119611529621104
1500,2.6303521288124287e-08,2.630352128812429e-05,0.00019831728881922545,0.6255529166114367
1600,3.5106245264709955e-13,3.5106245264709954e-10,0.00019808622997650346,0.002342786404617426
1700,1.8797148569548033e-07,0.00018797148569548033,0.00019784047173897838,1.4562408208374484
1800,2.178580930298787e-10,2.178580930298787e-07,0.00019758005291472486,0.057174367945416915
1900,2.988245433005782e-10,2.988245433005782e-07,0.00019730501462689404,0.06285280656953862
2000,2.566921269710953e-06,0.002566921269710953,0.00019701540030721997,5.547123772835011
2100,6.866693093169941e-11,6.866693093169941e-08,0.00019671125568916103,0.027597786712948002
2200,4.070275737986923e-07,0.0004070275737986923,0.00019639262880067818,2.3800003666106218
2300,1.0589201316572179e-11,1.0589201316572179e-08,0.00019605956995665072,0.012058991303181455
2400,3.7658023272096024e-07,0.00037658023272096024,0.00019571213175093111,2.1000583956541408
2500,5.429693091606035e-12,5.429693091606035e-09,0.0001953503690480396,0.008313988629429891
2600,2.8043079790047334e-14,2.8043079790047332e-11,0.00019497433897450072,0.0006835183507362093
2700,3.29537494685569e-09,3.29537494685569e-06,0.00019458410090982214,0.22124631921746735
2800,1.3583543171541082e-08,1.3583543171541083e-05,0.00019417971647711806,0.39902931673697806
2900,1.8780823378491633e-12,1.878082337849163e-09,0.00019376124953337815,0.004884493403215315
3000,4.0043483080130166e-17,4.0043483080130165e-14,0.0001933287661593839,2.3458496019302913e-05
3100,1.1080557338008841e-08,1.108055733800884e-05,0.00019288233464927353,0.38041061096282514
3200,4.652162637086635e-13,4.652162637086635e-10,0.0001924220254997577,0.00264574141234343
3300,7.069698679021874e-09,7.069698679021874e-06,0.0001919479113989872,0.27622441684506627
3400,2.650198785272678e-13,2.650198785272678e-10,0.00019146006721507458,0.001638119767279598
3500,2.713178325296473e-06,0.002713178325296473,0.00019095856998427185,5.940819419525696
3600,1.979473421757793e-11,1.979473421757793e-08,0.00019044349889880526,0.017876796091448894
3700,2.021158771596766e-07,0.0002021158771596766,0.00018991493529437007,1.419042339382228
3800,4.305991415970716e-13,4.3059914159707156e-10,0.00018937296263728674,0.0017924557482330247
3900,7.784596160714164e-10,7.784596160714164e-07,0.0001888176665113206,0.10770378614805982
4000,4.1850913602241867e-11,4.1850913602241866e-08,0.00018824913460416704,0.020893242749303792
4100,1.9300738295665046e-12,1.9300738295665045e-09,0.00018766745669360495,0.0038518571132673926
4200,1.494867246311496e-10,1.494867246311496e-07,0.00018707272463331935,0.034190953167592526
4300,3.4835248459206465e-08,3.4835248459206464e-05,0.00018646503233839699,0.7449377801344937
4400,1.3545404618168485e-10,1.3545404618168486e-07,0.00018584447577049576,0.04616263867204283
4500,5.997287263031467e-07,0.0005997287263031468,0.00018521115292269145,2.1479790221164516
4600,1.7536147886858298e-09,1.7536147886858298e-06,0.0001845651638040035,0.1723221814440928
4700,1.3106102922990834e-10,1.3106102922990834e-07,0.00018390661042360222,0.037877674536135
4800,1.474804040725821e-06,0.0014748040407258209,0.0001832355967747006,3.9407967795778807
4900,4.79058480055037e-10,4.790584800550371e-07,0.0001825522288181325,0.09227467789169705
5000,1.8251224195236216e-10,1.8251224195236217e-07,0.00018185661446562,0.0404588267397721
5100,3.1636510911688365e-08,3.163651091168836e-05,0.0001811488635627333,0.7324777171249355
5200,3.1760400564279396e-10,3.17604005642794e-07,0.00018042908787154437,0.06062051585950246
5300,2.0578089889750816e-10,2.0578089889750815e-07,0.0001796974010529788,0.04477659194931379
5400,7.287150365033388e-07,0.0007287150365033388,0.00017895391864886727,3.135694015059288
5500,4.11493911528649e-12,4.11493911528649e-09,0.0001781987580637,0.005417975770292898
5600,8.895769472449783e-07,0.0008895769472449783,0.00017743203854608756,2.599301466272015
5700,1.2436053944630053e-11,1.2436053944630052e-08,0.00017665388116992986,0.013145388527886642
5800,7.569947226868813e-10,7.569947226868813e-07,0.0001758644088152973,0.09338259717473701
