source_path,size_bytes,sha256,category,decision,target_path,target_exists,target_sha256,hash_verified
complementary_phase/.DS_Store,6148,6363b2b0101b814449dbf03c1a5e4198b77406ea6c42a932dfaf219b92ae47be,metadata,EXCLUDED_OS_METADATA,,False,,False
complementary_phase/.venv-kh-subsonic/.gitignore,69,36692e1840f82f75adce103fd03e65b1eaa35f798c885b3b545e3abc14ffcbf0,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/Activate.ps1,9031,eb8ce20f580877d300c4fed60a7f36daa18715d35c50bb3596d6995d023b4ffe,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/activate,2330,a236e423acbdc857256c874e58d13821b4e26e56e2c4d7ab200a3fcb234467b9,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/activate.csh,1012,5ce73e73798d1899bbe1a6b7671aa5616ca9ec4ad0fee46f3381891129fd608a,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/activate.fish,2283,8e21fe82af817e4a6d28ff23c35989e688280ed37d1f0a700b1d929b5b2313d1,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/f2py,254,f4a43c259a174cc74caea5aca608bfe1958c8af21f3bc3e8aed2ed9f5e0cc5d7,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/fonttools,255,f05f694ecd22e6473cac2fdb69bf1c024cf3d56c683e5f6baeeaae999f9c8153,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/numpy-config,254,61652d7256b47be9ff6bee7993e58740e458934249a3ccce166b3657544a15c8,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/pip,284,388a8a6d2ae418f2ff4aaf2339768950a62b9465bc4f26da9f3afee1cfdadc51,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/pip3,284,388a8a6d2ae418f2ff4aaf2339768950a62b9465bc4f26da9f3afee1cfdadc51,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/pip3.14,284,388a8a6d2ae418f2ff4aaf2339768950a62b9465bc4f26da9f3afee1cfdadc51,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/pyftmerge,252,3c8fafebf206cb98df98c63bac147fe633320b2cf07871bd4bbb8381fc23cd54,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/pyftsubset,253,3284d3c1dea76ab6a2c42f61629619772976c00baea747f2e9a4af745eba125d,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/python,52448,ad711bb4db443e71543eba34af7f127a54b80377898b568f988f3d876d55cec8,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/python3,52448,ad711bb4db443e71543eba34af7f127a54b80377898b568f988f3d876d55cec8,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/python3.14,52448,ad711bb4db443e71543eba34af7f127a54b80377898b568f988f3d876d55cec8,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/ttx,250,51c4f9e9575dbcd87fd3409b57c1bc7b9d00bdd1c7d495f2d8fa4b2363996a2a,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/wheel,277,d6795a902d9e09786e9b868476c8a64496d51e3e0e59bddf169d6b01cb730a4a,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/bin/𝜋thon,52448,ad711bb4db443e71543eba34af7f127a54b80377898b568f988f3d876d55cec8,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/lib/python3.14/site-packages/PIL/.dylibs/libXau.6.dylib,69760,002a604dc76919d6606c610be703a6547d78dd0f401639c9e95e5a79227190bf,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/lib/python3.14/site-packages/PIL/.dylibs/libavif.16.4.2.dylib,3031984,ee0124cb07fb6419ed743cf9658b25211f7cc87d9081ad3e9416100db02c3c09,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/lib/python3.14/site-packages/PIL/.dylibs/libbrotlicommon.1.2.0.dylib,183712,3f4843c17f3cccc986279a4c9ac8a11dc3077c412fd856d1bad8231bf027a25f,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/lib/python3.14/site-packages/PIL/.dylibs/libbrotlidec.1.2.0.dylib,104080,351fa4a2f4faed4147dfead81a8b0f5500ada31db64f74c8368bc1ab894f0dd1,environment,EXCLUDED_LOCAL_ENV,,False,,False
complementary_phase/.venv-kh-subsonic/lib/python3.14/site-packages/PIL/.dylibs/libfreetype.6.dylib,1120896,996f9be86f5cee9a44924dba75e3db7ad8a1e83ec1695505c60d314f269b6109,environment,EXCLUDED_LOCAL_ENV,,False,,False
