sha256,size_bytes,copy_count,source_paths
024c014afb23846e338057cb4f3c84393ae472ad4efdc4638e20a182e52cb9b0,129,2,complementary_phase/phase_F/N224_p1f_seed3456/joint/LOWM_EXT_NEUTRAL3/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed3456/joint/LOWM_EXT_NEUTRAL3/ci_anchor_metrics.csv
04f9b9480b8b518ff011103116b24cf0b7c4fcf1720427962b172e5d52465798,5199,2,complementary_phase/phase_F/N224_p1f_seed3456/gep/LMEDGE_NEUTRAL3/summary.csv;complementary_phase/phase_F/N340_p1f_seed3456/gep/LMEDGE_NEUTRAL3/summary.csv
07a40bb4f8c15eb8c71be23c62732b6a4154ce2c308250987a800974d9b5fabb,104966,2,complementary_phase/assets/SuppFig07_GEP_N_convergence.png;complementary_phase/assets/SuppFig07_GEP_N_convergence_before_title_fix.png
091b88df8526cfaa77c2f022525ef5cd0f684f7e1cb6d77e3ffb54359df6cd53,5102,2,complementary_phase/phase_C/p1c_independent_physics_audit/p1c_chart_metadata.csv;complementary_phase/phase_C/p1c_independent_physics_audit_normalized/p1c_chart_metadata.csv
0cb28b0dd27c0fffa1fdf926eb126a6e1f46e0eebb637136dba8feefb46e7921,131,2,complementary_phase/phase_F/N224_p1f_seed2345/joint/LMEDGE_HIGH/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed2345/joint/LMEDGE_HIGH/ci_anchor_metrics.csv
0cff4438a7beced5be66d84a9bae777f34d4e6009cb9c584f77ef3544d09a6c7,632,2,complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/01_M0.720284_eta0.978260/nearby_branches_N601.csv;complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/01_M0.720284_eta0.978260/spectrum_admissible_N601.csv
13aa7ef56ccbd7f693ab3398842a87eb1fae8b3a15dce8bc49bffe9512b413e3,5191,2,complementary_phase/phase_F/N224_p1f_seed1234/gep/LOWM_EXT_NEUTRAL3/summary.csv;complementary_phase/phase_F/N340_p1f_seed1234/gep/LOWM_EXT_NEUTRAL3/summary.csv
16d25ad7c5ca2fc00bcab0a90c638e51afccd01c481db09780cda26bc2a63e37,132,2,complementary_phase/phase_F/N224_p1f_seed1234/joint/HM1_NEUTRAL2/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed1234/joint/HM1_NEUTRAL2/ci_anchor_metrics.csv
17c3896d049eb1ae3261d559afb1869315e948f92d343dbc0a72a5894f735f8d,1007,2,complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/03_M0.913312_eta0.967955/nearby_branches_N601.csv;complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/03_M0.913312_eta0.967955/spectrum_admissible_N601.csv
1cbc575a5f9a7832db122b0b796b31cb10b6cb548a77f5a51358b1e46ef4f0b9,5279,2,complementary_phase/phase_F/N224_p1f_seed3456/gep/ULTRALOW_M002_006_eta002_006/summary.csv;complementary_phase/phase_F/N340_p1f_seed3456/gep/ULTRALOW_M002_006_eta002_006/summary.csv
1e80768b87532d0445cd9726e678c6fe2a575eb50149b38aa40547e6ef5c33ad,129,2,complementary_phase/phase_F/N224_p1f_seed2345/joint/ULTRALOW_M002_006_eta002_006/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed2345/joint/ULTRALOW_M002_006_eta002_006/ci_anchor_metrics.csv
203f6a9f62c5e816b048a07f499be34ff9a2c00495d25cb779df6718ebe8cc2f,813,2,complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/03_M0.913312_eta0.967955/nearby_branches_N501.csv;complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/03_M0.913312_eta0.967955/spectrum_admissible_N501.csv
20fc7d1244770c12ec9743bba44d6aaf1e820ff1b7ff33bcfcb306cd16101af9,129,2,complementary_phase/phase_F/N224_p1f_seed2345/joint/ETAEDGE_HM2B/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed2345/joint/ETAEDGE_HM2B/ci_anchor_metrics.csv
216968438ec114e882fb0a8981c46a171563ba33133653e5c08f8aa98a570726,5201,2,complementary_phase/phase_F/N224_p1f_seed1234/gep/LMEDGE_HIGH/summary.csv;complementary_phase/phase_F/N340_p1f_seed1234/gep/LMEDGE_HIGH/summary.csv
28f44043e48123277e6a622902bd7aaff6a61b7f9067ca36b49cc6a7c8cb3461,130,2,complementary_phase/phase_F/N224_p1f_seed3456/joint/LMEDGE_HIGH/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed3456/joint/LMEDGE_HIGH/ci_anchor_metrics.csv
28f824edd6a0940a9d285d7e2dabb2e62c72087df78f4bf7e8000b436db591f1,344,2,complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/04_M0.396510_eta0.978775/nearby_branches_N601.csv;complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/04_M0.396510_eta0.978775/spectrum_admissible_N601.csv
2a3b758af01d7d3935f2b9a5e76266deea0931c3b7bf9b06c0e19e492c54c461,531,2,complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/01_M0.720284_eta0.978260/nearby_branches_N401.csv;complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/01_M0.720284_eta0.978260/spectrum_admissible_N401.csv
320f9acd725633726b1d47001d3bd7c7721625a6d0e41c5620240a3ee1099292,130,2,complementary_phase/phase_F/N224_p1f_seed2345/joint/LMEDGE_NEUTRAL3/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed2345/joint/LMEDGE_NEUTRAL3/ci_anchor_metrics.csv
33a8a6f7ee825d80ebcf98c5b8563a1532473a18e8d1620305f461c6b155cb45,5209,2,complementary_phase/phase_F/N224_p1f_seed2345/gep/LMEDGE_NEUTRAL2/summary.csv;complementary_phase/phase_F/N340_p1f_seed2345/gep/LMEDGE_NEUTRAL2/summary.csv
39f011e40fb5c5751aad35296a51452c33ba74ba17db7a3b6fd4d54cfa286739,85917,2,complementary_phase/assets/p1d_real_routing_boundaries.csv;complementary_phase/phase_D/p1d_routing_continuity/p1d_real_routing_boundaries.csv
43a108cd306d32d8cf18389dd3ae05d7ef4435a03d6b44aed863a9cf5726fba8,129,2,complementary_phase/phase_F/N224_p1f_seed3456/joint/ETAEDGE_HM2B/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed3456/joint/ETAEDGE_HM2B/ci_anchor_metrics.csv
4b3d714c93725a6833f026d376c4a4ab745ef485c87e936c46bd0be795cb0faf,5227,2,complementary_phase/phase_F/N224_p1f_seed1234/gep/HM1_NEUTRAL2/summary.csv;complementary_phase/phase_F/N340_p1f_seed1234/gep/HM1_NEUTRAL2/summary.csv
5620ddce682484ed13d06af787a7b387e2431cc029cb4773e77a720533f299c6,129,2,complementary_phase/phase_F/N224_p1f_seed1234/joint/ETAEDGE_HM2B/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed1234/joint/ETAEDGE_HM2B/ci_anchor_metrics.csv
58bc0c5b43aecc2a0e10ab2b4a45177347012224973f908fb0b4333b0b9e74d4,129,2,complementary_phase/phase_F/N224_p1f_seed3456/joint/ULTRALOW_M002_006_eta002_006/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed3456/joint/ULTRALOW_M002_006_eta002_006/ci_anchor_metrics.csv
58e5b35062512f5941912e772f9823ceff72f4a735adfe1b59bb32c225647228,130,2,complementary_phase/phase_F/N224_p1f_seed1234/joint/LOWM_EXT_NEUTRAL3/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed1234/joint/LOWM_EXT_NEUTRAL3/ci_anchor_metrics.csv
5bb3efaefee8fde33470be6985870f97a5a6c999a909b10bd69bd80d03a25db7,434,2,complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/02_M0.898854_eta0.972291/nearby_branches_N501.csv;complementary_phase/phase_G/p1g_near_neutral_outliers/final_audit/02_M0.898854_eta0.972291/spectrum_admissible_N501.csv
5ed03f717424e0225fb60208c6383933d5c9b60dbb9369866784c49c684c3a02,132,2,complementary_phase/phase_F/N224_p1f_seed1234/joint/LMEDGE_NEUTRAL2/ci_anchor_metrics.csv;complementary_phase/phase_F/N340_p1f_seed1234/joint/LMEDGE_NEUTRAL2/ci_anchor_metrics.csv
5f80047547ca42dd539a4eba0fc107719818d4543dc8bf76d40ef44508d1b222,5209,2,complementary_phase/phase_F/N224_p1f_seed2345/gep/LMEDGE_NEUTRAL3/summary.csv;complementary_phase/phase_F/N340_p1f_seed2345/gep/LMEDGE_NEUTRAL3/summary.csv
5fb3607cb7cd17e6a66090b4488f19906ffb93c83387de907b47766bc6173b9f,21785,2,complementary_phase/phase_B/p1b_stage0_monotonicity_controlled/monotone/seed_2345/ci_stage0_curve.csv;complementary_phase/phase_B/p1b_stage0_monotonicity_controlled/no_monotone/seed_2345/ci_stage0_curve.csv
