kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success,point_index,alpha_step_used,source_file
alpha_trace,1.0,0.13,True,2.3040000000000003e-10,0.0215428757231599,True,0.0,0.0,,2.3040000000000003e-10,0.0215428757231599,0.0028005738440107,2.949725256586928e-08,8.392464846940869e-19,-5.000000049407007,312.76425979898374,0.0215428757231599,True,0,0.0,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.14,True,2.3040000000000003e-10,0.0215428757231599,True,1.0,0.0095068802942156,,0.0,0.0262963158702677,0.0036814842218374,9.418131312471219e-08,7.58432034932154e-19,-4.999999962255195,262.55528026017674,0.0262963158702677,True,1,0.01,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.152,True,-2.7648000000000006e-10,0.0320004440467971,True,1.0,0.0028601788399734,,1.535999971688448e-10,0.0334305334667838,0.0050814410869511,1.3527601020268073e-08,6.690384555806373e-19,-5.000000021218386,214.0949901693817,0.0334305334667838,True,2,0.012,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.1664,True,3.3791999377145826e-10,0.0419915945826031,True,1.0,0.0066600031013777,,7.680000173015037e-11,0.0453215961332919,0.0075415135965797,9.783463957727449e-09,5.714989632806783e-19,-5.000000009389839,167.46537328231562,0.0453215961332919,True,3,0.0143999999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.18368,True,-1.5359992796282917e-11,0.0595908713331017,True,1.0,0.0263846639513112,,0.0,0.0727832033087573,0.0133688187837525,7.876027739095815e-08,4.525233573614712e-19,-4.999999964508741,118.89763171608864,0.0727832033087573,True,4,0.0172799999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.20368,True,-8.888889089137772e-11,0.1045674708729533,True,4.0,0.0625868703017355,,0.0576121727146486,0.0923409231281727,0.0188079992227462,9.888631206429915e-08,1.2239393537392905e-18,-9.193405355374862,123.3004808123371,0.0923699605916373,True,5,0.0199999999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.22368,True,0.1152243454292972,0.1118986429475882,True,2.0,0.0703313281109284,,0.0861217881428972,0.0798848300177024,0.0178686387783596,2.65414513356099e-07,2.255064503764348e-18,-13.014085437777736,141.42263092545477,0.0799675342765013,True,6,0.0199999999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.2436799999999999,True,0.1146314035711458,0.0674287369072321,True,1.0,0.0084785359333165,,0.1061686971391458,0.0676876632569558,0.016494129782455,6.342037662680783e-08,4.023173841599062e-18,-17.49728387503151,161.83275404332147,0.0677724893942148,True,7,0.0199999999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.2636799999999999,True,0.1262156061353944,0.0554904964962093,True,1.0,0.0041613728231306,,0.1220800915625944,0.0557220904249126,0.0146928008032409,4.238468106856977e-08,7.516356268330255e-18,-23.44983341816777,189.25119188047503,0.0557852011932614,True,8,0.0199999999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.28368,True,0.1379914859860431,0.0437565175928694,True,1.0,0.0026356151083964,,0.1353892989268431,0.0439657360842486,0.0124722000123796,1.4855918079356265e-08,1.5544523916231606e-17,-32.1858207017464,230.36665012117757,0.0441214149998348,True,9,0.02,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.30368,True,0.1486985062910917,0.0322093817435845,True,1.0,0.0018751296081339,,0.1468620846590917,0.0323988986536632,0.0098388975431444,8.876243763081988e-08,3.831295615167626e-17,-46.72503618752705,300.1239524449686,0.0324619924909456,True,10,0.02,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.32368,True,0.1583348703913403,0.0208320612230777,True,1.0,0.0014264753250079,,0.1569499286185403,0.0210029179897057,0.0067982244949079,3.54098468691859e-08,1.3127793041008507e-16,-76.443394110147,444.7047197936962,0.0210714907735417,True,11,0.02,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.34368,True,0.1670377725779889,0.0096069373257482,True,1.0,0.0011327153392886,,0.1659480573779889,0.0097615051286282,0.0033548340826069,7.330668424529804e-08,9.38500822627234e-16,-173.3189381847048,919.9644476398324,0.0100601399285728,True,12,0.02,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.35368,True,0.1704471217577132,0.0041407986980895,True,1.0,0.0003575657294141,,0.1701056689577131,0.0041938628955856,0.0014832854289107,7.368163345592635e-08,5.37706597247883e-15,-413.3154543669545,2100.531948964046,0.0045346235542575,True,13,0.01,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.35868,True,0.1721844747475753,0.0014100417790642,True,1.0,8.020852635111603e-05,,0.1721084611795753,0.0014228416343303,0.0005103448374016,6.503363511209103e-08,1.0440145812016704e-14,-605.3932885248668,3000.0,0.0039897497666338,True,14,0.005,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.36118,True,0.1731098572905063,3.733100370270832e-05,True,1.0,0.0001054715688531,,0.1730344089705063,7.418138648741771e-05,2.6792833171525533e-05,4.788329238159636e-06,2.3237566429410445e-14,-613.8505282140197,3000.0,0.0046539543418106,True,15,0.0025,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.0,0.36168,True,0.1732195985286926,1e-08,True,2.0,0.0002312206206102,,0.1730045585286926,4.249756816816001e-05,1.5370520455060115e-05,6.861976319073655e-06,1.1532707482473309e-14,-614.7115060228487,3000.0,0.004623707964485,True,16,0.0005,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.02,0.13,True,0.0,0.0470906756282318,True,0.0,0.0,,0.0,0.0470906756282318,0.0061217878316701,3.3100922112808154e-08,7.0134704532686115e-19,-4.999999985760571,252.0950267553091,0.0470906756282318,True,0,0.0,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.02,0.14,True,0.0,0.0470906756282318,True,1.0,0.0180520810592334,,0.0,0.0561167161578486,0.0078563402620988,6.40973471744799e-08,6.258217617900146e-19,-5.000000024584447,207.39628333719375,0.0561167161578486,True,1,0.01,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.02,0.152,True,0.0,0.0669479647933887,True,1.0,0.0098298070673963,,0.0,0.0718628683270869,0.0109231559857172,3.810224261513131e-08,5.394416737868826e-19,-5.00000001105826,162.13123626592133,0.0718628683270869,True,2,0.012,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.02,0.1664,True,0.0,0.0907582509301728,True,2.0,0.0557698516387264,,0.0270044659199999,0.1151561769290211,0.0191619878409891,8.189427442680069e-08,6.613248583308888e-19,-6.324694376325367,121.4359208697008,0.1151948978473644,True,3,0.0143999999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.02,0.18368,True,0.0594098250239999,0.1671081472513422,True,2.0,0.1264987011503025,,0.0686731568639999,0.1040286100068134,0.0191079750860515,1.838581052559668e-07,1.3492024532415102e-18,-9.279234406916895,136.6420346044655,0.1040356786029501,True,4,0.0172799999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
alpha_trace,1.02,0.20368,True,0.1169008084195555,0.0911494816246286,True,2.0,0.0217724576980588,,0.0951343444195555,0.0914049024296085,0.0186173505268626,4.5663679578955197e-08,2.2375555956967358e-18,-12.351411427190133,149.16005049456408,0.0915172670721279,True,5,0.0199999999999999,assets/pinn_supersonic/runs/supersonic_neutral_boundary_lowM_M100_120/alpha_traces.csv
