budget,n_recovered,n_failed,recovery_fraction,median_corrected_error_recovered,p95_corrected_error_recovered,max_corrected_error_recovered
24,59,4,0.9365079365079365,4.598634799156725e-06,3.2117065499615135e-05,9.7545495794139e-05
36,61,2,0.9682539682539683,4.485001401074378e-06,1.7401745577636998e-05,2.4495613278107478e-05
48,62,1,0.9841269841269841,4.215925531594286e-06,1.5466279932142025e-05,3.31594727372014e-05
60,62,1,0.9841269841269841,4.280298049206567e-06,8.116623801043796e-06,1.0264258859567232e-05
76,63,0,1.0,3.5020064126073943e-06,7.256830752928744e-06,1.0327437658333326e-05
