alpha,Mach,y,p_real,p_imag,line_id,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,source_fields_csv,source_label,source_group,reference_cr,reference_ci,reference_omega_i,trusted_spectral,trusted_modal,best_status,source_csv
0.175,1.4,-468.3033218301306,0.0011523935134922,0.0005499045029665,M1p40_branch_guided_0p175000,0.0022586912864448,0.0010778128258144,0.0008912632196989,0.000389278539156,-0.001345381386815,-0.0006653242521649,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-429.835517844469,-0.0018271255911937,0.0010152118688678,M1p40_branch_guided_0p175000,-0.0035811661587398,0.001989815262981,-0.0013650598955272,0.0008193492849827,0.0021642253692031,-0.0011630866060444,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-397.1932199696544,0.0031557040284571,0.0003547868647673,M1p40_branch_guided_0p175000,0.0061851798957759,0.000695382254944,0.0024113228147073,0.0001897434002643,-0.0037031604409064,-0.0004690285557332,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-369.1462574314612,0.0017710188639499,-0.0041897393667554,M1p40_branch_guided_0p175000,0.0034711969733419,-0.0082118891588407,0.0012415299262071,-0.0032345408186398,-0.0021506265331971,0.0048951462388232,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-344.7880485398076,0.0006957150769426,-0.0061756388249495,M1p40_branch_guided_0p175000,0.0013636015508076,-0.0121042520969011,0.000372393327223,-0.0047189380171326,-0.000919529822182,0.0072469750181205,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-323.43576806020263,0.0048484941363511,-0.0065759813203058,M1p40_branch_guided_0p175000,0.0095030485072483,-0.0128889233877993,0.0035235185033852,-0.0051294234059807,-0.0058070392931134,0.0076490357555579,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-304.5653266042603,0.0100625232157602,0.0026464869860529,M1p40_branch_guided_0p175000,0.0197225455028901,0.0051871144926638,0.0077275056815825,0.0017584710908283,-0.0117832011071325,-0.0032764326356606,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-287.7677776398731,-0.0054752162534436,0.011683920042229,M1p40_branch_guided_0p175000,-0.0107314238567494,0.0229004832827688,-0.0038705726872646,0.0090338146117078,0.0066278737393838,-0.013642242706942,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-272.71934264403154,-0.0072210835061891,-0.0138810522963436,M1p40_branch_guided_0p175000,-0.0141533236721307,-0.0272068625008335,-0.0058504645309475,-0.0103831610216085,0.0082583076141815,0.0164339616691957,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-259.16033677664547,0.0156221006609704,0.0101236973078129,M1p40_branch_guided_0p175000,0.0306193172955019,0.0198424467233133,0.0121501111829869,0.0073089848493476,-0.0181942760301042,-0.0121563353854391,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-246.88005713576263,-0.020034962042253,-0.0085612308881343,M1p40_branch_guided_0p175000,-0.039268525602816,-0.0167800125407433,-0.0154696390498147,-0.0060072073540755,0.0234066319368737,0.0103926778322242,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-235.7057540581188,0.021678977202031,0.0127316835808805,M1p40_branch_guided_0p175000,0.0424907953159809,0.0249540998185257,0.0168273244545448,0.0091401246729814,-0.0252701337322029,-0.0153214669039279,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-225.4944538608204,-0.0174057752760161,-0.0227630256340888,M1p40_branch_guided_0p175000,-0.0341153195409916,-0.0446155302428141,-0.0138297172238114,-0.0168853072193694,0.0200822796289521,0.0270411964766572,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
0.175,1.4,-216.1268084514581,0.001235769928416,0.0322855783718296,M1p40_branch_guided_0p175000,0.0024221090596954,0.0632797336087861,0.0017626746832378,0.0245460462639072,-0.0009200810965706,-0.037966759320608,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,supersonic_reference_core_local_modal_fields_M140_branch_guided,shooting,0.3121554515116973,0.0438821492820227,0.0076793761243539,True,True,validated,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv
