configuration,Mach,alpha,use_mapping,mapping_scale,min_y_limit,max_y_limit,y_limit_factor,cr_reference,ci_reference,status,exception,stage1_mismatch_at_reference,cr_solved,ci_solved,omega_i_solved,stage1_mismatch_solved,abs_cr_error,abs_ci_error,abs_omega_i_error,elapsed_seconds
unmapped_y80,1.5,0.1625,False,5.0,10.0,80.0,4.0,0.3680825090907056,0.0380056534011514,completed,,1.5637739022447838e-06,0.36808800427906274,0.03800674064024567,0.006176095354039922,5.103536689850155e-10,5.495188357129699e-06,1.087239094275938e-06,1.7667635281940625e-07,21.226955124991946
unmapped_y500,1.5,0.1625,False,5.0,10.0,500.0,4.0,0.3680825090907056,0.0380056534011514,completed,,1.5637755230569702e-06,0.36808800427906274,0.03800674064024567,0.006176095354039922,5.123957296385993e-10,5.495188357129699e-06,1.087239094275938e-06,1.7667635281940625e-07,23.473803875036538
mapped_scale5_y500,1.5,0.1625,True,5.0,10.0,500.0,4.0,0.3680825090907056,0.0380056534011514,completed,,1.5637769654622553e-06,0.36808800427906274,0.03800674064024567,0.006176095354039922,5.07824816683267e-10,5.495188357129699e-06,1.087239094275938e-06,1.7667635281940625e-07,35.99172691698186
