Mach,alpha,spectral_cr,spectral_ci,spectral_omega_i,source_kind,n_rows,finite_p_real,finite_p_imag,finite_rho_real,finite_rho_imag,finite_u_real,finite_u_imag,finite_v_real,finite_v_imag
1.3,0.225,0.2807064105959674,0.0353543235424167,0.0079547227970437,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.33,0.18,0.2771044303979708,0.0508498118838383,0.0091529661390908,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.1,0.283841246397037,0.0425165800223759,0.0042516580022375,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.4,0.125,0.303271264704649,0.0535875093459158,0.0066984386682394,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.1375,0.3111424049240388,0.0511307865076858,0.0070304831448067,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.15,0.3182275185165742,0.0486740636694557,0.0073011095504183,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.1625,0.3246580112197962,0.0462173408312256,0.0075103178850741,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.16875,0.32767268188658,0.0450433791097876,0.0076010702247766,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.175,0.3334272163349703,0.0426165444542578,0.0074578952794951,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.18125,0.3153193678544234,0.0427209194542578,0.0077431666510842,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.1875,0.3183709082056269,0.0411403935788011,0.0077138237960252,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.19375,0.3222828767123289,0.024414084798728,0.0047302289297535,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.4,0.2,0.3240857069010081,0.0232528549709631,0.0046505709941926,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.5,0.1,0.3293676490936765,0.0460323254563964,0.0046032325456396,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.5,0.125,0.3492641497157056,0.0487962958623987,0.0060995369827998,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.5,0.1375,0.3561293840907055,0.0454370701278998,0.0062475971425862,canonical_raw_confirmed_base44,9187,9187,9187,9187,9187,9187,9187,9187,9187
1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.5,0.15625,0.3652797747157056,0.0399391725184009,0.0062404957060001,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.5,0.158333,0.2399414062499999,0.0374707031249999,0.0059328488378906,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.5,0.1625,0.3680825090907056,0.0380056534011514,0.0061759186776871,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.5,0.165625,0.3680825090907056,0.0380056534011514,0.0062946863445657,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0028617050435314,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.6,0.125,0.3875635867175142,0.0251098747521818,0.0031387343440227,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.7,0.1,0.4086724851271471,0.0255832924228237,0.0025583292422823,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.7,0.125,0.4192415320846353,0.0221873441527381,0.0027734180190922,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.7,0.15,0.4298105790421235,0.0187913958826526,0.0028187093823978,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.7,0.175,0.4403796259996116,0.015395447612567,0.0026942033321992,canonical_raw_confirmed_base44,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.8,0.238,0.7614998143096021,0.0042511602538905,0.0010117761404259,extension_exact_shooting_fields,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.8,0.248,0.761553061871243,0.0028024304426322,0.0006950027497727,extension_exact_shooting_fields,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.8,0.258,0.7615845727352136,0.0013537006313739,0.0003492547628944,extension_exact_shooting_fields,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.9,0.232,0.7615429719713899,0.0030924192097912,0.0007174412566715,extension_exact_shooting_fields,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.9,0.242,0.761578685417334,0.0016982772846746,0.0004109831028912,extension_exact_shooting_fields,4595,4595,4595,4595,4595,4595,4595,4595,4595
1.9,0.252,0.7615936577965997,0.0003041353595579,7.664211060860547e-05,extension_exact_shooting_fields,4595,4595,4595,4595,4595,4595,4595,4595,4595
