Mach,alpha,spectral_cr,spectral_ci,spectral_omega_i,source_kind,n_rows,finite_p_real,finite_p_imag,finite_rho_real,finite_rho_imag,finite_u_real,finite_u_imag,finite_v_real,finite_v_imag
1.1,0.175,0.1508143457011082,0.092213234034898,0.0161373159561071,canonical_raw_confirmed_base44,4593,4593,4593,4593,4593,4593,4593,4593,4593
1.1,0.2,0.1656761547463344,0.0791796566675815,0.0158359313335163,canonical_raw_confirmed_base44,4593,4593,4593,4593,4593,4593,4593,4593,4593
1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,canonical_raw_confirmed_base44,4593,4593,4593,4593,4593,4593,4593,4593,4593
1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,canonical_raw_confirmed_base44,9184,9184,9184,9184,9184,9184,9184,9184,9184
1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,canonical_raw_confirmed_base44,4593,4593,4593,4593,4593,4593,4593,4593,4593
1.2,0.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,canonical_raw_confirmed_base44,4593,4593,4593,4593,4593,4593,4593,4593,4593
1.2,0.208333,0.2439966767431603,0.0592701955657576,0.0123479376528009,canonical_raw_confirmed_base44,4593,4593,4593,4593,4593,4593,4593,4593,4593
1.2,0.216667,0.2479483075702228,0.055042805686539,0.0119259595796853,canonical_raw_confirmed_base44,4593,4593,4593,4593,4593,4593,4593,4593,4593
1.25,0.25,0.2550098377696084,0.0304106202499422,0.0076026550624855,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.3,0.1,0.2292287978156679,0.0908323489283033,0.0090832348928303,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.3,0.125,0.2507322022046491,0.0805622512041191,0.0100702814005148,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.3,0.15,0.2679464671366972,0.0699190855162764,0.0104878628274414,canonical_raw_confirmed_base44,9187,9187,9187,9187,9187,9187,9187,9187,9187
1.3,0.1625,0.2753741570531295,0.0644937399606446,0.0104802327436047,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.3,0.175,0.2821847483866972,0.0590180438496097,0.0103281576736816,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.3,0.183333,0.286403134768127,0.0553553184156296,0.0101484565910926,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.3,0.191667,0.290397275393127,0.0516736777906296,0.0099041388010966,canonical_raw_confirmed_base44,4594,4594,4594,4594,4594,4594,4594,4594,4594
1.3,0.2,0.2727688216788323,0.0467110594036997,0.0093422118807399,canonical_raw_confirmed_base44,4585,4585,4585,4585,4585,4585,4585,4585,4585
