Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,validation_status,source,stage1_mismatch,stage2_mismatch_exact,max_edge_frac,max_center_jump,max_adjacent_jump,max_ylimit_rel_l2,campaign_target_status
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-561.0421205637257,2.8033623413182e-05,-8.283449579987803e-06,4.380253658309687e-05,-1.294288996873094e-05,2.1779739023071623e-05,-7.483167476894399e-06,-2.7481955912864103e-05,7.27221414598829e-06,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-506.72106952712477,3.512965983109566e-05,-6.849080250584981e-05,5.489009348608696e-05,-0.00010701687891539032,2.5295509111224188e-05,-5.511449001384177e-05,-3.605544379354186e-05,6.560222865928333e-05,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-461.9707910404107,0.00015387130590704715,7.437636757021639e-05,0.0002404239154797612,0.00011621307432846307,0.00012366386785198473,5.325093069091855e-05,-0.00014750834291796906,-7.658306797800117e-05,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-424.46666134017937,-0.0002674672363672694,-0.00019916957763205681,-0.0004179175568238584,-0.0003112024650500888,-0.0002173609881206261,-0.00014756772689082783,0.0002544620586186878,0.00020105549967648528,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-392.58050100584757,-0.0003527227987405602,0.00047133011229097475,-0.0005511293730321253,0.0007364533004546481,-0.00026141822892567293,0.00038309303576010623,0.00035599743193006543,-0.00044836381398563553,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-365.13793480780527,-0.00016074523605816095,0.0009465592370390822,-0.0002511644313408765,0.001478998807873566,-9.398484377396811e-05,0.000750533659182527,0.00018260092022561098,-0.0009156756906895471,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-341.27058606812307,-0.0007981771818813111,0.0012334523042831019,-0.0012471518466895487,0.0019272692254423468,-0.0005858283074234094,0.000998247110386574,0.000810231222223071,-0.0011768256736205986,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-320.32250703578103,-0.0021165836872841337,-0.00027349659443274936,-0.003307162011381459,-0.000427338428801171,-0.0016753006666190855,-0.0001425146790341348,0.0020499171632174396,0.0003247656163320402,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-301.7889650546227,0.000812727338711347,-0.002856211394119644,0.00126988646673648,-0.004462830303311943,0.0005415064980824613,-0.002275973063944827,-0.0008695333001810937,0.0027539025713090525,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-285.27524264507855,0.0024042813422704696,0.0031791299489175666,0.0037566895972976095,0.004967390545183697,0.0020016048793391797,0.0024195649902053755,-0.002248730123620996,-0.003157333663210364,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-270.46821184136587,-0.004741181032490114,-0.002110603826579393,-0.007408095363265803,-0.0032978184790303016,-0.003804184807970595,-0.0014982409248469497,0.004550161761485856,0.002183651830322872,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-257.1162889900639,0.006340941057507931,0.001773076954240263,0.009907720402356142,0.0027704327410004105,0.0050517080790394775,0.0011776001309465167,-0.006114678846798832,-0.0019000603161696793,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-245.0150224956723,-0.0074102104134334615,-0.003438507261644646,-0.011578453770989783,-0.005372667596319758,-0.00595053889309957,-0.0024516607470455106,0.007107768723632892,0.0035487782072038516,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-233.99654938842485,0.006464764871133594,0.007552975998520674,0.010101195111146238,0.011801524997688552,0.00534781978580441,0.0057225325838188065,-0.0060742056546397045,-0.007522137685626438,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-223.9217609647687,-0.0005605354761069986,-0.01188427455794401,-0.0008758366814171854,-0.018569178996787523,-0.0008496403928917116,-0.009334496900557397,0.00021418196591266038,0.011568284847154027,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-214.67439875585885,-0.010232626227846825,0.009597715875272734,-0.015988478481010662,0.014996431055113647,-0.007723927615534128,0.007905772098854168,0.01021420513206716,-0.009045173959761225,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-206.1565478237736,0.015644017251171122,0.004681622447113254,0.02444377695495488,0.0073150350736144575,0.012473851209906434,0.003147086278000967,-0.015077247391223137,-0.0049863378238810055,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
1.25,0.2,0.268116,0.05537600000000001,0.011075200000000002,-43.70354152072308,1200.0,-198.28515619825248,-0.001439075878331028,-0.018733841022049356,-0.0022485560598922306,-0.029271626596952118,-0.0017765314822378057,-0.014695393650651012,0.0008776011528998788,0.018251186527934903,strict_auto_validated_requires_visual_confirmation,M18_M19_strict_scan,1.4977398671999673e-06,6.018520689451255e-17,0.00012627871927336405,0.0036669896472322993,0.08525774600764473,9.230886067791643e-17,strict_auto_validated
