Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.02,0.6875,0.6873624862472493,0.2182227890154466,0.02,0.6875,modal_pretraining,32,340
0.02,0.7625,0.7623474847469492,0.1617685205441615,0.02,0.7625,modal_pretraining,36,340
0.02,0.8,0.7998399839967992,0.1346322538047001,0.02,0.8,modal_pretraining,37,340
0.03,0.725,0.7246736765606986,0.1895589268448997,0.03,0.725,modal_pretraining,84,340
0.05,0.65,0.6491869915517409,0.2473763413014657,0.05,0.65,modal_pretraining,191,340
0.06,0.65,0.6488289451003246,0.2472354764431632,0.06,0.65,modal_pretraining,243,340
0.06,0.75,0.7486487828080668,0.1707106115884253,0.06,0.75,joint_training,247,340
0.06,0.8,0.798558701661938,0.134477338409054,0.06,0.8,modal_pretraining,249,340
