kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success
mach_seed,1.2,0.13,True,0.1932300126720001,0.0993653801703457,True,1.0,1.1721617198728884e-05,,0.1932300126720001,0.09935951936174633,0.012916737517027025,7.036202257380576e-08,4.191096792006434e-18,-13.462485698361144,278.78693325926395,0.09944595347476638,True
mach_continuation,1.2166666666666666,0.13,False,0.1932300126720001,0.09935951936174633,True,1.0,0.013379047873777413,,0.2043876286156801,0.0956680925216828,0.012436852027818765,4.287861475641568e-09,4.607433557452534e-18,-13.975020089718685,291.2932648007199,0.09570284480076188,True
mach_continuation,1.2333333333333334,0.13,False,0.2043876286156801,0.0956680925216828,True,1.0,0.01291820672572833,,0.21509133247488008,0.09205178263786476,0.01196673174292242,5.481340058512676e-08,5.033082265030573e-18,-14.473807471031312,304.01867269894245,0.09206283855334858,True
mach_continuation,1.25,0.13,True,0.21509133247488008,0.09205178263786476,True,1.0,0.012505289690156476,,0.22540629144576008,0.08851681829349733,0.011507186378154654,1.2796810724499334e-08,5.488797458971392e-18,-14.963511772153256,317.02188519738024,0.088519004064008,True
mach_continuation,1.2666666666666666,0.13,False,0.22540629144576008,0.08851681829349733,True,1.0,0.012126629119571582,,0.23538306487296007,0.08507011241012269,0.01105911461331595,7.536050554279324e-08,5.965012187423616e-18,-15.44783808943509,330.34641941768865,0.08507018704167023,True
mach_continuation,1.2833333333333334,0.13,False,0.23538306487296007,0.08507011241012269,True,1.0,0.011773278439098233,,0.24506077713408003,0.0817178008719634,0.010623314113355242,3.217250318287201e-08,6.4672376582113685e-18,-15.929778288929096,344.02629425307725,0.08171792444712757,True
mach_continuation,1.3,0.13,True,0.24506077713408003,0.0817178008719634,True,1.0,0.0114427126366324,,0.25447042864128,0.07846226209176141,0.010200094071928983,3.368640572645572e-08,6.985083018700933e-18,-16.41219724924966,358.10081383535453,0.07846245701717659,True
mach_continuation,1.3166666666666667,0.13,False,0.25447042864128,0.07846226209176141,True,1.0,0.011126899154998768,,0.26363682321408,0.07530849072476066,0.009790103794218886,3.5183103110780284e-08,7.554125217744102e-18,-16.897140866797546,372.5895428028619,0.07530849167887589,True
mach_continuation,1.3333333333333335,0.13,False,0.26363682321408,0.07530849072476066,True,1.0,0.01082576085887575,,0.27257926222848,0.07225767597098984,0.009393497876228679,4.068326486690017e-08,8.14172660553853e-18,-17.38667043602113,387.52081594754185,0.07225841054379592,True
mach_continuation,1.35,0.13,True,0.27257926222848,0.07225767597098984,True,1.0,0.010534940718161509,,0.28131360297984,0.06931249908435341,0.009010624880965944,3.978556844199048e-08,8.785639163544835e-18,-17.882287938829442,402.9081932397229,0.06931736373141367,True
mach_continuation,1.375,0.13,False,0.28131360297984,0.06931249908435341,True,2.0,0.015278774742676396,,0.29405261509631997,0.06509472336919198,0.008462314037994956,7.337907889059386e-08,9.807913508636012e-18,-18.640192408840743,426.8755706603958,0.06515236469234825,True
mach_continuation,1.4,0.13,True,0.29405261509631997,0.06509472336919198,True,2.0,0.01467754140023167,,0.3063854055936,0.06111563741555533,0.007945032864022194,8.807503986093451e-08,1.094598070639841e-17,-19.41916017702742,451.94859792647185,0.061195302078423705,True
mach_continuation,1.4166666666666665,0.13,False,0.3063854055936,0.06111563741555533,True,1.0,0.00946512195680305,,0.3143945636352001,0.05859363815297474,0.007617172959886716,6.953067934856017e-08,1.1782029999498095e-17,-19.952001675261453,469.2980968640172,0.0587387441807469,True
mach_continuation,1.4333333333333333,0.13,False,0.3143945636352001,0.05859363815297474,True,1.0,0.009215961404756806,,0.3222405286809601,0.05617626472740107,0.00730291441456214,2.4736785354793302e-08,1.2638156548137634e-17,-20.496225737610423,487.1490674620097,0.056299283050624864,True
mach_continuation,1.45,0.13,True,0.3222405286809601,0.05617626472740107,True,1.0,0.008975868699511948,,0.3299286627225601,0.05386008177536181,0.007001810630797035,8.422584309626895e-09,1.3559726725879483e-17,-21.05293427835454,505.51821263853526,0.05391583369692205,True
mach_continuation,1.4666666666666666,0.13,False,0.3299286627225601,0.05386008177536181,True,1.0,0.008742903191086775,,0.3374631820185602,0.05164257330937358,0.006713534530218565,7.161361176910124e-08,1.4568029942184155e-17,-21.62279998957514,524.4120779705722,0.05165402533919137,True
