alpha,Mach,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.15,1.3,-80.0,0.2578591095170166,0.0,0.2578591095170166,0.43578189508375814,0.0,0.43578189508375814
0.15,1.3,-78.78973267448637,0.25582670445154687,-0.06212325486893288,0.26326146984708854,0.43234713052311424,-0.10498830072849658,0.4449118840415797
0.15,1.3,-77.61496545990641,0.23955339407178655,-0.12152133759704536,0.2686135962729506,0.40484523598131933,-0.2053710605390067,0.4539569777012866
0.15,1.3,-76.47415858691252,0.21055559908951815,-0.1752022601864365,0.273915118754664,0.3558389624612857,-0.2960918197150777,0.4629165506953822
0.15,1.3,-75.36586006393593,0.17086069705257606,-0.22077169402981686,0.2791657548520005,0.28875457801885357,-0.37310416291039056,0.47179012569988094
0.15,1.3,-74.28869951012976,0.1228218318049058,-0.2564730449789154,0.2843653023290101,0.20756889575029083,-0.433439446014367,0.48057736093602704
0.15,1.3,-73.24138250105172,0.06894965611465088,-0.2811833709802164,0.28951363213867254,0.11652491883376001,-0.4751998969565658,0.4892780383143566
0.15,1.3,-72.2226853780217,0.011767444773226082,-0.29437557883742344,0.2946106823799148,0.019886981666752082,-0.49749472823524565,0.49789205322205604
0.15,1.3,-71.23145047739936,-0.046307231457099064,-0.2960568014184346,0.29965645221042003,-0.07825922116249742,-0.5003359943971545,0.5064194042356098
0.15,1.3,-70.26658174067263,-0.10305362103300592,-0.28669178716002836,0.30465099644187177,-0.17416061954578002,-0.48450912030044796,0.5148601839867635
0.15,1.3,-69.32704067035749,-0.15651286950592372,-0.26711875091313225,0.3095944208321111,-0.2645067494650111,-0.45143068904319356,0.5232145712062678
0.15,1.3,-68.41184260034508,-0.2050294410625001,-0.23846367446465028,0.3144868768988365,-0.3464997553956252,-0.403003609845259,0.5314828219590337
0.15,1.3,-67.52005325253052,-0.247272021567636,-0.20205760468078016,0.31932855847775327,-0.4178897164493049,-0.3414773519105185,0.539665263827403
0.15,1.3,-66.65078555441447,-0.28223730945693887,-0.15936021777543807,0.3241196968080264,-0.47698105298222676,-0.2693187680404904,0.5477622876055647
0.15,1.3,-65.80319669488792,-0.30924020226213617,-0.11189175076604732,0.3288605579643417,-0.5226159418230102,-0.18909705879462,0.5557743429597376
0.15,1.3,-64.97648539765817,-0.3278936419443519,-0.06117451832904686,0.3335514384923587,-0.5541402548859548,-0.1033849359760892,0.5637019310520862
0.15,1.3,-64.16988939377737,-0.33808114141575873,-0.008684424611309343,0.33819266315491203,-0.5713571289926324,-0.01467667759311279,0.5715456007318014
0.15,1.3,-63.38268307651139,-0.3399245846520735,0.04418762419092719,0.3427845815997611,-0.5744725480620042,0.07467708488266696,0.5793059429035964
0.15,1.3,-62.61417532338843,-0.33374951565895844,0.09616495563703145,0.34732756570025014,-0.5640366814636398,0.16251877502658316,0.5869835860334228
0.15,1.3,-61.86370747168229,-0.32004970360505186,0.14610582608039935,0.35182200782827305,-0.5408839990925377,0.24691884607587491,0.5945791932297816
0.15,1.3,-61.13065143487021,-0.2994523985025718,0.19301651470169867,0.3562683173066813,-0.5060745534693465,0.32619790984587077,0.6020934562482915
0.15,1.3,-60.41440794873926,-0.27268532222569125,0.23605792142426213,0.360666920058483,-0.4608381945614183,0.398937887207003,0.6095270948988364
0.15,1.3,-59.71440493685176,-0.2405461654948471,0.27454666068756634,0.3650182551996106,-0.4065230196862916,0.46398385656198715,0.616880851287342
0.15,1.3,-59.03009598599822,-0.2038750617061163,0.3079517341238287,0.3693227739194349,-0.3445488542833366,0.5204384306692705,0.624155487923845
0.15,1.3,-58.36095892309741,-0.16353031463113224,0.33588771014534,0.37358093852609375,-0.2763662317266135,0.5676502301456247,0.6313517861090985
0.15,1.3,-57.706494485757446,-0.12036750743139385,0.35810526356705913,0.3777932194199355,-0.20342108755905564,0.60519789542833,0.638470540819691
0.15,1.3,-57.06622507938121,-0.07522191154948381,0.37447987723130927,0.3819600953350164,-0.12712503051862764,0.6328709925209127,0.6455125611161777
0.15,1.3,-56.43969361431522,-0.02889411173619677,0.38499932561767186,0.3860820514075809,-0.048831048834172545,0.6506488602938655,0.6524786668788117
0.15,1.3,-55.826462417092934,0.017861375248370365,0.3897505190443054,0.3901595773796519,0.03018572416974592,0.6586783771848762,0.6593696857716118
0.15,1.3,-55.226112210318945,0.06434476692522034,0.3889061644448514,0.3941931680963874,0.1087426561036224,0.6572514179117989,0.6661864540828947
0.15,1.3,-54.638241156202426,0.10991718871434066,0.38271160034042234,0.39818332136089174,0.18576004892723572,0.6467826045753138,0.6729298130999071
0.15,1.3,-54.062463959149355,0.1540046876084137,0.37147210508909617,0.40213053684679256,0.2602679220582192,0.6277878576005725,0.6796006072710794
0.15,1.3,-53.498411023207254,0.19610038338643362,0.35554088092944375,0.4060353166614834,0.33140964792307287,0.60086408877076,0.6861996851579071
0.15,1.3,-52.945727660486455,0.2357649930092575,0.33530787724390554,0.4098981635363462,0.3984428381856452,0.5666703125422005,0.6927278963764253
0.15,1.3,-52.40407334699694,0.27262603228249344,0.3111895519582424,0.41371957981955215,0.46073799455741393,0.5259103428094297,0.6991860898950433
0.15,1.3,-51.87312102262151,0.3063759463789012,0.2836196154943871,0.4175000680392176,0.5177753493803431,0.4793171501855142,0.7055751149862778
0.15,1.3,-51.35255643219798,0.33676936140879743,0.2530407957443822,0.4212401299670289,0.5691402207808677,0.42763894480800596,0.7118958196442788
0.15,1.3,-50.84207750492474,0.36361967250213456,0.21989761875632347,0.4249402651729546,0.6145172465286075,0.3716269756981867,0.7181490481422934
0.15,1.3,-50.34139376951104,0.3867951632204269,0.18463015562507917,0.428600971367142,0.6536838258425215,0.3120249630063838,0.7243356416104699
0.15,1.3,-49.85022580269456,0.40621479056511367,0.14766870034996102,0.4322227448167273,0.6865029960550422,0.24956010359143416,0.7304564387402692
0.15,1.3,-49.368304708927425,0.4218437559655551,0.10942935304433614,0.43580607815269023,0.7129159475817882,0.18493560664492809,0.7365122720780466
0.15,1.3,-48.89537162919062,0.43368900681763645,0.07031039357946263,0.43935146076890064,0.7329344215218057,0.11882456514929185,0.7425039686994421
0.15,1.3,-48.43117727705759,0.4417947383552027,0.030689396692204312,0.44285937938320047,0.7466331078202927,0.05186508040982529,0.7484323511576089
0.15,1.3,-47.9754815002534,0.44623796831188484,-0.009078961068139423,0.44633031702674586,0.7541421664470854,-0.015343444205155626,0.7542982357752006
0.15,1.3,-47.528052866095685,0.44712425516388143,-0.04866449226153476,0.4497647522460256,0.7556399912269597,-0.08224299192199376,0.7601024312957833
0.15,1.3,-47.088668269308485,0.4445836037439918,-0.08776256744424799,0.4531631593172606,0.7513462903273462,-0.1483187389807791,0.7658457392461705
0.15,1.3,-46.65711256081522,0.43876658630833115,-0.12609472550626363,0.4565260091836676,0.7415155308610797,-0.21310008610558556,0.7715289555203982
0.15,1.3,-46.233178196213956,0.42984070971946153,-0.16340884905070505,0.4598537677133966,0.7264307994258901,-0.27616095489569153,0.7771528674356403
0.15,1.3,-45.81666490272514,0.417987043983055,-0.1994790168854239,0.46314689582816765,0.706398104331363,-0.33711953853636645,0.7827182539496035
0.15,1.3,-45.40737936349242,0.40339711783435417,-0.23410506583142032,0.46640584958273995,0.6817411291400586,-0.3956375612551004,0.7882258857948305
0.15,1.3,-45.00513491818825,0.386270079639275,-0.26711192012849083,0.46963108106178525,0.6527964345903748,-0.4514191450171495,0.7936765269944172
0.15,1.3,-44.609751278951414,0.36681013932869494,-0.29834869819988336,0.4728230366975595,0.6199091354654945,-0.504209299957803,0.7990709320188756
0.15,1.3,-44.22105426074886,0.3452242660520295,-0.3276876874665861,0.4759821576365667,0.5834290096279299,-0.5537921918185306,0.8044098464057978
0.15,1.3,-43.8388755253121,0.3217201407956188,-0.35502319586075876,0.47910887968471155,0.5437070379445957,-0.5999892010046823,0.8096940066671626
0.15,1.3,-43.46305233786098,0.2965043421466081,-0.3802703249826888,0.4822036343436584,0.5010923382277678,-0.6426568492207442,0.8149241420407828
0.15,1.3,-43.093427335872136,0.26978077969243214,-0.4033636623634153,0.48526684742179116,0.45592951768021034,-0.681684589394172,0.8201009721428272
0.15,1.3,-42.729848309205835,0.2417493338960645,-0.42425595278814426,0.48829893908892225,0.40855637428434904,-0.7169925602119639,0.8252252070602786
0.15,1.3,-42.37216799094248,0.21260469599045495,-0.44291675463785807,0.49130032393244594,0.3593019362238689,-0.7485293153379802,0.8302975474458337
0.15,1.3,-42.02024385832671,0.1825353836601995,-0.45933110317312253,0.49427141190869417,0.30848479838573717,-0.7762695643625772,0.8353186861256933
0.15,1.3,-41.67393794325412,0.15172294106959303,-0.47349818002310956,0.4972126077765972,0.25641177040761226,-0.8002119242390552,0.8402893071424493
0.15,1.3,-41.33311665176925,0.12034129990270888,-0.4854300126096292,0.5001243101514448,0.20337679683557802,-0.8203767213102734,0.8452100841559417
0.15,1.3,-40.99765059208136,0.0885562617755779,-0.4951502221061092,0.5030069124290381,0.14966008240072667,-0.8368038753593247,0.8500816820050744
0.15,1.3,-40.66741441063027,0.05652511882921263,-0.5026928112815403,0.5058608025660765,0.09552745082136935,-0.8495508510658032,0.8549047563366692
0.15,1.3,-40.342286635768446,0.0243963755701291,-0.508101007409546,0.5086863639528332,0.04122987471351819,-0.8586907025221329,0.8596799550802883
0.15,1.3,-40.02214952864741,-0.007690405638514516,-0.5114261565350511,0.5114839742622436,-0.012996785529089535,-0.8643102045442365,0.8644079165031918
0.15,1.3,-39.70688894092556,-0.03960468350263402,-0.5127266827864237,0.5142540055230623,-0.0669319151194515,-0.8665080939090563,0.8690892693339755
0.15,1.3,-39.39639417893599,-0.07122494180855739,-0.5120671090129222,0.5169968244278531,-0.12037015165646199,-0.8653934142318386,0.8737246332830718
0.15,1.3,-39.09055787397366,-0.1024386269542534,-0.5095171387073552,0.5197127927315268,-0.17312127955268827,-0.8610839644154303,0.8783146197162804
0.15,1.3,-38.78927585838415,-0.13314202577289017,-0.5051507993630459,0.5224022675333954,-0.2250100235561844,-0.8537048509235475,0.8828598321314381
0.15,1.3,-38.492447047152396,-0.1632400789539749,-0.49904565042750354,0.5250656002705852,-0.2758757334322176,-0.843387149222481,0.8873608644572892
0.15,1.3,-38.199973324708694,-0.1926461691950703,-0.49128205180401996,0.5277031371238031,-0.32557202593966883,-0.8302666675487939,0.8918183017392275
0.15,1.3,-37.911759436687156,-0.2212818706387455,-0.48194249167764536,0.5303152190516879,-0.3739663613794799,-0.8144828109352207,0.8962327201973526
0.15,1.3,-37.62771288638331,-0.24907667549561624,-0.4711109695564164,0.5329021823114775,-0.4209395815875915,-0.7961775385503438,0.900604688106397
0.15,1.3,-37.34774383567695,-0.27596769484347855,-0.45887243417323614,0.535464358703074,-0.4663854042854788,-0.7754944137527692,0.9049347662081951
0.15,1.3,-37.071765010195556,-0.3018993312329517,-0.44531227946968066,0.5380020747593697,-0.5102098697836884,-0.7525777523037603,0.9092235063433348
0.15,1.3,-36.799691608508155,-0.3268229483784372,-0.4305158884691419,0.5405156517725913,-0.5523307827595588,-0.7275718515128499,0.9134714514956794
0.15,1.3,-36.53144121515274,-0.3506965381090804,-0.4145682206161753,0.5430054064063778,-0.5926771494043459,-0.7006202928413363,0.9176791368267785
0.15,1.3,-36.2669337173072,-0.3734843736674366,-0.39755344808120835,0.5454716504595041,-0.6311885914979679,-0.6718653272572421,0.921847089276562
0.15,1.3,-36.00609122492953,-0.39515667095195967,-0.3795546268484557,0.5479146916810187,-0.6678147739088119,-0.6414473193738902,0.9259758289409217
0.15,1.3,-35.748837994197935,-0.4156892369278454,-0.36065341655245003,0.5503348331412518,-0.7025148104080587,-0.6095042739736406,0.9300658680087156
