step,ci_anchor_loss
1,0.013583692193135084
100,4.810142820753053e-05
200,2.6930824198600704e-05
300,1.270957839451919e-05
400,5.144891036509776e-06
500,2.259083049578858e-06
600,1.238144804941492e-06
700,7.065937651332108e-07
800,3.884831601746971e-07
900,2.0610218367690265e-07
1000,1.0665532745335369e-07
1100,5.42295806354344e-08
1200,2.7106948588939714e-08
1300,1.3246676156948816e-08
1400,6.274629687276707e-09
1500,2.856032245288965e-09
1600,1.240200023805818e-09
1700,5.109182641473632e-10
1800,1.9882319687193517e-10
1900,7.282627402852805e-11
2000,2.5026847756392285e-11
2100,8.043259104723996e-12
2200,2.4094745401135252e-12
2300,6.704069903157029e-13
2400,1.72593771300515e-13
2500,4.094457783196813e-14
2600,8.911001967796646e-15
2700,1.7706787019915916e-15
2800,3.195944439261169e-16
2900,5.210674595066218e-17
3000,7.628230215658779e-18
