chart,n,technical_success,median,p95,max,n_le_1e4
C00,28,28,2.967964279502264e-06,1.2369741242046126e-05,0.09778215948361772,27
C01,41,41,4.243036577893246e-06,7.5696179028071405e-06,9.831366279439114e-06,41
C02,62,62,3.4758405805293465e-06,7.489495860480915e-06,9.263879917346696e-06,62
C10,25,25,3.993640464746045e-06,8.248206126993837e-06,9.016721282604698e-06,25
C11,33,33,3.3159410889748763e-06,6.432652471887634e-06,8.69141562884378e-06,33
C12,34,34,3.3929922583344917e-06,6.390791328404964e-06,8.353336446041192e-06,34
C20,25,25,4.04227505809779e-06,8.18352788665658e-06,8.344041863432542e-06,25
C21,32,32,3.4943376722416238e-06,7.273207282906732e-06,9.805088346803204e-06,32
C22,22,22,3.877309443061695e-06,8.112146670350213e-06,1.1150894739353645e-05,22
C30,39,39,3.748467926347317e-06,7.007233656798462e-06,9.212386753870562e-06,39
C31,48,48,3.5193762437855083e-06,6.655729483734194e-06,8.93890323615454e-06,48
C32,12,12,3.556402820691576e-06,1.0095171180487022e-05,1.3978974371784572e-05,12
