condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,source_file,status_completed,actual_box_solves
seeded,0,C00,1.05,0.105,11,PINN,0,0.00960359,0.051924232,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0,0.05967813825,2.0806872264641943e-06,2.9400691328738296e-21,2.080687226464197e-06,True,True,True,0.0123430953582109,22.30384329496883,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,0,PINN,0,0.04619938,0.10239334,0.015,0.008,COMPLETED,,0,0.015,0.008,0.016228676875,0.1134089649999999,0.0006366448746696,3.769114301203957e-21,0.0006366448746696,True,True,True,0.0319309730504334,21.64738227194175,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,1,PINN,0,0.04619938,0.10239334,0.015,0.015,COMPLETED,,0,0.015,0.015,0.016228676875,0.113282011875,0.000636629587235,3.768896192207717e-21,0.000636629587235,True,True,True,0.0318873990944432,21.73053695599083,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,2,PINN,0,0.04619938,0.10239334,0.015,0.03,COMPLETED,,0,0.015,0.03,0.016228676875,0.1132722462499999,0.000636629673065,3.7685690405462686e-21,0.000636629673065,True,True,True,0.0318840657226015,21.66338611196261,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,3,PINN,0,0.04619938,0.10239334,0.03,0.008,COMPLETED,,0,0.03,0.008,0.0,0.1092058399999999,4.513831572113893e-08,3.4376319217735804e-21,4.5138315721142366e-08,True,True,True,0.0466989600380393,17.342219113954343,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,4,PINN,0,0.04619938,0.10239334,0.03,0.015,COMPLETED,,0,0.03,0.015,0.0,0.109199980625,2.859347504488264e-07,3.437788148773326e-21,2.859347504488299e-07,True,True,True,0.0466981056251996,21.599348960909992,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,5,PINN,0,0.04619938,0.10239334,0.03,0.03,COMPLETED,,0,0.03,0.03,0.0,0.10920974625,1.1536996384411e-07,3.437944379322946e-21,1.1536996384411345e-07,True,True,True,0.0466995300463445,21.436787448008545,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,6,PINN,0,0.04619938,0.10239334,0.06,0.008,COMPLETED,,0,0.06,0.008,0.0,0.1092058399999999,4.513831572113893e-08,3.4376319217735804e-21,4.5138315721142366e-08,True,True,True,0.0466989600380393,17.243982492014766,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,7,PINN,0,0.04619938,0.10239334,0.06,0.015,COMPLETED,,0,0.06,0.015,0.0,0.109199980625,2.859347504488264e-07,3.437788148773326e-21,2.859347504488299e-07,True,True,True,0.0466981056251996,21.4306909639854,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,8,PINN,0,0.04619938,0.10239334,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0,0.10920974625,1.1536996384411e-07,3.437944379322946e-21,1.1536996384411345e-07,True,True,True,0.0466995300463445,21.432930341921747,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,9,PINN,0,0.04619938,0.10239334,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0,0.1092058399999999,4.513831572113893e-08,3.4376319217735804e-21,4.5138315721142366e-08,True,True,True,0.0466989600380393,17.246534497942775,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,10,PINN,0,0.04619938,0.10239334,0.1,0.015,COMPLETED,,0,0.1,0.015,0.0,0.109199980625,2.859347504488264e-07,3.437788148773326e-21,2.859347504488299e-07,True,True,True,0.0466981056251996,21.440629592048936,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,11,PINN,0,0.04619938,0.10239334,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0,0.10920974625,1.1536996384411e-07,3.437944379322946e-21,1.1536996384411345e-07,True,True,True,0.0466995300463445,21.44067822501529,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,0,PINN,0,0.06554711,0.10136479,0.015,0.008,COMPLETED,,0,0.015,0.008,0.059209219375,0.117349165,0.0013855041410073,3.7774617076171235e-21,0.0013855041410073,True,True,True,0.0171950313089301,22.18001075903885,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,1,PINN,0,0.06554711,0.10136479,0.015,0.015,COMPLETED,,0,0.015,0.015,0.061240469375,0.1313354931249999,0.0004245878207897,2.9555485475062738e-21,0.0004245878207897,True,True,True,0.0302785435462107,22.05816009303089,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,2,PINN,0,0.06554711,0.10136479,0.015,0.03,COMPLETED,,0,0.015,0.03,0.061474844375,0.13775150875,6.75927007001124e-07,2.518686950824748e-21,6.759270070011265e-07,True,True,True,0.0366138860094385,21.949359261081558,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,3,PINN,0,0.06554711,0.10136479,0.03,0.008,COMPLETED,,0,0.03,0.008,0.05919945375,0.117349165,0.0013855042876457,3.77729794423472e-21,0.0013855042876457,True,True,True,0.0171986332017631,22.175950345932502,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,4,PINN,0,0.06554711,0.10136479,0.03,0.015,COMPLETED,,0,0.03,0.015,0.06123070375,0.1313354931249999,0.0004245891886033,2.955162273875424e-21,0.0004245891886033,True,True,True,0.0302799340937512,22.07363887701649,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,5,PINN,0,0.06554711,0.10136479,0.03,0.03,COMPLETED,,0,0.03,0.03,0.06146507875,0.13775150875,7.950637423028412e-07,2.518909828682376e-21,7.950637423028437e-07,True,True,True,0.0366149734469052,21.952427898999304,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,6,PINN,0,0.06554711,0.10136479,0.06,0.008,COMPLETED,,0,0.06,0.008,0.0591799225,0.117349165,0.0013855054702063,3.777079598580208e-21,0.0013855054702063,True,True,True,0.0172058513535593,22.179175532073717,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,7,PINN,0,0.06554711,0.10136479,0.06,0.015,COMPLETED,,0,0.06,0.015,0.0612111725,0.1313354931249999,0.0004245948446244,2.9552105566987734e-21,0.0004245948446244,True,True,True,0.0302827244449832,22.04742757207714,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,8,PINN,0,0.06554711,0.10136479,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0614455475,0.13775150875,1.8527625268746169e-06,2.518909828682376e-21,1.8527625268746196e-06,True,True,True,0.0366171560382972,21.94701230991632,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,9,PINN,0,0.06554711,0.10136479,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0592240474902343,0.117349165,0.0013855044853941,3.7781167966454815e-21,0.0013855044853941,True,True,True,0.0171895713629813,22.986968231969517,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,10,PINN,0,0.06554711,0.10136479,0.1,0.015,COMPLETED,,0,0.1,0.015,0.0612718307519531,0.1313354931249999,0.0004245900154426,2.9555485475062738e-21,0.0004245900154426,True,True,True,0.0302740988050125,22.12212445202749,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,2,C00,1.1,0.105,11,PINN,0,0.06554711,0.10136479,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0614873868847656,0.13775150875,1.1959943492155256e-06,2.5184195104117985e-21,1.1959943492155282e-06,True,True,True,0.0366124931295858,22.016668654978275,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,0,PINN,0,0.07631394,0.10816286,0.015,0.008,COMPLETED,,0,0.015,0.008,0.083843236875,0.124147235,0.0007103826475367,2.3896462335162485e-21,0.0007103826475367,True,True,True,0.0176689149517595,22.57599088200368,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,1,PINN,0,0.07631394,0.10816286,0.015,0.015,COMPLETED,,0,0.015,0.015,0.083999486875,0.131610125625,7.055097890790895e-07,1.68275595468968e-21,7.055097890790912e-07,True,True,True,0.0246747218030341,22.504246655968014,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,2,PINN,0,0.07631394,0.10816286,0.015,0.03,COMPLETED,,0,0.015,0.03,0.083999486875,0.1316198912499999,1.34497562776431e-06,1.6820637736187744e-21,1.3449756277643115e-06,True,True,True,0.0246840018196259,22.483993873000145,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,3,PINN,0,0.07631394,0.10816286,0.03,0.008,COMPLETED,,0,0.03,0.008,0.08383347125,0.124147235,0.0007103825926548,2.3910358025344644e-21,0.0007103825926548,True,True,True,0.0176647557118787,22.585707655991428,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,4,PINN,0,0.07631394,0.10816286,0.03,0.015,COMPLETED,,0,0.03,0.015,0.08398972125,0.131610125625,1.5978234602797366e-06,1.6827923892166637e-21,1.5978234602797383e-06,True,True,True,0.0246716818049997,22.50639245193452,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,5,PINN,0,0.07631394,0.10816286,0.03,0.03,COMPLETED,,0,0.03,0.03,0.08398972125,0.1316198912499999,1.965736722711076e-06,1.6822094841165778e-21,1.965736722711078e-06,True,True,True,0.0246809629646277,22.48368710896466,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,6,PINN,0,0.07631394,0.10816286,0.06,0.008,COMPLETED,,0,0.06,0.008,0.0838530025,0.124147235,0.0007103839149814,2.3893423191332705e-21,0.0007103839149814,True,True,True,0.0176730786089897,22.603209415916357,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,7,PINN,0,0.07631394,0.10816286,0.06,0.015,COMPLETED,,0,0.06,0.015,0.0840092525,0.131610125625,3.638455956366567e-07,1.682828824138078e-21,3.638455956366584e-07,True,True,True,0.0246777652910866,22.49417981202714,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,8,PINN,0,0.07631394,0.10816286,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0840092525,0.1316198912499999,1.2015351388836915e-06,1.6819544948869417e-21,1.2015351388836934e-06,True,True,True,0.024687044163612,22.489201730000783,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,9,PINN,0,0.07631394,0.10816286,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0838524304492187,0.124147235,0.0007103838072989,2.3905146668209787e-21,0.0007103838072989,True,True,True,0.0176728345885313,22.55429605499376,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,10,PINN,0,0.07631394,0.10816286,0.1,0.015,COMPLETED,,0,0.1,0.015,0.0839672181705729,0.131610125625,3.70421235376776e-06,1.6830110046616058e-21,3.704212353767761e-06,True,True,True,0.0246646899847833,22.462095526978374,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,3,C00,1.1,0.115,11,PINN,0,0.07631394,0.10816286,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0839672181705729,0.1316198912499999,3.877084370572859e-06,1.682828824138078e-21,3.877084370572861e-06,True,True,True,0.0246739737743972,22.457592605031092,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,4,C00,1.2,0.075,0,PINN,0,0.12534627,0.14678708,0.015,0.008,COMPLETED,,0,0.015,0.008,0.125395098125,0.1308027049999999,0.0001911440535867,4.5307170792692846e-21,0.0001911440535867,True,True,True,0.0159844495784627,22.01887070306111,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,4,C00,1.2,0.075,1,PINN,0,0.12534627,0.14678708,0.015,0.015,COMPLETED,,0,0.015,0.015,0.125395098125,0.127851533125,7.335977340886594e-07,4.4986104648814775e-21,7.335977340886638e-07,True,True,True,0.018935609830188,22.064987650956027,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,4,C00,1.2,0.075,2,PINN,0,0.12534627,0.14678708,0.015,0.03,COMPLETED,,0,0.015,0.03,0.125395098125,0.1278612987499999,1.2392304671740018e-06,4.498550893458575e-21,1.2392304671740062e-06,True,True,True,0.0189258442376725,22.05375264689792,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,4,C00,1.2,0.075,3,PINN,0,0.12534627,0.14678708,0.03,0.008,COMPLETED,,0,0.03,0.008,0.12540486375,0.1308027049999999,0.0001911469150485,4.530597512410742e-21,0.0001911469150485,True,True,True,0.015984482392876,22.002131219021976,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
