benchmark_id,n_boxes,n_completed_boxes,n_failed_boxes,n_technical_boxes,total_box_solves,total_seconds
0,12,12,0,12,12.0,266.52137773286086
1,12,12,0,12,12.0,245.65510697569698
2,12,12,0,12,12.0,265.68892398814205
3,12,12,0,12,12.0,270.20059377280995
4,12,12,0,12,12.0,265.1120799211785
5,12,12,0,12,12.0,271.71677640569396
6,12,12,0,12,12.0,272.22241088503506
7,12,12,0,12,12.0,277.7087445098441
8,12,12,0,12,12.0,272.561840726994
9,12,12,0,12,12.0,327.4276252038544
10,12,12,0,12,12.0,335.9676228869939
11,12,12,0,12,12.0,339.9543558349833
12,12,12,0,12,12.0,320.3429480328923
13,12,12,0,12,12.0,354.36014731402975
14,12,12,0,12,12.0,321.8506177160889
15,12,12,0,12,12.0,322.5222371388227
16,12,12,0,12,12.0,392.01276182499714
17,12,12,0,12,12.0,329.6921954964055
18,12,12,0,12,12.0,351.68726245395374
19,12,12,0,12,12.0,344.6286276060855
20,12,12,0,12,12.0,389.0826944062719
21,12,12,0,12,12.0,412.1218352688011
22,12,12,0,12,12.0,288.616665870999
23,12,12,0,12,12.0,276.8899709112011
24,12,12,0,12,12.0,299.5115881320089
25,12,12,0,12,12.0,296.92394387791865
26,12,12,0,12,12.0,335.0113516058773
27,12,12,0,12,12.0,340.72503487218637
28,12,12,0,12,12.0,347.4783318651607
29,12,12,0,12,12.0,337.0962434668327
30,12,12,0,12,12.0,374.92420484591275
31,12,12,0,12,12.0,369.9971655901754
32,12,12,0,12,12.0,420.3789946278557
33,12,12,0,12,12.0,454.78949955978896
34,12,12,0,12,12.0,401.1462311989162
35,12,12,0,12,12.0,430.3001479419181
36,12,12,0,12,12.0,381.25644115160685
37,12,12,0,12,12.0,404.80512611183804
38,12,12,0,12,12.0,393.5684328429634
39,12,12,0,12,12.0,421.8074840811314
40,12,12,0,12,12.0,399.37978868663777
41,12,12,0,12,12.0,429.995794257964
42,12,12,0,12,12.0,422.21133483201265
43,12,12,0,12,12.0,422.15097314619925
44,12,12,0,12,12.0,413.69717837520875
45,12,12,0,12,12.0,441.0920381891774
46,12,12,0,12,12.0,474.5496720421361
47,12,12,0,12,12.0,527.2976258189883
48,12,12,0,12,12.0,366.14346782595385
49,12,12,0,12,12.0,343.6234369408339
50,12,12,0,12,12.0,335.11142533214297
51,12,12,0,12,12.0,400.4215158832958
52,12,12,0,12,12.0,457.0984712688951
53,12,12,0,12,12.0,436.4856491070241
54,12,12,0,12,12.0,450.4291531313211
55,12,12,0,12,12.0,447.8215318376897
56,12,12,0,12,12.0,426.99728585698176
57,12,12,0,12,12.0,377.9890453480184
58,12,12,0,12,12.0,396.96014863892924
59,12,12,0,12,12.0,431.35886900674086
60,12,12,0,12,12.0,457.2364553369116
61,12,12,0,12,12.0,463.2670145931188
62,12,12,0,12,12.0,530.3224807980005
63,12,12,0,12,12.0,460.0741315300111
