model,n_points,mae,median_abs_error,p90_abs_error,p95_abs_error,max_abs_error,alpha_at_max_error
hybrid_4pt,401,0.004011158890424664,0.0009771701196827,0.0155063450005826,0.017492484288514,0.0182436636354864,0.7125
physics_only,401,0.2998878887199188,0.2818862837396721,0.5725535349981374,0.6169055331706177,0.6630533795776659,0.1
