alpha,ci_reference,ci_hybrid_4pt,ci_physics_only,err_hybrid_4pt,err_physics_only
0.1,0.6704450642662936,0.6704439,0.0073916847,1.1717873507066656e-06,0.6630533795776659
0.10175000000000001,0.6681927056341137,0.6682957,0.0074915057,0.00010297584247931368,0.6607011999292935
0.10350000000000001,0.6659679707962864,0.66615033,0.007593975,0.00018236070090593692,0.6583739958595329
0.10525000000000001,0.6637516209681311,0.6640079,0.0076990766,0.00025628117725462474,0.6560525444161871
0.10700000000000001,0.6615135172142002,0.66186816,0.007806796,0.0003546377883938412,0.6537067210993084
0.10875000000000001,0.6592978674714728,0.65973157,0.007917095,0.00043369943450255466,0.6513807724957629
0.11050000000000001,0.6570707166354857,0.65759766,0.008029942,0.0005269443828859188,0.6490407742347322
0.11225,0.654891099747569,0.6554667,0.008145292,0.0005755760107928332,0.6467458074580139
0.114,0.6526700160705048,0.6533387,0.0082630925,0.0006686546600860321,0.6444069235824543
0.11575,0.6504833521819433,0.65121365,0.00838329,0.0007302937531152853,0.6421000622710904
0.11750000000000001,0.6482854483606396,0.64909154,0.008505811,0.0008060934064807457,0.6397796373771606
0.11925000000000001,0.6461129225572563,0.6469725,0.008630573,0.0008595548788093987,0.6374823497390366
0.12100000000000001,0.6439440552784218,0.64485633,0.008757507,0.0009122784541831797,0.6351865478498949
0.12275000000000001,0.6417718152270364,0.6427434,0.008886524,0.0009715934529257453,0.632885291682248
0.12450000000000001,0.6396128288133937,0.6406334,0.009017518,0.0010205754415196777,0.6305953110231953
0.12625,0.6374339617120607,0.6385264,0.009150386,0.00109241835004259,0.6282835758554323
0.128,0.6353132596819545,0.63642246,0.009285023,0.0011091956288670213,0.6260282362460042
0.12975,0.6331427310748242,0.6343218,0.00942131,0.0011790777401782249,0.6237214206872724
0.1315,0.6310156109577442,0.6322241,0.009559122,0.0012084719890331774,0.6214564890435362
0.13325,0.6288806261800914,0.6301296,0.009698345,0.0012489495492786773,0.6191822808542042
0.135,0.6267443722321759,0.6280382,0.009838839,0.0012938553259600472,0.6169055331706177
0.13675,0.6246131451046529,0.6259499,0.009980469,0.0013367741191324667,0.6146326760938826
0.1385,0.6225037437595299,0.62386495,0.0101231,0.0013612049900123546,0.6123806436277798
0.14025,0.6203972855703861,0.621783,0.010266595,0.001385732541796525,0.6101306909816295
0.14200000000000002,0.6182901365154408,0.6197043,0.010410815,0.0014141696102000223,0.6078793219693922
0.14375000000000002,0.6161784058808899,0.6176288,0.010555618,0.001450406909027091,0.6056227874382949
0.14550000000000002,0.6140849478512641,0.61555666,0.010700856,0.0014717094630364302,0.603384091515803
0.14725000000000002,0.6119696796455588,0.6134878,0.010846395,0.0015181004485879113,0.6011232846000399
0.14900000000000002,0.6098861301608014,0.61142194,0.010992099,0.0015358125500750663,0.5988940315611291
0.15075000000000002,0.6078156507476825,0.60935974,0.011137818,0.0015440904632549879,0.596677832761373
0.15250000000000002,0.6057319337420416,0.6073006,0.011283423,0.001568645805840485,0.5944485109217715
0.15425,0.6036750013282203,0.6052447,0.011428798,0.0015696948120690335,0.5922462037106656
0.15600000000000003,0.6016004843727917,0.60319215,0.011573796,0.0015916662200122778,0.5900266882122726
0.15775,0.599532816466548,0.60114306,0.01171829,0.0016102456481675853,0.5878145265398999
0.15950000000000003,0.5974782689335871,0.59909725,0.011862193,0.0016189829585027127,0.5856160756993223
0.16125,0.595424011643088,0.59705484,0.012005361,0.001630827491128306,0.5834186508460404
0.16300000000000003,0.5933786173589708,0.5950158,0.012147711,0.001637206482124176,0.5812309067003609
0.16475,0.5913536958596578,0.59298,0.012289138,0.001626331339133702,0.5790645582801571
0.1665,0.5893144434503077,0.59094787,0.012429539,0.0016334229895116348,0.5768849043360709
0.16825,0.5872889688365331,0.5889191,0.012568845,0.0016301343090662224,0.5747201234229079
0.17,0.5852604890303201,0.5868937,0.012706954,0.0016331886811666863,0.5725535349981374
0.17175,0.5832368021266019,0.5848717,0.012843819,0.001634907220169346,0.5703929827914989
0.17350000000000002,0.581220495415132,0.5828532,0.012979363,0.0016327026363206487,0.568241132323842
0.17525000000000002,0.5792088876933312,0.58083826,0.013113521,0.0016293753414893253,0.5660953666538453
0.17700000000000002,0.5771718998143703,0.5788267,0.013246258,0.0016548256685703366,0.5639256420249373
0.17875000000000002,0.5752032914934525,0.5768187,0.013377516,0.0016154131116500325,0.5618257758943209
0.18050000000000002,0.5731859979018504,0.5748141,0.013507277,0.0016280832901661713,0.5596787211283977
0.18225000000000002,0.571190867833886,0.5728131,0.013635484,0.0016222258283760116,0.557555384263489
0.18400000000000002,0.5692225559520387,0.5708156,0.013762137,0.0015930668545103277,0.5554604190307522
0.18575000000000003,0.5672132649823567,0.5688217,0.013887216,0.0016084632471660143,0.5533260486453315
0.1875,0.5652460576378611,0.5668313,0.014010704,0.0015852330840322448,0.5512353535153773
0.18925000000000003,0.5632873562144978,0.56484437,0.014132599,0.0015570136738078943,0.5491547568681581
0.191,0.561287239842014,0.56286126,0.014252902,0.0015740239099696351,0.5470343378334209
0.19275000000000003,0.5593517697146376,0.56088156,0.014371608,0.0015297853657761928,0.544980161330684
0.1945,0.5573647579251558,0.55890554,0.014488745,0.001540783971664239,0.5428760133757026
0.19625000000000004,0.555427307845314,0.55693305,0.014604313,0.0015057375419540442,0.5408229945462542
0.198,0.5534712701517714,0.55496424,0.0147183435,0.0014929742139206947,0.5387529266479982
0.19975000000000004,0.551511019169321,0.55299896,0.014830858,0.001487940848836966,0.5366801607226633
0.2015,0.5495762039609514,0.5510374,0.014941878,0.0014611671976484386,0.5346343262754641
0.20325000000000001,0.5476579260463313,0.5490794,0.015051442,0.001421492136041702,0.532606483847876
0.20500000000000002,0.5457169515726442,0.5471251,0.015159567,0.0014081495168333236,0.5305573846859212
0.20675000000000002,0.5437623904921868,0.54517454,0.015266309,0.0014121485970161052,0.5284960819312193
0.20850000000000002,0.5418534233174227,0.5432275,0.015371689,0.0013740704455472708,0.5264817346758149
0.21025000000000002,0.539916554340688,0.5412844,0.015475754,0.0013678280026042655,0.5244408006459153
0.21200000000000002,0.5380123123784611,0.5393447,0.015578557,0.0013324156145503308,0.5224337555726121
0.21375000000000002,0.5361145181717437,0.53740877,0.015680123,0.0012942509589630724,0.5204343950511974
0.21550000000000002,0.5341883251281477,0.53547674,0.01578051,0.0012884190468095413,0.5184078147472836
0.21725000000000003,0.5323001888647101,0.53354824,0.015879747,0.001248047028539423,0.5164204423382304
0.21900000000000003,0.5303981318493493,0.5316234,0.015977904,0.0012252912501685698,0.5144202276487954
0.22075000000000003,0.5285027365835135,0.5297023,0.016075019,0.0011995692102486633,0.512427717790169
0.22250000000000003,0.5266007596785167,0.5277851,0.016171122,0.001184362716045051,0.5104296377086976
0.22425,0.524727049004598,0.52587146,0.016266292,0.0011444066648050866,0.5084607570435241
0.22600000000000003,0.5228267447395107,0.5239617,0.01636055,0.0011349781112888202,0.5064661954833052
0.22775000000000004,0.5209624135528927,0.5220556,0.016453955,0.001093212362634599,0.5045084582303887
0.22950000000000004,0.5190743124020155,0.5201533,0.016546568,0.0010789716708604624,0.5025277445000466
0.23125,0.517203717310335,0.5182548,0.016638407,0.0010510992218000226,0.500565309826638
0.233,0.5153282097584436,0.51636004,0.016729534,0.0010318347209264944,0.49859867608611086
0.23475000000000001,0.5134739450554568,0.51446897,0.016819995,0.0009950228591244503,0.49665395015880653
0.23650000000000002,0.5116087897659702,0.5125818,0.016909845,0.0009730354903774163,0.4946989445926113
0.23825000000000002,0.509763637034585,0.5106984,0.016999109,0.0009347410515050392,0.49276452831773954
0.24000000000000002,0.507906644502741,0.5088187,0.017087823,0.0009120415057123354,0.49081882172272795
0.24175000000000002,0.506081275068914,0.50694287,0.017176064,0.000861593163813068,0.48890521133760123
0.24350000000000002,0.5042115887778982,0.5050709,0.017263856,0.0008593359810129542,0.4869477329927667
0.24525000000000002,0.5023719401072012,0.50320274,0.017351232,0.0008307962705148553,0.48502070763811933
0.24700000000000003,0.5005439194576056,0.50133824,0.017438233,0.0007943240268915019,0.4831056865588934
0.24875000000000003,0.49869536514793933,0.49947757,0.017524902,0.0007822001406043722,0.48117046337043345
0.25050000000000006,0.4968654532057282,0.49762076,0.017611276,0.0007553081887725077,0.4792541768473622
0.25225000000000003,0.495059943980218,0.49576777,0.017697385,0.0007078282175053685,0.4773625593992482
0.254,0.4932113769707668,0.49391854,0.017783273,0.0007071611228001151,0.4754281039593208
0.25575000000000003,0.49144299779568706,0.49207324,0.017868958,0.0006302401002785119,0.47357403938208614
0.25750000000000006,0.48962421474407886,0.49023166,0.017954474,0.0006074482445838636,0.4716697404290316
0.25925000000000004,0.4878143585713839,0.48839402,0.018039875,0.0005796634165311509,0.46977448383888953
0.261,0.4859993141472595,0.48656008,0.018125156,0.0005607623278839347,0.4678741582066076
0.26275000000000004,0.4841880914521772,0.48473006,0.01821036,0.0005419734167497747,0.4659777306718189
0.26450000000000007,0.4823975430112882,0.4829039,0.018295512,0.0005063547510104072,0.46410203140793277
0.26625000000000004,0.4805986551756548,0.48108152,0.018380646,0.0004828603749585936,0.46221800951310865
0.268,0.47882291059093685,0.479263,0.018465772,0.00044009704990177756,0.46035713831978053
0.26975000000000005,0.47704002645422927,0.47744834,0.01855091,0.00040831777642258427,0.4584891163985919
0.2715,0.4752273201701077,0.47563747,0.018636102,0.00041014554530061087,0.45659121831328
0.27325,0.47347336579535515,0.47383028,0.018721336,0.00035691689278571914,0.4547520292964986
0.275,0.4716854078187273,0.47202712,0.018806662,0.0003417151556684428,0.45287874540822964
0.27675000000000005,0.4699132668704668,0.47022772,0.018892083,0.0003144514828046785,0.4510211835534254
0.2785,0.46813044486516786,0.4684323,0.0189776,0.0003018623781793073,0.4491528456466801
0.28025,0.46638506902966603,0.46664062,0.01906325,0.00025555239405528063,0.4473218197992812
0.28200000000000003,0.4646220270698725,0.46485263,0.019149039,0.00023060402219904352,0.4454729881292044
0.28375000000000006,0.46285993689302346,0.46306866,0.01923497,0.00020872718092063147,0.44362496668104073
0.28550000000000003,0.4611116200738828,0.46128842,0.019321065,0.0001768022722323237,0.4417905546778123
0.28725,0.45935670756563196,0.4595119,0.019407336,0.0001551983429526338,0.4399493718968297
0.28900000000000003,0.4575934347908175,0.4577394,0.019493783,0.00014597799375892784,0.43809965189799427
0.29075000000000006,0.45585123139807504,0.45597082,0.019580418,0.00011959236672598461,0.4362708131540708
0.29250000000000004,0.4540977360419867,0.4542058,0.019667247,0.00010807498172543673,0.4344304887317059
0.29425,0.4523605141218687,0.45244473,0.019754265,8.421806730979364e-05,0.43260624961815125
0.29600000000000004,0.45062254105129873,0.45068747,0.019841496,6.492700061166978e-05,0.4307810451499525
0.29775000000000007,0.44890616937672306,0.44893396,0.019928925,2.7789630540120402e-05,0.42897724463736225
0.29950000000000004,0.4471695395174138,0.44718426,0.020016568,1.4725142467808539e-05,0.4271529717358462
0.30125,0.4454395383222722,0.44543844,0.020104412,1.0937078617767604e-06,0.4253351263328217
0.30300000000000005,0.4437324234552138,0.44369632,0.020192474,3.610339829851483e-05,0.423539949328398
0.3047500000000001,0.4419984350629391,0.44195807,0.020280745,4.03652616085548e-05,0.42171769018250127
0.3065,0.4402894228919956,0.44022357,0.02036922,6.584825362887514e-05,0.41992020236696925
0.30825,0.43858109675442014,0.43849292,0.020457903,8.817277942929636e-05,0.4181231938311938
0.31000000000000005,0.4368751351751067,0.436766,0.020546786,0.00010913657319322478,0.41632834868800417
0.31175,0.43516831708296033,0.43504286,0.020635871,0.0001254589591810351,0.41453244586630555
0.3135,0.43345938966661784,0.43332353,0.020725152,0.00013585732370707815,0.41273423814267013
0.31525000000000003,0.4317520176946979,0.4316079,0.020814618,0.0001441156446795877,0.4109373995989423
0.31700000000000006,0.43005364750092745,0.429896,0.020904267,0.00015765045350313311,0.4091493802941394
0.31875000000000003,0.4283588789469954,0.4281879,0.020994093,0.00017097220489947773,0.4073647856778857
0.3205,0.426672529857822,0.42648354,0.021084085,0.00018898813075596266,0.40558844475097233
0.32225000000000004,0.4249762892140863,0.4247829,0.02117424,0.00019338721175171658,0.40380204835672356
0.32400000000000007,0.42328711412838305,0.42308596,0.021264551,0.00020115636280382265,0.40202256292095984
0.32575000000000004,0.4216195594343213,0.42139274,0.021355,0.0002268206151989638,0.40026456004109656
0.3275,0.41991899143830463,0.41970327,0.021445576,0.00021571647301837915,0.3984734153367631
0.32925000000000004,0.4182371694982519,0.41801748,0.021536287,0.00021969270114802208,0.39670088257794284
0.33100000000000007,0.41657946755482933,0.41633543,0.021627104,0.0002440338332869718,0.3949523636449792
0.33275000000000005,0.4149032402993553,0.41465697,0.021718025,0.0002462733746879664,0.3931852150918358
0.3345,0.4132351266181065,0.41298229,0.021809025,0.0002528415953709229,0.3914261018818213
0.33625000000000005,0.41157613154979183,0.41131118,0.021900117,0.00026495215030147845,0.3896760141524835
0.3380000000000001,0.4099195731997616,0.40964374,0.021991264,0.000275833737862774,0.38792830912472076
0.33975000000000005,0.4082587964311219,0.4079799,0.022082461,0.0002788908258057332,0.3861763353869296
0.3415,0.4066220595742198,0.40631977,0.0221737,0.0003022923375102238,0.3844483587200376
0.34325000000000006,0.4049680337664057,0.40466326,0.022264967,0.0003047690149713955,0.38270306702520146
0.34500000000000003,0.4033089438425708,0.40301037,0.022356238,0.000298575495402853,0.3809527056264091
0.34675,0.40166662501162076,0.40136105,0.02244751,0.0003055767900326245,0.37921911532050157
0.34850000000000003,0.40000944339767325,0.39971527,0.022538766,0.00029416882530081123,0.3774706771327578
0.35025000000000006,0.3983752083961496,0.39807317,0.022629991,0.000302041787339169,0.3757452172224054
0.3520000000000001,0.39675396125204787,0.39643455,0.022721175,0.00031941573508009746,0.3740327861476682
0.35375,0.39511739236667864,0.3947995,0.022812298,0.0003178916628669981,0.37230509479895346
0.35550000000000004,0.3934914794065209,0.393168,0.022903344,0.00032347703950125206,0.3705881357439013
0.35725000000000007,0.3918646858048099,0.39153996,0.022994293,0.000324724705185242,0.36887039290484364
0.3590000000000001,0.3902172101316586,0.3899155,0.023085145,0.0003017140207424718,0.3671320648518935
0.36075,0.38861568308660893,0.38829446,0.023175875,0.0003212246973267052,0.36543980836162476
0.36250000000000004,0.38697359550105914,0.38667688,0.02326648,0.0002967177640138541,0.36370711612808093
0.3642500000000001,0.38537568806190026,0.38506278,0.023356928,0.00031290410537254676,0.36201876050312054
0.366,0.38375894013945666,0.38345224,0.023447212,0.0003067034870823937,0.36031172830764857
0.36775,0.38213905725762093,0.381845,0.023537323,0.0002940598516150694,0.35860173437878334
0.36950000000000005,0.38052234214380176,0.38024125,0.02362724,0.00028109711244495017,0.3568951019330302
0.3712500000000001,0.3789028320991269,0.37864086,0.023716945,0.00026197177998932286,0.3551858868979684
0.373,0.3773299250579412,0.3770438,0.023806432,0.000286111590915461,0.3535234927958782
0.37475,0.37569901989139987,0.37545013,0.023895679,0.00024888561405611576,0.3518033408496566
0.37650000000000006,0.3740972462358494,0.37385985,0.02398468,0.00023739368343544953,0.35011256628358556
0.3782500000000001,0.37252694977126566,0.37227288,0.024073415,0.0002540708859964935,0.3484535352667376
0.38,0.3709272863378144,0.3706892,0.02416186,0.00023807306190498645,0.3467654259910203
0.38175000000000003,0.3693453852261602,0.36910877,0.02425002,0.000236618908792674,0.345095365884453
0.38350000000000006,0.36772661854183253,0.3675316,0.024337877,0.0001950209275441983,0.3433887419537264
0.3852500000000001,0.36616350081392995,0.36595765,0.024425417,0.00020585325190297654,0.34173808362910024
0.387,0.36458051978882583,0.3643871,0.024512619,0.0001934248143080075,0.3400679010086897
0.38875000000000004,0.36299844774780904,0.36281958,0.024599476,0.00017886552391682686,0.33839897196171914
0.39050000000000007,0.36141768722538,0.36125532,0.024685971,0.00016236929897311958,0.33673171578649524
0.3922500000000001,0.3598469864124621,0.35969412,0.024772104,0.00015286314433465842,0.3350748825365866
0.394,0.35825597378089014,0.35813612,0.024857856,0.00011985632254662981,0.33339811744763437
0.39575000000000005,0.3567060912266134,0.35658124,0.024943212,0.0001248503342031193,0.3317628791793941
0.3975000000000001,0.3551349975343754,0.35502934,0.025028165,0.00010565297565956477,0.33010683210454483
0.39925,0.3535893081423726,0.35348067,0.0251127,0.00010864126653337136,0.32847660842508936
0.401,0.35200890967246595,0.35193494,0.025196804,7.397004958692444e-05,0.3268121059387595
0.40275000000000005,0.35045087144079645,0.35039222,0.025280477,5.864903631647156e-05,0.3251703939616962
0.4045000000000001,0.3488873281764263,0.34885252,0.025363715,3.481295578422472e-05,0.32352361281089725
0.40625,0.34733355149805545,0.34731576,0.02544648,1.7793031334867315e-05,0.32188707135796546
0.40800000000000003,0.3457636733438954,0.34578192,0.025528789,1.8248996497660652e-05,0.32023488477730605
0.40975000000000006,0.34424587023003655,0.34425098,0.025610618,5.1068093006034765e-06,0.3186352519367512
0.4115000000000001,0.34267346361907824,0.34272295,0.025691973,4.948874679699955e-05,0.3169814905736099
0.41325,0.34114010481308676,0.3411977,0.025772827,5.7594495308621596e-05,0.3153672780669806
0.41500000000000004,0.33959638058100483,0.33967534,0.025853187,7.895649518230297e-05,0.3137431937352254
0.41675000000000006,0.3380475803550723,0.3381557,0.025933038,0.00010810650024384305,0.31211454191174537
0.4185000000000001,0.3364981522399116,0.33663887,0.02601238,0.00014071561516043607,0.310485772563808
0.42025,0.3349817138481375,0.33512473,0.026091198,0.0001430172157052545,0.3088905163425442
0.42200000000000004,0.3334445669463686,0.3336133,0.026169492,0.00016873933758221327,0.3072750750145725
0.42375000000000007,0.33190921188036004,0.3321045,0.026247254,0.00019529222806891067,0.3056619582388739
0.4255000000000001,0.3303855583195216,0.33059832,0.02632448,0.0002127662177556222,0.30406107754750317
0.42725,0.3288356042085334,0.32909477,0.026401153,0.00025916336196218914,0.3024344513742372
0.42900000000000005,0.3273239394113548,0.3275938,0.026477281,0.000269863994406927,0.30084665840716435
0.4307500000000001,0.3258158827621601,0.32609525,0.02655286,0.00027937046698112145,0.2992630230683945
0.4325000000000001,0.3242815098906512,0.32459924,0.026627878,0.0003177263592725188,0.29765363216350027
0.43425,0.32275870072091006,0.32310566,0.026702337,0.0003469623402319044,0.29605636375391864
0.43600000000000005,0.32126524954201724,0.3216145,0.02677623,0.00034925431845639343,0.2944890195793107
0.4377500000000001,0.3197379426453678,0.32012567,0.026849547,0.00038772659558372613,0.2928883952442972
0.4395,0.3182246205716313,0.31863928,0.026922299,0.00041465784023392294,0.29130232197632205
0.44125000000000003,0.3167273790212485,0.31715506,0.026994476,0.0004276841310647539,0.2897329029264065
0.44300000000000006,0.3152031394698728,0.31567314,0.02706607,0.00047000320171231014,0.2881370688834298
0.4447500000000001,0.3137038121714248,0.31419343,0.027137097,0.0004896153912888335,0.28656671520015137
0.4465,0.3122193505256586,0.31271586,0.027207537,0.0004965076953954983,0.2850118139027767
0.44825000000000004,0.31071519805907105,0.31124043,0.0272774,0.0005252365875353937,0.2834377973419318
0.45000000000000007,0.3092329543672661,0.30976707,0.02734667,0.0005341130651374537,0.2818862837396721
0.4517500000000001,0.30771425768775174,0.30829567,0.027415365,0.000581409483726536,0.2802988927070541
0.4535,0.306236408010898,0.30682638,0.027483482,0.0005899748645444847,0.278752926097093
0.45525000000000004,0.3047454402850019,0.30535892,0.027551,0.0006134762360704982,0.27719444120982756
0.4570000000000001,0.30323552835258333,0.3038934,0.027617939,0.0006578589650741429,0.27561758953603593
0.4587500000000001,0.3017675284385321,0.30242962,0.0276843,0.0006620880127313211,0.27408322916325306
0.4605,0.30025950151535874,0.30096775,0.027750073,0.0007082514181434574,0.27250942851457005
0.46225000000000005,0.2988072506732494,0.2995076,0.027815253,0.0007003374748676405,0.2709919981307537
0.4640000000000001,0.2973206642666114,0.2980491,0.027879866,0.0007284280261742326,0.269440798426534
0.4657500000000001,0.29583552798445106,0.2965922,0.027943885,0.0007566777784120959,0.2678916430305946
0.4675,0.2943666691406561,0.29513696,0.028007347,0.000770289220015874,0.2663593220039202
0.46925000000000006,0.2928997196905011,0.2936832,0.028070206,0.0007834813840991162,0.2648295138679141
0.4710000000000001,0.29140574145051823,0.2922309,0.028132496,0.0008251626518072097,0.26327324504885063
0.4727500000000001,0.28995490487900744,0.29078,0.028194217,0.0008251029601954452,0.2617606878676749
0.47450000000000003,0.2884831311867029,0.28933048,0.028255358,0.0008473512962072771,0.26022777284834686
0.47625000000000006,0.2870149964425972,0.2878822,0.028315935,0.0008672123815605115,0.2586990611586979
0.4780000000000001,0.2855604791103217,0.28643525,0.028375937,0.0008747673572686576,0.2571845424382302
0.47975,0.28410187432754924,0.28498936,0.028435403,0.0008874826670796643,0.2556664708464234
0.48150000000000004,0.28261033232399374,0.28354466,0.028494274,0.0009343272905692479,0.2541160580802813
0.48325000000000007,0.2811604923270806,0.28210095,0.028552607,0.0009404533840552398,0.25260788562522973
0.4850000000000001,0.27973716756202055,0.28065825,0.028610379,0.0009210775246493719,0.2511267890582211
0.48675,0.2782628238470805,0.27921647,0.028667592,0.0009536444871174887,0.2495952323348773
0.48850000000000005,0.2768190686626269,0.27777553,0.02872427,0.0009564573841260304,0.24809479872117773
0.4902500000000001,0.2753954745988348,0.2763354,0.028780395,0.0009399138231775406,0.246615079433749
0.4920000000000001,0.27391873632868147,0.2748959,0.028835978,0.0009771701196827909,0.24508275796969747
0.49375,0.2724781631090083,0.27345705,0.02889103,0.0009788872144780303,0.24358713240999363
0.49550000000000005,0.2710355146586621,0.27201888,0.028945534,0.0009833649933612132,0.2420899810999358
0.4972500000000001,0.2696079149814168,0.27058113,0.02899953,0.0009732112316569452,0.24060838520245942
0.4990000000000001,0.2681440889235087,0.2691438,0.029052982,0.0009997010831288566,0.23909110681670387
0.50075,0.26672771508214116,0.26770684,0.029105911,0.000979126148251297,0.23762180405077576
0.5025000000000001,0.26528275892107733,0.26627013,0.029158344,0.0009873719516491075,0.2361244144287611
0.5042500000000001,0.2638633557869001,0.2648337,0.029210253,0.0009703329490617918,0.2346531030995651
0.5060000000000001,0.2624292091983176,0.26339734,0.029261649,0.0009681268078469696,0.23316756054337984
0.50775,0.26100398211486237,0.26196098,0.029312542,0.0009570011615048224,0.23169144040651218
