alpha,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_ref_norm,q_ref_norm,y_at_p_max_err,y_at_q_max_err
0.07,4418,0.0024421067961117597,0.0033426392981141706,0.028638487758283,0.0022818996601075133,19.739027970754208,1.830124305495112,-528.5746663278279,-386.26228219886696
0.0725,4418,0.0028672770411896737,0.003457178212040851,0.04346773356938733,0.003247194103262741,19.710434658980713,1.8959597782426723,-528.5746663278279,-340.40165958749776
0.075,4418,0.0025403943836406558,0.003971212583117784,0.039562507563810065,0.004128833499754657,19.682315787195932,1.9619364296042219,-528.5746663278279,-340.40165958749776
0.0775,4418,0.002181231066665866,0.003685642926702316,0.03106025871003379,0.0040830435222463535,19.65459829907034,2.028034804071341,-528.5746663278279,-340.40165958749776
0.08,4418,0.0023562287141168023,0.0034022825842094334,0.03241443478916142,0.004568172033930284,19.62745191861436,2.0942497249370313,-528.5746663278279,-340.40165958749776
0.0825,4418,0.002406721226904982,0.002911698929135991,0.029622429954810018,0.0027244888231483825,19.600720562415436,2.160613187789287,-528.5746663278279,-304.25831215571657
0.085,4418,0.002971433230823459,0.003437383258196661,0.04599676897759328,0.0037769594346675713,19.57445239979905,2.227137907449568,-446.36760082966265,-304.25831215571657
0.0875,4418,0.002863136921250992,0.003369661625679132,0.038511784583493316,0.004304337933745869,19.548802742612242,2.2938171333988513,-446.36760082966265,-340.40165958749776
0.09,4418,0.0037779472555513473,0.005925549864929068,0.03679057214245977,0.0051177771461492876,19.523732061403866,2.3606175868146173,-446.36760082966265,-304.25831215571657
0.0925,4418,0.0036687921020217306,0.005161221788723943,0.03233072632188195,0.00348746212372075,19.49873402737683,2.427593442301283,-446.36760082966265,-340.40165958749776
0.095,4418,0.002952456274289956,0.0036603190057537976,0.032800328718578325,0.004165089038946925,19.47195082398768,2.494458628326554,-445.0364358433105,-303.6390059667414
0.0975,4418,0.0031561347872195024,0.003085683248230564,0.042114681776132395,0.005359521597572597,19.445387278408628,2.5614618364828967,-383.7657594955448,-302.7067841848682
0.1,4418,0.0032561123936054176,0.0029988746256920927,0.04640383412411675,0.00469042239377109,19.41914450302061,2.628595273619053,-382.3777274615912,-301.84231210490896
0.1025,4418,0.002985074917260862,0.00261199692916503,0.04232954513741683,0.004607595763373862,19.39308813339367,2.695879687887331,-381.0909414612085,-301.0397159846368
